close,date,high,low,open,volume
62.2111,2019-08-12,63.6303,61.8079,62.9127,3011400
63.4932,2019-08-13,63.9125,61.558,62.3401,3099000
61.2838,2019-08-14,62.8723,61.2596,62.1305,3912400
61.8644,2019-08-15,62.1305,60.8967,61.4773,3082200
62.9933,2019-08-16,63.2352,62.2434,62.5256,2697500
64.2674,2019-08-19,64.8641,63.7674,63.8642,2835300
62.9046,2019-08-20,64.2109,62.8482,64.0738,2572600
63.2191,2019-08-21,63.9206,62.6788,63.9206,2409400
62.4288,2019-08-22,63.7271,62.3805,63.3158,2307600
59.8162,2019-08-23,62.6466,59.4937,61.9208,3508000
59.4372,2019-08-26,60.7193,59.284,60.2517,2912900
57.8245,2019-08-27,60.0178,57.5665,59.7517,3700300
58.6712,2019-08-28,59.3324,57.252,57.7358,2125800
60.671,2019-08-29,60.7919,58.8647,58.9131,2660000
60.7032,2019-08-30,61.7515,60.5661,60.921,2467600
60.1307,2019-09-03,60.3404,59.0582,59.5904,2388900
60.3,2019-09-04,60.8725,59.7436,60.8484,2579100
61.9208,2019-09-05,62.2918,60.5742,60.9209,4630500
63.0014,2019-09-06,63.4529,61.6709,62.2272,3036800
64.0093,2019-09-09,64.6625,63.2352,63.461,2757000
65.864,2019-09-10,66.0494,64.0496,64.09,3634500
66.6623,2019-09-11,67.13,65.4124,66.2107,3421700
67.4928,2019-09-12,68.1299,65.4124,65.8559,3848000
68.9685,2019-09-13,69.1136,67.6702,68.017,4410300
66.4365,2019-09-16,66.5897,63.9287,66.1301,9945800
67.9847,2019-09-17,68.5411,65.7269,66.0575,4537900
67.4122,2019-09-18,68.0896,66.63,67.9928,2458800
67.3719,2019-09-19,68.2992,67.1945,67.9928,2432900
66.8074,2019-09-20,67.8476,66.7268,67.4203,3807400
67.8476,2019-09-23,68.1782,66.4204,66.4204,2005100
67.009,2019-09-24,67.7831,66.3397,67.7186,2846100
67.4606,2019-09-25,67.8234,66.6139,67.2751,2541200
67.0251,2019-09-26,67.3477,65.8478,67.13,2884900
68.0895,2019-09-27,68.5895,67.3316,67.5735,2861400
68.7346,2019-09-30,69.3475,68.017,68.275,2899600
68.7185,2019-10-01,69.3313,68.0976,69.0572,3193700
66.7671,2019-10-02,68.0573,66.3397,68.0573,2785300
67.3638,2019-10-03,67.388,65.5576,66.3559,2430500
68.154,2019-10-04,68.3073,67.2912,67.6702,2066600
67.267,2019-10-07,68.3234,67.267,68.3234,1994200
67.1864,2019-10-08,68.0089,66.3317,66.7026,2900800
68.5976,2019-10-09,69.4523,67.6702,68.1379,2781400
69.1862,2019-10-10,69.4765,68.4443,68.6217,2477400
70.9602,2019-10-11,71.6295,70.0248,70.299,3118200
71.3876,2019-10-14,71.7666,70.3554,70.5893,1372200
72.1294,2019-10-15,72.8632,70.8231,71.1779,2197400
71.8391,2019-10-16,72.7987,71.5005,71.8311,2267300
72.6536,2019-10-17,73.2019,72.1294,72.2665,2545300
73.4277,2019-10-18,73.9115,72.2665,72.4923,3796200
75.1614,2019-10-21,75.3952,73.855,74.2018,3227700
75.9355,2019-10-22,76.2741,74.7824,75.4275,3087300
75.6774,2019-10-23,76.3306,75.1856,75.4759,3534600
78.1449,2019-10-24,78.54,76.7257,76.8467,4566300
80.0479,2019-10-25,80.5076,78.2094,79.0238,3899200
80.693,2019-10-28,81.2978,80.3382,80.435,3941700
81.2978,2019-10-29,81.7978,79.9996,80.3382,3259300
79.677,2019-10-30,81.0398,78.8545,80.943,4187000
78.2014,2019-10-31,79.8222,77.5159,79.4835,4396600
80.5237,2019-11-01,80.5721,78.6207,78.8626,2843000
81.6365,2019-11-04,82.1122,80.8301,81.1204,2482500
81.5155,2019-11-05,82.2413,80.5963,81.951,3286200
80.9188,2019-11-06,81.6768,80.3624,81.1527,2529800
81.7655,2019-11-07,81.9671,80.8382,81.3301,3220800
81.33,2019-11-08,81.6123,80.3221,81.4752,2678400
81.1849,2019-11-11,81.6123,80.1044,80.6043,1901400
81.0237,2019-11-12,82.1445,80.6366,81.5075,1928200
80.8382,2019-11-13,81.2252,79.9431,80.2092,1887200
81.2978,2019-11-14,81.4913,80.4431,80.5318,2288100
81.1285,2019-11-15,81.6042,80.2657,81.4429,2487600
81.4913,2019-11-18,81.5317,80.5479,80.8382,2938000
79.4248,2019-11-19,81.4913,79.0749,81.41,3641300
79.0749,2019-11-20,79.4899,77.106,79.4655,4590000
80.0675,2019-11-21,80.4255,79.14,79.3841,3127700
79.3353,2019-11-22,81.1333,79.2051,80.5882,2877500
79.2051,2019-11-25,79.8722,78.8878,79.5549,3027400
79.2783,2019-11-26,80.0756,78.9935,79.6932,4971000
79.0017,2019-11-27,79.7339,78.66,79.4004,3016700
77.6918,2019-11-29,78.8715,77.6023,78.7901,1716800
77.7813,2019-12-02,78.9854,77.7162,77.9765,3172900
76.39,2019-12-03,77.2117,76.2761,77.1629,3345700
75.8367,2019-12-04,77.2524,75.6089,77.2524,3898000
75.6577,2019-12-05,76.0564,74.8035,75.7961,3136100
76.1622,2019-12-06,77.2443,75.9832,76.4225,3825100
75.2753,2019-12-09,76.1703,75.0719,75.9506,3172400
76.9432,2019-12-10,77.0002,75.1207,75.4299,2858300
75.5764,2019-12-11,77.285,75.1045,77.1548,3049700
76.9107,2019-12-12,77.106,75.6008,75.7961,2495400
76.3249,2019-12-13,77.9521,75.8611,76.9595,2456400
77.407,2019-12-16,78.2532,76.2354,76.87,3878000
77.8464,2019-12-17,79.0912,77.5372,78.245,2971900
76.8944,2019-12-18,77.8219,76.4551,77.6999,4334300
76.9595,2019-12-19,77.6104,76.6503,77.2036,2782300
77.5128,2019-12-20,78.0986,76.7887,77.4884,4801600
77.4884,2019-12-23,77.6592,76.8863,77.5372,1910300
77.3745,2019-12-24,77.8301,77.0409,77.4233,559800
76.8212,2019-12-26,77.6023,76.6259,77.4883,1205800
75.8286,2019-12-27,77.1711,75.7635,77.1141,1752400
75.5683,2019-12-30,76.3493,75.4543,75.674,2186800
76.1947,2019-12-31,76.3168,75.4544,75.6252,1582000
77.3989,2020-01-02,77.4884,76.691,76.9921,2130500
74.4617,2020-01-03,77.0083,73.9166,76.7643,5057000
74.4699,2020-01-06,74.8441,73.6481,74.1282,3393200
75.4462,2020-01-07,75.4706,73.4772,74.0875,3795500
75.7391,2020-01-08,76.0971,74.8441,75.2753,4101800
77.4395,2020-01-09,77.5128,75.6089,76.2354,3033300
78.8308,2020-01-10,79.3109,77.6104,77.7243,3551800
78.3101,2020-01-13,79.7583,77.9521,78.961,2703100
77.6185,2020-01-14,78.2287,77.1385,78.1311,3270900
75.0638,2020-01-15,77.1711,74.5756,76.9433,4001900
74.836,2020-01-16,75.8286,74.3885,75.7228,2829500
74.2176,2020-01-17,74.9255,73.9654,74.8034,2891700
73.4284,2020-01-21,73.9898,72.5091,73.6644,3221500
72.9159,2020-01-22,73.9573,72.867,73.7457,2129400
72.8264,2020-01-23,73.0216,70.7435,72.566,2952300
72.623,2020-01-24,73.282,71.785,72.5091,2580300
69.1977,2020-01-27,70.6784,68.9698,70.6377,3369600
69.9299,2020-01-28,70.7028,69.0675,69.6614,2424100
70.3448,2020-01-29,71.9558,70.2391,70.7272,3478200
71.7524,2020-01-30,71.9639,69.1977,69.9218,4281400
68.5956,2020-01-31,71.9233,67.7901,71.2398,6537200
