close,date,high,low,open,volume
133.288,2019-08-12,134.866,132.81,133.499,702000
134.541,2019-08-13,135.832,132.447,133.078,647700
133.059,2019-08-14,133.795,131.969,133.021,622400
132.791,2019-08-15,134.426,132.39,133.145,653600
135.536,2019-08-16,135.803,133.451,133.451,659400
136.138,2019-08-19,136.798,135.325,136.272,695200
136.042,2019-08-20,137.959,135.055,136.368,1489900
137.317,2019-08-21,138.055,136.387,137.288,800700
137.394,2019-08-22,138.227,136.272,137.375,417300
133.915,2019-08-23,138.122,133.148,137.212,979900
133.052,2019-08-26,134.864,131.567,134.538,831700
134.001,2019-08-27,135.87,133.618,134.135,709200
134.001,2019-08-28,135.228,132.88,133.675,654500
134.71,2019-08-29,135.947,134.538,135.64,608400
135.371,2019-08-30,136.301,135.036,135.64,910000
137.882,2019-09-03,138.026,132.583,134.624,1181600
137.173,2019-09-04,139.119,136.953,138.946,715000
136.914,2019-09-05,138.927,135.036,138.582,808400
138.975,2019-09-06,139.128,136.694,136.723,931000
136.148,2019-09-09,139.473,135.851,138.812,707400
136.224,2019-09-10,136.253,131.576,135.937,1199400
139.215,2019-09-11,139.224,135.429,136.033,1017800
138.879,2019-09-12,141.984,137.978,139.924,1743500
141.438,2019-09-13,141.486,138.716,139.378,976500
139.569,2019-09-16,140.94,138.448,140.892,912800
141.946,2019-09-17,143.0,138.649,139.339,917400
142.464,2019-09-18,142.665,140.096,141.266,949200
144.045,2019-09-19,144.936,141.467,143.211,1090400
143.566,2019-09-20,145.205,142.291,144.486,1114100
143.547,2019-09-23,144.85,142.866,143.058,796900
143.431,2019-09-24,144.888,143.182,143.412,727500
144.601,2019-09-25,144.677,141.802,143.345,568500
145.31,2019-09-26,145.665,144.15,144.476,787200
142.837,2019-09-27,145.904,141.524,145.674,950700
144.946,2019-09-30,146.144,143.096,143.451,1235800
142.856,2019-10-01,146.125,142.665,145.042,732100
139.435,2019-10-02,142.406,138.342,142.138,1210500
139.253,2019-10-03,140.211,138.199,139.435,870500
140.949,2019-10-04,141.879,139.071,139.119,866400
141.486,2019-10-07,142.348,140.403,140.853,884800
141.218,2019-10-08,143.968,140.173,140.403,953700
142.09,2019-10-09,142.885,141.323,142.636,882900
142.32,2019-10-10,143.316,141.16,142.272,447400
141.304,2019-10-11,143.901,141.122,143.47,747200
140.566,2019-10-14,142.013,140.432,141.381,673100
140.873,2019-10-15,142.837,140.384,142.703,1161000
141.083,2019-10-16,141.716,140.269,141.055,972600
141.582,2019-10-17,143.278,141.371,141.505,489400
139.962,2019-10-18,140.949,137.739,140.94,1566100
140.528,2019-10-21,141.898,140.24,140.882,561300
139.684,2019-10-22,142.08,139.579,139.627,610700
138.477,2019-10-23,140.94,137.873,140.317,827600
139.349,2019-10-24,140.403,138.611,138.917,606300
140.959,2019-10-25,142.301,139.013,139.445,621300
139.646,2019-10-28,141.706,139.617,141.486,1264500
138.266,2019-10-29,142.799,137.307,141.486,1359100
138.62,2019-10-30,139.368,136.004,137.662,1075600
136.924,2019-10-31,140.441,136.177,139.157,965400
137.672,2019-11-01,139.416,136.819,137.729,912700
136.09,2019-11-04,138.85,136.033,138.227,1624700
135.161,2019-11-05,137.499,134.298,136.761,1626400
132.372,2019-11-06,133.215,126.027,127.944,2253200
131.691,2019-11-07,134.011,130.982,133.57,1193500
130.762,2019-11-08,131.979,130.081,131.298,1045400
130.848,2019-11-11,131.327,129.688,129.899,656000
130.829,2019-11-12,132.238,130.445,131.068,636000
132.793,2019-11-13,133.062,129.247,130.254,916300
135.697,2019-11-14,135.994,132.63,132.851,1498300
134.672,2019-11-15,136.464,134.317,136.081,1180100
134.854,2019-11-18,136.65,134.22,134.864,1099800
135.575,2019-11-19,136.228,134.336,135.373,788500
135.191,2019-11-20,136.948,134.701,135.2,793100
135.075,2019-11-21,136.324,134.393,134.47,1064600
133.001,2019-11-22,136.295,132.914,135.969,1378100
134.749,2019-11-25,134.826,133.212,133.798,1008000
136.41,2019-11-26,136.526,134.739,134.95,732400
138.082,2019-11-27,138.696,136.036,136.41,991600
136.266,2019-11-29,138.072,135.411,137.755,425700
135.988,2019-12-02,136.679,134.701,136.679,581100
136.362,2019-12-03,137.112,134.797,134.941,572600
135.824,2019-12-04,138.523,135.796,136.266,693700
138.255,2019-12-05,138.591,135.738,136.209,1132200
137.832,2019-12-06,139.273,136.977,138.975,574900
136.833,2019-12-09,137.765,136.161,137.765,889500
134.528,2019-12-10,136.67,134.47,136.583,870600
136.775,2019-12-11,136.9,134.576,134.672,511200
136.862,2019-12-12,137.669,135.882,136.775,559700
137.352,2019-12-13,138.245,136.305,136.305,666300
136.727,2019-12-16,138.437,136.67,138.178,632400
137.38,2019-12-17,139.119,137.246,137.803,1077800
137.765,2019-12-18,138.274,136.679,137.467,1369400
136.113,2019-12-19,138.668,135.93,137.726,1250200
136.17,2019-12-20,137.659,135.786,136.257,2218600
134.816,2019-12-23,136.583,134.009,136.583,790300
137.016,2019-12-24,137.688,134.96,135.335,305600
137.976,2019-12-26,138.245,137.025,137.121,315800
138.207,2019-12-27,138.716,137.265,138.168,500900
136.9,2019-12-30,138.533,136.545,138.178,536000
138.303,2019-12-31,138.687,137.073,137.131,600200
137.083,2020-01-02,139.955,136.41,139.273,843400
136.487,2020-01-03,137.928,135.431,135.776,906800
136.247,2020-01-06,137.227,135.229,136.574,798000
134.71,2020-01-07,137.188,134.691,135.911,976500
135.786,2020-01-08,136.833,134.624,134.778,674100
136.679,2020-01-09,137.832,135.921,136.161,649900
137.505,2020-01-10,137.544,135.066,136.516,659900
136.602,2020-01-13,137.515,136.343,137.265,687800
133.894,2020-01-14,136.343,132.924,136.122,1412700
134.144,2020-01-15,135.287,133.183,133.644,1203100
134.345,2020-01-16,134.854,132.847,134.605,888700
135.536,2020-01-17,135.882,134.326,134.451,826800
136.18,2020-01-21,136.487,134.701,134.95,1173700
136.103,2020-01-22,136.775,135.258,136.651,665500
136.929,2020-01-23,137.16,134.595,135.613,545400
134.97,2020-01-24,137.14,133.625,137.015,565300
133.394,2020-01-27,136.17,133.154,133.692,1071800
135.719,2020-01-28,136.286,132.607,134.086,838000
133.836,2020-01-29,136.67,133.807,135.757,669000
136.766,2020-01-30,136.814,133.298,133.298,621600
136.036,2020-01-31,136.228,133.903,135.997,1042500
