close,date,high,low,open,volume
19.2751,2019-08-12,19.2839,18.9655,19.2141,1880900
19.7025,2019-08-13,19.8333,19.1879,19.2315,4371500
19.4408,2019-08-14,19.9467,19.3798,19.6502,8127100
19.7199,2019-08-15,19.8333,19.406,19.5368,5829700
20.6619,2019-08-16,20.7055,19.7984,19.7984,5835000
20.6619,2019-08-19,20.9235,20.4569,20.9235,5318100
20.7491,2019-08-20,20.784,20.313,20.5921,7207500
21.0282,2019-08-21,21.098,20.723,20.8799,6583200
21.0544,2019-08-22,21.2942,20.9759,21.0369,4263000
20.9148,2019-08-23,21.2811,20.8451,21.1241,5871000
21.159,2019-08-26,21.1678,20.8887,21.0195,3064000
20.9235,2019-08-27,21.4469,20.8887,21.2375,4009600
20.9672,2019-08-28,20.9802,20.8712,20.9323,2858900
21.2811,2019-08-29,21.316,21.0893,21.1067,4064700
21.7608,2019-08-30,21.8193,21.3684,21.3684,3064800
21.8655,2019-09-03,21.9004,21.6213,21.7172,4526500
21.9963,2019-09-04,22.2057,21.8219,22.0661,3647800
22.3975,2019-09-05,22.4324,21.896,21.9963,3816200
22.2667,2019-09-06,22.572,22.1533,22.4586,4901800
22.2842,2019-09-09,22.3888,22.1359,22.258,5314100
22.3452,2019-09-10,22.7813,22.3147,22.3539,6054100
22.6505,2019-09-11,22.7638,22.3225,22.3539,9105700
22.9121,2019-09-12,23.0996,22.6592,22.6854,3636600
23.0041,2019-09-13,23.0304,22.6448,22.785,3741800
23.2758,2019-09-16,23.381,22.8902,23.0129,4657500
23.3634,2019-09-17,23.6132,23.2758,23.3021,7206700
23.4423,2019-09-18,23.5124,23.2057,23.4073,6021000
23.381,2019-09-19,23.5913,23.2933,23.5299,4201100
23.7841,2019-09-20,23.8279,23.3634,23.4861,9024200
23.6263,2019-09-23,23.863,23.5957,23.7315,4127200
23.6439,2019-09-24,23.8454,23.4073,23.6789,4222900
23.7928,2019-09-25,23.8454,23.4335,23.5825,3781200
23.5562,2019-09-26,23.8016,23.4511,23.7928,3351900
23.4335,2019-09-27,23.6351,23.2627,23.6088,3232400
23.4248,2019-09-30,23.5562,23.3021,23.3284,4049400
23.2232,2019-10-01,23.5475,23.1969,23.4072,2711000
22.8902,2019-10-02,23.1899,22.8902,23.1268,5042500
22.9866,2019-10-03,23.0436,22.8026,22.9253,3152900
23.6,2019-10-04,23.6,22.934,23.083,2798200
23.6614,2019-10-07,23.8542,23.4949,23.6,4198200
23.7841,2019-10-08,24.082,23.5037,23.6088,4395500
23.7227,2019-10-09,23.9418,23.6088,23.8191,3013700
23.5913,2019-10-10,23.7052,23.4423,23.7052,3639100
23.7403,2019-10-11,24.0251,23.6001,23.6877,3626200
23.6351,2019-10-14,23.863,23.5825,23.863,2106400
23.5738,2019-10-15,23.7928,23.4905,23.6614,3470900
23.3634,2019-10-16,23.6088,23.2583,23.5212,2974300
23.5212,2019-10-17,23.6,23.3459,23.4511,2899100
23.4774,2019-10-18,23.6132,23.2846,23.5212,4131700
23.7052,2019-10-21,23.8542,23.6176,23.6176,3258200
23.749,2019-10-22,23.841,23.6088,23.7666,2334500
23.6964,2019-10-23,23.806,23.5562,23.714,2594800
23.6526,2019-10-24,23.8104,23.5299,23.8104,2787000
