close,date,high,low,open,volume
77.0004,2019-08-12,77.3769,76.5212,77.0346,1359800
77.2329,2019-08-13,77.5947,76.6559,77.0951,2118700
76.5611,2019-08-14,77.7067,76.1563,77.5861,1631400
78.1115,2019-08-15,78.3182,76.4664,76.4664,1757500
77.8961,2019-08-16,78.7144,77.7411,78.189,1738200
78.6885,2019-08-19,79.0503,77.7842,78.0167,2418700
79.0761,2019-08-20,79.3173,78.3957,78.878,1366600
79.8771,2019-08-21,79.9116,78.7574,78.7574,1396300
80.2217,2019-08-22,80.3509,79.3948,79.8599,1477300
79.7479,2019-08-23,80.9279,79.4637,80.4714,3010800
81.1863,2019-08-26,81.1949,79.7652,80.0408,1928400
82.0907,2019-08-27,83.0812,81.3413,81.4102,2767300
81.9184,2019-08-28,83.0123,81.5825,82.2802,1951100
82.6247,2019-08-29,82.6591,81.6342,82.4266,1906400
82.4869,2019-08-30,82.8917,82.2888,82.8055,1237900
84.175,2019-09-03,84.1923,82.3663,82.6247,2274400
84.1061,2019-09-04,84.5712,83.4946,83.8047,1562300
82.1079,2019-09-05,83.8305,81.3758,83.5118,3586200
80.2131,2019-09-06,82.3319,78.8091,82.0304,4625300
77.922,2019-09-09,79.7566,77.8961,79.7566,3590200
77.7756,2019-09-10,77.965,76.6731,77.922,2264900
78.611,2019-09-11,79.0675,76.9229,77.5516,2296200
78.8522,2019-09-12,79.7307,78.5766,79.2828,1481900
78.5163,2019-09-13,79.1536,78.0684,78.3871,1125300
78.6455,2019-09-16,78.7919,78.077,78.6024,1212900
79.9288,2019-09-17,80.058,78.99,78.99,1638000
80.2303,2019-09-18,80.7126,79.412,80.2992,1440900
80.5145,2019-09-19,80.6523,79.7996,80.3509,959200
80.704,2019-09-20,81.0485,80.2389,80.592,2492700
80.9279,2019-09-23,81.2724,80.5834,81.0141,1338000
81.8237,2019-09-24,82.3835,80.9968,81.2552,2060800
82.1251,2019-09-25,82.151,81.3155,81.9098,1370500
82.5989,2019-09-26,83.2018,82.1682,82.4783,1222300
81.7117,2019-09-27,82.7711,81.2036,82.7539,1523400
81.9098,2019-09-30,82.3318,81.5567,82.0045,1265600
81.9873,2019-10-01,82.039,81.083,81.7289,1251200
81.2294,2019-10-02,82.0648,80.9452,81.8237,1346700
81.66,2019-10-03,81.7634,81.1346,81.4964,1475400
