close,date,high,low,open,volume
108.166,2019-08-12,109.526,107.753,109.388,1044000
109.352,2019-08-13,109.747,107.716,107.716,1979800
106.577,2019-08-14,109.159,106.54,108.901,3009300
108.598,2019-08-15,108.911,106.623,106.853,2133900
109.444,2019-08-16,109.802,108.828,109.03,1613400
110.27,2019-08-19,110.785,109.563,109.829,2770600
108.516,2019-08-20,110.243,108.451,109.958,1566300
109.067,2019-08-21,109.554,108.672,109.003,1479800
108.479,2019-08-22,109.343,108.231,109.003,1358400
106.513,2019-08-23,108.819,105.989,108.286,1987900
107.542,2019-08-26,107.578,106.402,106.945,1586700
108.185,2019-08-27,108.966,107.872,108.24,1148300
108.644,2019-08-28,108.856,107.312,107.964,1109800
109.627,2019-08-29,109.738,108.479,109.333,1132200
109.655,2019-08-30,110.702,109.297,110.335,1149600
109.82,2019-09-03,110.473,109.425,109.894,1204300
110.849,2019-09-04,110.932,109.949,110.252,1213800
109.883,2019-09-05,112.356,109.708,111.867,1671100
110.105,2019-09-06,110.428,109.653,109.874,941500
108.527,2019-09-09,110.262,108.305,110.114,1427900
104.891,2019-09-10,107.992,103.489,107.826,3654400
103.544,2019-09-11,105.537,102.539,105.011,2830500
104.329,2019-09-12,105.076,103.812,103.978,1726700
103.295,2019-09-13,105.51,103.148,104.707,1661200
103.249,2019-09-16,103.351,102.511,102.935,2077800
105.058,2019-09-17,105.353,103.526,103.747,2547500
105.491,2019-09-18,105.537,104.347,105.214,1017700
105.86,2019-09-19,106.848,105.639,106.054,1324700
106.368,2019-09-20,106.672,105.906,106.266,1984100
106.063,2019-09-23,106.912,105.814,106.432,1093000
106.22,2019-09-24,107.18,105.648,106.174,1646600
105.113,2019-09-25,106.534,105.03,106.257,1470300
106.192,2019-09-26,106.746,104.919,105.353,2398000
104.808,2019-09-27,106.774,103.969,106.506,1693100
106.109,2019-09-30,106.303,104.753,104.808,1707400
105.989,2019-10-01,107.004,105.648,106.248,2576500
105.897,2019-10-02,106.174,104.735,105.316,2892900
106.1,2019-10-03,106.598,105.214,105.722,2608800
107.595,2019-10-04,107.992,106.488,106.598,2890900
106.765,2019-10-07,107.457,106.571,107.374,1299900
105.897,2019-10-08,106.977,105.464,106.109,1390900
106.663,2019-10-09,106.986,105.713,106.202,1358800
108.361,2019-10-10,108.684,106.534,106.571,1918100
107.346,2019-10-11,109.154,107.272,108.896,1537500
107.171,2019-10-14,108.564,107.004,107.595,962400
106.709,2019-10-15,107.992,106.589,107.567,1853700
106.017,2019-10-16,106.469,104.633,106.423,2126700
107.29,2019-10-17,107.521,106.202,106.322,1681700
108.001,2019-10-18,108.213,105.75,106.146,2615000
108.204,2019-10-21,108.591,107.134,108.453,1931100
107.881,2019-10-22,109.136,107.641,108.232,1817100
104.605,2019-10-23,108.591,104.421,107.613,3138700
104.421,2019-10-24,104.873,102.52,104.735,2455400
102.742,2019-10-25,104.725,102.271,104.402,2380400
102.677,2019-10-28,102.991,102.28,102.64,1519700
103.369,2019-10-29,104.199,102.289,102.483,1702200
103.96,2019-10-30,104.485,103.111,103.858,1164600
103.535,2019-10-31,104.624,103.055,103.895,1664200
102.631,2019-11-01,103.978,102.253,103.821,1864900
102.253,2019-11-04,102.852,101.754,102.612,2181900
99.9366,2019-11-05,102.243,99.5307,102.068,3574600
101.431,2019-11-06,101.431,99.4384,99.5676,1884200
101.819,2019-11-07,102.003,100.887,101.588,2329400
102.446,2019-11-08,102.548,101.551,101.561,1222000
101.93,2019-11-11,102.686,101.524,102.363,1094300
101.496,2019-11-12,102.253,101.201,101.957,1603000
102.363,2019-11-13,102.732,101.21,101.551,1462700
103.387,2019-11-14,103.544,102.289,102.391,1378700
103.489,2019-11-15,103.803,102.991,103.618,2030800
103.71,2019-11-18,104.218,103.277,103.48,1927000
103.83,2019-11-19,104.199,103.212,103.72,1996500
103.867,2019-11-20,104.919,103.221,103.886,1876600
102.612,2019-11-21,104.126,102.446,103.895,1836900
102.206,2019-11-22,102.806,101.191,102.253,2007900
101.782,2019-11-25,103.166,101.745,102.29,1929500
104.153,2019-11-26,104.282,101.754,101.828,3499100
104.209,2019-11-27,104.615,103.987,104.366,1589200
104.181,2019-11-29,104.688,103.904,104.273,706900
103.018,2019-12-02,104.366,102.991,104.006,1495400
103.369,2019-12-03,104.116,102.612,102.871,1811700
104.135,2019-12-04,104.799,103.295,103.295,1845500
103.322,2019-12-05,104.508,103.007,104.295,2525600
103.461,2019-12-06,104.267,103.248,103.943,1212300
103.6,2019-12-09,103.683,103.118,103.433,2105600
103.127,2019-12-10,104.026,103.062,103.656,1419200
103.257,2019-12-11,103.73,102.757,103.211,1476500
102.571,2019-12-12,103.415,102.061,103.118,1826200
103.832,2019-12-13,103.86,102.108,102.367,1846100
103.841,2019-12-16,104.462,103.35,104.351,1537600
104.703,2019-12-17,105.38,104.388,104.685,1766500
104.351,2019-12-18,105.102,103.767,104.759,1833400
104.258,2019-12-19,104.879,104.147,104.406,1677200
104.888,2019-12-20,105.259,104.054,105.167,2840700
104.657,2019-12-23,105.194,104.481,104.898,921200
104.369,2019-12-24,104.62,103.869,104.555,498800
104.907,2019-12-26,104.916,104.305,104.481,798200
105.565,2019-12-27,105.602,104.564,104.824,804600
105.454,2019-12-30,105.528,104.833,105.204,1058500
105.63,2019-12-31,105.806,104.907,105.38,1248600
105.871,2020-01-02,105.871,104.277,105.75,2071700
106.9,2020-01-03,107.03,104.833,104.879,1424900
107.456,2020-01-06,107.474,106.14,106.223,1840700
107.53,2020-01-07,107.706,106.483,107.085,2325500
107.595,2020-01-08,107.966,107.224,107.614,1824600
107.641,2020-01-09,108.559,107.558,107.688,1634200
107.706,2020-01-10,108.04,107.335,107.799,1289600
109.06,2020-01-13,109.375,107.845,107.947,1340900
109.44,2020-01-14,109.671,108.781,109.078,1622400
109.579,2020-01-15,110.45,109.236,109.569,1273000
110.756,2020-01-16,111.006,109.866,110.033,1725800
110.904,2020-01-17,111.423,110.691,110.969,1988000
111.608,2020-01-21,111.72,110.552,110.635,1642200
111.525,2020-01-22,112.433,111.451,111.97,1378200
112.285,2020-01-23,112.294,110.839,111.432,1740600
112.155,2020-01-24,113.017,111.673,112.452,1052900
112.331,2020-01-27,112.443,111.071,111.479,1191100
112.202,2020-01-28,112.962,111.729,112.396,1395800
112.591,2020-01-29,112.953,111.979,112.433,1641400
113.787,2020-01-30,113.861,111.766,112.202,1155800
112.804,2020-01-31,114.195,112.239,113.509,1657500
113.722,2020-02-03,114.222,113.166,113.231,1246300
113.879,2020-02-04,114.723,113.815,114.297,1145300
114.575,2020-02-05,114.695,113.509,113.898,1601300
114.695,2020-02-06,115.066,114.204,114.315,1171700
114.853,2020-02-07,115.279,114.593,115.057,1292400
115.9,2020-02-10,116.132,115.038,115.159,1233900
115.844,2020-02-11,116.299,115.631,116.224,1504600
116.428,2020-02-12,116.456,114.269,115.446,2028500
115.149,2020-02-13,116.058,113.926,115.863,2107100
116.558,2020-02-14,116.558,114.945,115.492,1299900
116.994,2020-02-18,117.216,116.113,116.549,2094300
116.076,2020-02-19,117.522,116.067,117.022,1431500
114.982,2020-02-20,116.123,114.185,115.622,2352800
115.455,2020-02-21,115.724,114.63,114.899,2058000
114.927,2020-02-24,115.474,112.767,113.008,2324900
113.036,2020-02-25,116.567,112.897,115.288,3080300
112.09,2020-02-26,114.334,112.072,112.721,2694700
105.315,2020-02-27,112.396,105.222,111.423,4280200
102.71,2020-02-28,103.795,98.8172,103.007,6444500
108.476,2020-03-02,108.633,103.646,103.665,4006600
104.471,2020-03-03,110.311,104.128,108.985,4321500
111.497,2020-03-04,111.738,107.632,108.429,3474800
109.602,2020-03-05,111.828,108.764,109.835,3226100
109.062,2020-03-06,109.509,106.176,106.548,2701800
104.351,2020-03-09,107.349,101.744,102.572,3516200
105.645,2020-03-10,107.237,101.837,106.548,4783300
102.396,2020-03-11,105.869,101.25,102.926,2750400
91.0079,2020-03-12,97.2092,90.9148,95.8591,5118700
98.0658,2020-03-13,98.0658,90.6541,94.1458,5971400
