close,date,high,low,open,volume
28.6546,2019-08-12,29.2302,28.5499,28.7311,1338750
29.041,2019-08-13,29.1497,28.5822,28.6063,1415700
28.3688,2019-08-14,29.0169,28.2642,28.7512,1395900
28.5821,2019-08-15,28.8277,28.236,28.4614,1545300
29.0732,2019-08-16,29.1416,28.6546,28.7029,1339200
29.3912,2019-08-19,29.4556,29.0853,29.3389,897750
29.041,2019-08-20,29.4073,28.9806,29.3751,789300
28.9484,2019-08-21,29.1537,28.8921,29.1537,1666125
29.2624,2019-08-22,29.3107,28.7391,28.9726,1274625
28.6989,2019-08-23,29.4878,28.5821,29.1698,951075
29.0088,2019-08-26,29.0128,28.6546,28.8881,1102500
28.8921,2019-08-27,29.2342,28.8559,29.1497,1488600
28.6627,2019-08-28,28.8317,28.5821,28.8156,1129050
28.9001,2019-08-29,29.0652,28.6667,28.884,1296450
28.6788,2019-08-30,29.1054,28.5822,28.9565,2118375
28.7432,2019-09-03,28.8559,28.5781,28.5942,1321650
28.9806,2019-09-04,29.0692,28.6023,28.9766,2141100
28.9525,2019-09-05,29.202,28.715,29.1537,1180350
29.0692,2019-09-06,29.2262,28.88,28.9565,1537875
28.7472,2019-09-09,29.202,28.4976,29.202,1409175
28.5057,2019-09-10,28.8881,28.397,28.7432,2460600
28.6345,2019-09-11,28.884,28.3286,28.6425,1442475
28.6828,2019-09-12,28.876,28.5137,28.7351,1123650
28.5741,2019-09-13,28.7552,28.4171,28.7552,997650
28.5379,2019-09-16,28.558,28.232,28.405,1324575
28.9887,2019-09-17,29.0209,28.3165,28.4896,1482075
28.9927,2019-09-18,29.0814,28.7146,28.9524,1189350
29.029,2019-09-19,29.2709,28.9242,28.9967,1077075
28.9161,2019-09-20,29.1459,28.5614,29.0895,4051800
29.1459,2019-09-23,29.2709,28.8194,28.8839,1201275
29.1862,2019-09-24,29.4966,29.0693,29.2104,1131300
29.2588,2019-09-25,29.3596,29.0371,29.2104,1026900
29.291,2019-09-26,29.416,29.0774,29.2467,829575
28.9121,2019-09-27,29.4039,28.7831,29.3837,899775
29.1177,2019-09-30,29.1781,28.775,28.9524,1336050
28.6662,2019-10-01,29.3072,28.6581,29.2306,939600
28.513,2019-10-02,28.6339,28.2873,28.517,1014525
28.6218,2019-10-03,28.6984,28.38,28.4687,925200
29.1902,2019-10-04,29.1902,28.6742,28.6742,1026900
29.0895,2019-10-07,29.3112,28.8839,29.1338,1140300
28.4566,2019-10-08,28.9685,28.4445,28.9161,883125
28.6944,2019-10-09,28.8032,28.5533,28.638,831150
28.7508,2019-10-10,28.9564,28.6057,28.6904,750150
28.6501,2019-10-11,29.0814,28.6259,28.9484,1137825
28.6702,2019-10-14,28.7267,28.5009,28.5573,571500
28.5856,2019-10-15,28.8677,28.4807,28.7226,1112400
28.4082,2019-10-16,28.4485,28.0413,28.4485,1154025
28.5533,2019-10-17,28.6299,28.2752,28.4848,1253925
28.6863,2019-10-18,28.8516,28.2993,28.5573,949050
28.5856,2019-10-21,28.8476,28.513,28.7952,997425
27.352,2019-10-22,28.5533,27.348,28.4082,5134275
28.9726,2019-10-23,31.2583,28.513,28.9443,2940750
28.4928,2019-10-24,29.0854,28.4203,29.0854,2062350
27.993,2019-10-25,28.517,27.8398,28.4807,1369350
27.8277,2019-10-28,28.1986,27.7592,28.1058,1312875
28.0696,2019-10-29,28.251,27.7108,27.7833,1422675
28.3074,2019-10-30,28.4445,27.9688,28.1462,807975
28.1784,2019-10-31,28.2792,27.9002,28.1905,1062900
28.0051,2019-11-01,28.384,27.9486,28.3276,868275
27.3963,2019-11-04,28.1582,27.2714,28.0978,1186200
27.2633,2019-11-05,27.5979,27.1787,27.481,1059525
27.7309,2019-11-06,27.7833,27.2553,27.3278,1748925
27.4125,2019-11-07,27.8156,27.1988,27.7551,2020725
27.3681,2019-11-08,27.5657,27.3117,27.4326,964575
27.4931,2019-11-11,27.5253,27.219,27.219,983475
27.4447,2019-11-12,27.6181,27.3117,27.606,1017450
27.6463,2019-11-13,27.8841,27.2311,27.3197,1112625
27.5979,2019-11-14,27.6826,27.4246,27.6181,993825
27.352,2019-11-15,27.9365,27.3117,27.6543,1385550
27.5777,2019-11-18,27.6221,27.2875,27.2875,1122075
28.0373,2019-11-19,28.2107,27.5818,27.6382,2070225
28.1058,2019-11-20,28.2348,27.8116,27.9527,2195100
27.6691,2019-11-21,28.2936,27.6528,28.2201,1041750
27.7426,2019-11-22,27.8487,27.6446,27.6446,917775
27.8201,2019-11-25,27.9875,27.665,27.7712,1323900
28.265,2019-11-26,28.2691,27.8691,27.8732,2175975
28.2324,2019-11-27,28.3793,28.1385,28.3426,1704150
27.7548,2019-11-29,28.1018,27.7181,27.7793,4805550
27.9018,2019-12-02,27.9997,27.5997,27.8569,4291650
27.763,2019-12-03,27.8569,27.5467,27.6528,3785175
27.8487,2019-12-04,28.2528,27.6201,27.6936,80003250
28.4528,2019-12-05,28.4895,28.0854,28.2569,3830850
28.6079,2019-12-06,28.7222,28.4365,28.6242,2538450
28.6324,2019-12-09,28.7711,28.5181,28.665,2183175
28.5385,2019-12-10,28.7507,28.4813,28.5997,1757025
28.3916,2019-12-11,28.6977,28.2773,28.6977,1610100
28.4079,2019-12-12,28.5916,28.2732,28.3507,1393875
28.3916,2019-12-13,28.4732,28.2405,28.2814,1968300
28.2732,2019-12-16,28.5385,28.1875,28.5181,2226600
28.3956,2019-12-17,28.5018,28.2242,28.2854,3084525
28.212,2019-12-18,28.4242,28.1181,28.4242,2705850
28.0569,2019-12-19,28.2732,27.9956,28.2405,1254600
28.1344,2019-12-20,28.3589,28.0365,28.3181,2794275
27.9181,2019-12-23,28.2814,27.8079,28.2242,980100
27.9263,2019-12-24,28.0569,27.812,27.9507,293625
27.9467,2019-12-26,28.1099,27.8242,27.9793,677700
27.9875,2019-12-27,28.012,27.865,27.9793,943875
28.012,2019-12-30,28.0773,27.9058,28.0487,1175625
28.2038,2019-12-31,28.2079,28.0038,28.0242,1916550
28.1467,2020-01-02,28.363,27.9222,28.363,1965375
28.1834,2020-01-03,28.2365,27.8201,27.8977,986400
28.1426,2020-01-06,28.163,27.9263,28.016,1463625
27.6283,2020-01-07,28.1222,27.612,28.0895,1543950
27.8242,2020-01-08,27.9956,27.6487,27.6732,1292625
27.9875,2020-01-09,28.0079,27.7385,27.9058,2037375
27.6977,2020-01-10,27.9793,27.6487,27.9752,1396125
27.7997,2020-01-13,27.9099,27.6324,27.6365,2031975
27.8732,2020-01-14,28.0242,27.6405,27.7426,2344725
28.1426,2020-01-15,28.2365,27.8405,27.8487,1019250
28.4609,2020-01-16,28.4691,28.1303,28.1956,1159200
28.7181,2020-01-17,28.7181,28.4487,28.5303,1744425
28.5099,2020-01-21,28.7222,28.4201,28.6079,1549125
29.0773,2020-01-22,29.1344,28.8405,29.0201,2153475
29.1344,2020-01-23,29.1548,28.6487,28.9385,1501425
29.416,2020-01-24,29.4364,29.1058,29.1262,1510200
29.2201,2020-01-27,29.4079,29.1344,29.1997,1657350
29.5385,2020-01-28,29.6936,29.2854,29.2854,2164050
29.6936,2020-01-29,29.9793,29.0568,29.7303,2270475
30.4405,2020-01-30,30.4732,29.4364,29.5507,1681200
30.0119,2020-01-31,30.5303,29.8936,30.3344,2114550
30.363,2020-02-03,30.567,30.1426,30.1834,2238300
30.5466,2020-02-04,30.9507,30.4201,30.5262,1689750
31.0976,2020-02-05,31.1262,30.6568,30.7385,1448325
31.5017,2020-02-06,31.5874,31.1507,31.1507,1435275
31.7589,2020-02-07,31.8119,31.4038,31.4446,1830600
32.1466,2020-02-10,32.1589,31.7711,31.7793,1803825
32.3589,2020-02-11,32.4119,32.1752,32.1834,1739925
32.0976,2020-02-12,32.318,32.0282,32.318,1174500
32.3752,2020-02-13,32.3793,31.9629,32.0527,1635300
32.4078,2020-02-14,32.4242,32.1752,32.3752,1804725
32.3915,2020-02-18,32.5793,32.2895,32.4078,1665225
32.4405,2020-02-19,32.6201,32.3589,32.4568,1076850
31.865,2020-02-20,32.4119,31.6405,32.3221,2260350
32.1017,2020-02-21,32.1956,31.7834,31.8323,7591500
31.4446,2020-02-24,32.016,31.4078,31.767,2603700
30.6813,2020-02-25,31.5793,30.6405,31.4487,2135475
30.2201,2020-02-26,31.0854,30.2079,30.8038,2165175
28.5671,2020-02-27,30.0895,28.5262,29.8691,2305575
27.4038,2020-02-28,28.1793,26.9875,27.9548,4946175
28.6528,2020-03-02,28.6569,27.1671,27.4609,2616750
27.7385,2020-03-03,29.0732,27.612,28.612,2629575
28.5793,2020-03-04,28.5834,27.6038,28.2079,2956500
27.261,2020-03-05,27.9467,27.0365,27.9058,2936925
27.0365,2020-03-06,27.1997,26.163,26.3916,2824875
24.612,2020-03-09,25.5957,24.1998,25.5957,3455100
25.806,2020-03-10,25.8264,24.5916,25.2662,2855475
23.7778,2020-03-11,25.1027,23.6633,25.0291,3746475
21.0382,2020-03-12,22.5429,20.8951,22.1545,4585050
22.9723,2020-03-13,23.0623,20.6661,22.0727,3541725
19.4271,2020-03-16,21.6679,19.2267,20.2776,4749750
21.7497,2020-03-17,21.7783,19.2267,19.9587,4487850
20.7478,2020-03-18,21.537,19.423,20.4003,4584150
19.8115,2020-03-19,20.8051,19.6315,20.4698,2938275
19.4557,2020-03-20,20.4575,19.3167,19.8851,4101300
17.7301,2020-03-23,19.3576,17.6034,19.1245,3614625
19.6683,2020-03-24,19.7542,18.3394,18.6134,2660175
19.4312,2020-03-25,20.3062,18.6788,19.5743,2473425
20.7765,2020-03-26,20.9237,19.1572,19.5825,2086650
21.2099,2020-03-27,21.8969,20.0036,20.3512,2201400
22.2894,2020-03-30,22.3671,20.6088,21.2099,2807550
21.3326,2020-03-31,22.1463,20.8746,21.9173,6773625
20.5434,2020-04-01,20.8092,20.1263,20.3062,3004650
20.7233,2020-04-02,21.2999,20.249,20.2899,3222225
20.2326,2020-04-03,20.8296,20.1345,20.4371,2794050
21.9705,2020-04-06,22.1299,20.9768,21.1895,2679300
22.0073,2020-04-07,23.4671,21.9827,22.8087,2634750
22.5797,2020-04-08,22.6779,21.7251,22.2322,1743975
23.8473,2020-04-09,24.105,22.9273,22.9273,1545975
23.1849,2020-04-13,23.8596,23.0377,23.8596,1971450
24.0027,2020-04-14,24.2685,23.692,23.8187,1716975
22.7842,2020-04-15,23.4303,22.6002,23.3076,2520225
22.3467,2020-04-16,22.9723,21.9746,22.6901,2038725
23.3035,2020-04-17,23.4466,22.776,23.0786,2555100
22.592,2020-04-20,22.9314,22.2853,22.8823,1725750
21.8151,2020-04-21,22.3344,21.7415,22.0073,1859175
20.9687,2020-04-22,22.2199,20.7642,21.5575,4732200
20.5066,2020-04-23,21.2263,20.5066,21.0545,2223900
20.5434,2020-04-24,20.7478,20.1222,20.6374,2465325
21.6311,2020-04-27,21.7129,20.5802,20.5843,1900575
22.1013,2020-04-28,22.3753,21.8233,22.1872,2335950
22.9764,2020-04-29,23.279,22.3058,22.5675,1928475
22.0809,2020-04-30,22.6125,22.0482,22.5061,1893600
21.0382,2020-05-01,21.6924,20.9155,21.6434,1503000
21.0095,2020-05-04,21.0504,20.5802,20.7969,1715850
21.1608,2020-05-05,21.7578,21.1527,21.2099,1725300
20.4371,2020-05-06,21.353,20.4289,21.259,2408175
20.9073,2020-05-07,21.353,20.6415,20.6456,2133225
