close,date,high,low,open,volume
140.485,2019-08-12,142.361,139.962,141.097,165200
143.23,2019-08-13,143.299,140.179,141.216,287500
140.545,2019-08-14,142.46,140.219,141.66,268200
141.068,2019-08-15,142.193,140.298,141.186,143900
143.22,2019-08-16,143.329,141.275,141.966,161100
143.931,2019-08-19,144.514,143.25,144.514,171600
143.279,2019-08-20,144.435,143.171,143.911,164500
144.079,2019-08-21,145.284,143.181,143.803,216000
144.01,2019-08-22,145.323,143.141,144.869,188800
141.512,2019-08-23,145.037,141.216,143.911,203000
143.507,2019-08-26,143.655,141.68,142.687,175100
144.415,2019-08-27,145.096,143.349,144.484,212700
144.336,2019-08-28,144.839,143.358,143.911,146600
145.274,2019-08-29,145.817,144.632,144.889,153200
143.615,2019-08-30,145.501,143.082,145.432,259400
143.033,2019-09-03,143.674,141.354,142.667,291800
146.054,2019-09-04,146.281,143.121,143.22,339200
148.117,2019-09-05,148.473,146.153,147.416,226400
147.801,2019-09-06,150.171,147.564,148.334,252400
143.605,2019-09-09,148.216,142.934,147.969,504500
139.271,2019-09-10,143.645,137.128,142.973,600900
142.884,2019-09-11,143.832,139.636,139.824,436600
144.237,2019-09-12,144.731,142.499,143.645,207000
142.371,2019-09-13,145.175,142.006,143.585,325900
140.327,2019-09-16,142.223,139.873,141.611,389900
141.483,2019-09-17,142.45,139.962,140.406,317600
139.528,2019-09-18,141.937,138.057,141.532,290200
141.512,2019-09-19,141.808,139.636,140.1,270700
141.275,2019-09-20,142.174,140.446,141.828,726400
142.075,2019-09-23,142.667,140.683,141.275,339600
141.423,2019-09-24,147.248,141.216,143.023,547500
143.793,2019-09-25,144.257,141.295,141.71,337700
141.295,2019-09-26,143.734,140.584,143.655,274400
139.083,2019-09-27,141.947,138.451,141.947,280500
140.021,2019-09-30,140.86,138.757,138.876,318300
137.908,2019-10-01,141.621,137.889,140.811,262200
135.855,2019-10-02,137.869,134.996,136.842,416800
138.402,2019-10-03,138.639,135.272,135.924,692000
139.794,2019-10-04,140.91,137.987,139.073,611800
138.915,2019-10-07,140.268,138.807,139.784,327900
136.151,2019-10-08,138.53,136.151,137.681,571400
138.896,2019-10-09,139.389,136.506,137.059,245300
139.182,2019-10-10,140.703,138.461,138.521,204200
140.199,2019-10-11,142.539,139.577,140.337,247400
139.853,2019-10-14,140.89,139.271,140.189,159800
139.992,2019-10-15,141.186,139.794,140.93,299900
138.195,2019-10-16,139.804,137.8,139.794,327700
139.814,2019-10-17,141.344,139.073,139.261,447600
139.064,2019-10-18,140.021,138.126,139.33,268700
138.303,2019-10-21,140.011,138.017,139.804,246400
137.216,2019-10-22,139.855,136.9,138.738,330900
137.562,2019-10-23,139.994,137.048,137.868,820400
137.256,2019-10-24,143.265,135.2,142.751,719700
139.262,2019-10-25,139.509,136.86,137.345,412900
140.844,2019-10-28,141.466,138.877,139.331,304000
141.773,2019-10-29,143.285,140.468,140.567,362600
142.84,2019-10-30,143.226,141.041,141.368,408800
142.178,2019-10-31,143.522,140.577,142.633,413900
145.44,2019-11-01,145.964,142.613,143.196,307000
146.033,2019-11-04,146.399,144.353,146.221,358500
145.213,2019-11-05,146.092,144.382,145.895,510100
145.648,2019-11-06,146.883,144.886,145.43,546200
146.082,2019-11-07,146.883,145.529,146.201,275900
146.023,2019-11-08,146.646,144.718,145.934,543300
145.648,2019-11-11,147.229,144.975,145.232,241100
145.855,2019-11-12,147.16,145.262,145.964,370900
146.498,2019-11-13,146.834,144.965,145.272,365300
146.972,2019-11-14,147.239,145.628,146.26,206800
148.415,2019-11-15,148.85,147.061,147.397,276800
147.407,2019-11-18,149.404,147.071,148.267,341900
147.99,2019-11-19,148.83,147.348,148.178,322400
147.872,2019-11-20,148.86,146.241,147.496,530400
145.648,2019-11-21,148.04,145.45,148.04,367400
144.708,2019-11-22,146.003,144.471,145.825,286300
144.491,2019-11-25,146.162,144.125,145.272,458300
146.428,2019-11-26,146.715,143.631,144.55,3416800
148.504,2019-11-27,148.563,146.507,146.962,472300
145.331,2019-11-29,149.137,145.114,148.119,157800
147.703,2019-12-02,147.911,144.076,145.43,592800
145.657,2019-12-03,147.703,144.797,146.419,372500
145.875,2019-12-04,148.573,145.559,146.834,563100
145.667,2019-12-05,146.26,144.926,146.013,293900
145.766,2019-12-06,147.11,145.638,146.379,430900
143.058,2019-12-09,145.756,142.89,145.756,247600
143.68,2019-12-10,144.718,143.137,143.601,267900
144.975,2019-12-11,145.183,143.71,143.72,287300
144.718,2019-12-12,144.797,139.727,141.733,449800
144.679,2019-12-13,145.282,143.167,144.224,341600
145.549,2019-12-16,148.247,145.381,146.409,500100
146.676,2019-12-17,146.745,144.531,146.013,444400
147.575,2019-12-18,147.773,145.993,147.002,343100
147.713,2019-12-19,148.465,146.893,147.812,558800
149.097,2019-12-20,149.641,147.17,148.425,532300
149.463,2019-12-23,150.076,147.773,149.255,155500
148.988,2019-12-24,150.333,148.326,149.245,83600
149.028,2019-12-26,149.374,148.445,149.295,118300
149.068,2019-12-27,150.362,148.662,149.68,176300
149.068,2019-12-30,149.572,148.01,149.127,200800
148.593,2019-12-31,149.819,148.148,148.919,480600
149.987,2020-01-02,150.738,147.664,148.514,527800
150.382,2020-01-03,150.609,147.002,147.97,316100
150.461,2020-01-06,150.847,149.245,149.601,331900
150.076,2020-01-07,150.669,148.89,150.036,289800
148.049,2020-01-08,150.234,148.01,150.224,533900
149.71,2020-01-09,150.244,148.771,148.88,726600
150.867,2020-01-10,151.875,149.394,150.244,469500
154.138,2020-01-13,154.474,151.005,151.005,606300
154.682,2020-01-14,155.73,153.634,154.148,453500
155.374,2020-01-15,156.886,154.563,154.563,415100
156.53,2020-01-16,156.738,155.137,155.68,452600
155.769,2020-01-17,157.37,155.305,156.945,348400
155.947,2020-01-21,156.541,155.265,155.265,311300
155.561,2020-01-22,157.006,155.195,156.402,506200
154.898,2020-01-23,156.026,154.77,155.116,814600
154.107,2020-01-24,155.571,153.681,155.383,391200
153.85,2020-01-27,155.047,151.267,152.227,615500
155.67,2020-01-28,155.967,154.275,154.354,204800
156.442,2020-01-29,157.61,155.324,155.779,261200
156.284,2020-01-30,157.402,155.304,155.819,331600
154.305,2020-01-31,155.848,153.434,155.423,567900
156.62,2020-02-03,156.808,154.948,154.948,324100
157.263,2020-02-04,159.509,156.788,158.134,376800
157.887,2020-02-05,159.301,157.431,158.114,474900
158.688,2020-02-06,158.856,157.125,157.976,197300
157.412,2020-02-07,158.569,156.759,158.342,227100
158.371,2020-02-10,158.47,156.769,157.154,182300
160.489,2020-02-11,160.736,159.015,159.212,247100
160.489,2020-02-12,161.132,159.302,160.627,464600
172.54,2020-02-13,173.263,163.714,163.714,615000
172.728,2020-02-14,173.362,170.304,172.936,396900
171.393,2020-02-18,173.342,171.175,172.55,477900
172.916,2020-02-19,174.796,168.137,170.759,473500
169.859,2020-02-20,172.659,168.662,171.511,481500
168.365,2020-02-21,169.908,167.969,169.661,307100
165.129,2020-02-24,166.92,163.408,164.734,337600
