close,date,high,low,open,volume
39.0,2019-08-12,39.46,38.83,39.31,962400
39.46,2019-08-13,39.67,38.84,39.05,1171200
38.33,2019-08-14,39.32,38.27,38.85,694600
38.91,2019-08-15,39.0,38.34,38.44,881200
39.75,2019-08-16,39.83,38.94,39.17,1119600
40.07,2019-08-19,40.2,39.8,39.86,855600
39.77,2019-08-20,40.16,39.73,40.04,672100
39.83,2019-08-21,39.97,39.56,39.97,725600
39.57,2019-08-22,40.1,39.38,39.81,1044400
38.61,2019-08-23,39.84,38.43,39.48,1108700
39.02,2019-08-26,39.04,38.67,38.88,610700
39.11,2019-08-27,39.36,38.83,39.1,1758800
39.32,2019-08-28,39.36,38.85,39.09,1143300
39.5,2019-08-29,39.82,39.28,39.8,1677500
39.5,2019-08-30,39.79,39.43,39.72,1028300
40.12,2019-09-03,40.34,39.3,39.3,1639200
40.82,2019-09-04,40.85,40.13,40.13,1230500
41.13,2019-09-05,41.46,41.0,41.0,1274500
41.31,2019-09-06,41.57,41.11,41.11,1000800
41.34,2019-09-09,41.54,41.09,41.47,1544100
40.61,2019-09-10,41.4,40.3,41.32,1729400
40.57,2019-09-11,40.7,40.35,40.49,1421200
40.44,2019-09-12,40.82,40.4,40.7,1218300
40.48,2019-09-13,40.53,40.11,40.34,1036400
40.56,2019-09-16,40.66,40.27,40.33,928200
40.96,2019-09-17,41.1,40.44,40.49,2075500
40.91,2019-09-18,41.01,40.52,40.8,2002900
41.14,2019-09-19,41.5,40.96,41.03,991700
41.0,2019-09-20,41.25,40.72,41.15,1581400
41.11,2019-09-23,41.32,40.92,41.01,593300
41.34,2019-09-24,41.65,41.07,41.26,1567200
41.97,2019-09-25,42.03,41.23,41.33,1498100
42.36,2019-09-26,42.48,41.89,42.0,1334800
42.05,2019-09-27,42.68,41.83,42.49,1548900
41.98,2019-09-30,42.86,41.9,42.73,2509400
41.43,2019-10-01,42.31,41.33,42.28,1570000
40.85,2019-10-02,41.41,40.67,41.32,1286000
41.12,2019-10-03,41.13,40.52,40.85,869200
41.86,2019-10-04,42.01,41.24,41.24,1144500
41.63,2019-10-07,42.1,41.6,42.06,1406500
40.77,2019-10-08,41.63,40.74,41.5,1210200
41.16,2019-10-09,41.39,40.75,40.91,1577500
41.16,2019-10-10,41.49,41.01,41.07,914200
41.49,2019-10-11,41.72,41.19,41.32,1063800
41.59,2019-10-14,41.7,41.27,41.48,791100
41.9,2019-10-15,41.95,41.75,41.76,937200
