close,date,high,low,open,volume
149.179,2019-08-12,150.735,148.504,150.564,1633200
151.733,2019-08-13,152.156,148.621,148.693,1303000
147.353,2019-08-14,150.744,147.263,149.71,2204500
148.459,2019-08-15,149.62,146.157,147.659,1670300
150.213,2019-08-16,151.149,149.674,150.033,1339600
151.958,2019-08-19,152.336,150.69,152.021,1125000
150.987,2019-08-20,152.705,150.771,151.625,1143400
152.615,2019-08-21,152.615,151.481,151.895,1235100
152.471,2019-08-22,153.532,150.456,152.489,1174400
148.217,2019-08-23,153.046,147.677,152.048,1685100
150.024,2019-08-26,150.177,148.388,149.88,1197500
150.06,2019-08-27,151.221,149.368,151.221,1595100
150.393,2019-08-28,150.636,148.145,149.251,1532100
152.39,2019-08-29,153.622,151.778,152.273,1186800
152.749,2019-08-30,153.721,152.021,153.532,1586200
150.384,2019-09-03,152.444,149.836,150.87,1528200
152.633,2019-09-04,152.974,151.544,151.571,1359900
155.834,2019-09-05,156.077,153.613,153.928,1742600
155.816,2019-09-06,156.941,155.61,156.257,4866000
151.14,2019-09-09,156.212,150.312,156.095,1670200
147.794,2019-09-10,151.122,145.348,150.141,2010100
144.925,2019-09-11,148.325,144.259,146.724,2659400
144.979,2019-09-12,147.13,144.744,145.657,2209200
144.374,2019-09-13,145.973,143.66,145.549,1906900
142.955,2019-09-16,144.374,142.575,143.614,2427900
143.551,2019-09-17,143.922,142.439,143.163,2600700
142.593,2019-09-18,143.578,141.03,143.099,1711900
144.021,2019-09-19,144.591,143.262,143.949,1854400
143.976,2019-09-20,145.341,143.479,143.904,2651100
144.338,2019-09-23,145.187,143.253,143.497,1732600
144.636,2019-09-24,146.814,143.497,144.717,2724800
146.127,2019-09-25,146.371,143.542,144.681,2361500
147.564,2019-09-26,148.179,146.145,146.633,2092900
144.997,2019-09-27,148.197,143.651,148.034,2067400
145.892,2019-09-30,146.507,145.286,145.359,1489400
144.997,2019-10-01,147.266,144.681,146.696,1809300
141.554,2019-10-02,143.922,140.523,143.678,2669100
142.385,2019-10-03,142.44,138.933,141.319,1620400
143.858,2019-10-04,144.084,142.711,142.919,1363400
143.605,2019-10-07,144.437,142.783,143.66,1006300
141.283,2019-10-08,143.117,140.849,142.394,1477600
143.217,2019-10-09,143.651,141.536,142.476,1657100
145.259,2019-10-10,145.485,142.674,142.738,1571200
146.886,2019-10-11,148.079,145.512,146.787,1989500
146.832,2019-10-14,148.052,146.525,147.004,1282500
148.332,2019-10-15,148.631,146.859,146.904,1327800
148.368,2019-10-16,148.631,146.47,147.989,1661500
148.07,2019-10-17,149.308,147.871,148.712,1091700
147.808,2019-10-18,148.631,147.248,148.522,1661800
146.443,2019-10-21,148.667,145.784,148.296,1714300
144.148,2019-10-22,147.582,144.121,146.733,1322400
144.645,2019-10-23,145.296,143.786,143.949,1707400
146.904,2019-10-24,146.995,144.699,145.467,1093200
146.38,2019-10-25,147.645,146.028,146.425,2200000
146.85,2019-10-28,147.248,145.449,146.94,1378500
147.166,2019-10-29,148.549,146.832,146.986,1557200
148.359,2019-10-30,148.522,143.036,143.524,2878300
146.624,2019-10-31,148.594,145.223,147.7,6511300
147.302,2019-11-01,147.998,146.534,147.682,1375900
146.308,2019-11-04,148.775,146.154,148.414,2542900
141.906,2019-11-05,146.181,141.798,145.829,3924600
144.301,2019-11-06,144.771,142.214,142.684,2142900
146.507,2019-11-07,147.844,144.5,145.097,2166800
147.076,2019-11-08,147.392,145.675,146.172,1787500
147.7,2019-11-11,148.152,146.091,146.416,1417900
150.357,2019-11-12,150.474,148.007,148.359,1921700
152.725,2019-11-13,153.213,150.456,150.917,2325600
153.773,2019-11-14,154.08,151.649,152.535,2367900
154.704,2019-11-15,154.722,152.806,154.722,1611200
154.306,2019-11-18,154.849,153.647,154.225,1444500
154.632,2019-11-19,156.114,154.469,155.002,1284000
154.171,2019-11-20,155.075,152.743,154.135,1286900
153.52,2019-11-21,154.315,152.878,153.855,1184800
153.33,2019-11-22,155.002,152.806,154.659,1279100
153.827,2019-11-25,154.496,153.448,153.891,1259500
155.111,2019-11-26,155.382,153.782,153.836,2021000
154.984,2019-11-27,155.364,154.514,155.274,1093400
154.352,2019-11-29,155.002,153.864,154.388,706200
152.372,2019-12-02,154.433,151.975,154.126,1341500
151.053,2019-12-03,151.333,150.23,150.727,2930100
152.354,2019-12-04,152.625,150.791,151.044,1863700
152.164,2019-12-05,152.752,151.405,152.643,1748200
153.629,2019-12-06,154.18,153.204,153.294,1300100
152.806,2019-12-09,153.746,152.571,153.357,1500800
152.228,2019-12-10,152.951,151.984,152.806,1523400
151.152,2019-12-11,152.119,150.492,151.893,1245800
151.906,2019-12-12,152.261,150.153,151.089,1931100
152.906,2019-12-13,153.024,150.861,151.479,1308400
153.206,2019-12-16,154.178,153.106,153.724,2404000
152.961,2019-12-17,153.978,152.706,153.406,1838800
152.27,2019-12-18,154.251,151.988,153.015,2069900
153.342,2019-12-19,153.933,151.525,151.997,1924800
155.478,2019-12-20,155.687,152.879,154.742,3947200
154.505,2019-12-23,155.723,154.251,155.641,1139900
154.405,2019-12-24,154.769,153.897,154.442,350200
154.805,2019-12-26,155.232,154.106,154.805,1713700
155.187,2019-12-27,155.351,154.26,155.187,821400
154.115,2019-12-30,155.26,153.606,154.951,867100
154.942,2019-12-31,155.087,153.778,153.778,903000
154.778,2020-01-02,156.305,153.76,156.268,1364600
154.451,2020-01-03,154.896,152.724,152.724,1000100
154.66,2020-01-06,154.796,153.424,153.651,1205900
152.788,2020-01-07,153.997,152.624,153.842,1878900
154.224,2020-01-08,154.951,152.824,153.388,1675500
155.587,2020-01-09,155.705,154.596,154.833,1189600
155.478,2020-01-10,156.305,155.069,156.305,968700
156.632,2020-01-13,156.732,155.487,155.869,926700
155.605,2020-01-14,156.623,154.942,156.414,1688100
157.041,2020-01-15,158.568,156.132,156.368,2114600
158.922,2020-01-16,158.977,157.159,157.995,2281200
160.73,2020-01-17,160.767,159.122,159.967,2818200
160.122,2020-01-21,161.394,158.986,158.986,2016400
162.057,2020-01-22,163.475,161.021,162.048,2060100
161.603,2020-01-23,162.175,160.858,161.548,1520300
161.039,2020-01-24,162.602,160.103,162.512,1676700
159.704,2020-01-27,160.512,158.568,159.204,1622500
162.03,2020-01-28,162.63,159.849,159.967,1642000
155.432,2020-01-29,158.377,155.342,156.168,3842800
159.04,2020-01-30,159.104,152.979,153.542,2731700
155.75,2020-01-31,159.431,155.251,158.577,3316700
158.068,2020-02-03,159.186,157.214,158.013,2162800
159.867,2020-02-04,161.821,158.849,160.549,3423400
162.321,2020-02-05,162.675,160.676,162.094,2675200
163.811,2020-02-06,164.002,162.484,163.348,1600800
162.757,2020-02-07,163.484,162.203,163.375,2311500
162.993,2020-02-10,163.411,162.039,162.357,2153800
161.73,2020-02-11,163.802,161.566,163.802,1584200
161.785,2020-02-12,164.347,160.758,162.384,2622500
163.675,2020-02-13,164.474,160.912,161.276,1913900
164.711,2020-02-14,164.738,163.029,163.72,1566500
163.511,2020-02-18,165.683,163.338,164.811,1512200
164.711,2020-02-19,165.156,163.747,164.029,1651500
164.275,2020-02-20,165.165,162.212,164.184,1501600
162.284,2020-02-21,163.966,161.167,163.393,3538400
158.613,2020-02-24,161.012,158.031,159.74,2084100
151.925,2020-02-25,159.476,151.67,158.713,2606400
151.152,2020-02-26,155.214,151.061,153.579,2319700
143.155,2020-02-27,150.825,143.092,149.089,2843300
140.62,2020-02-28,144.9,136.794,139.411,4583100
148.126,2020-03-02,148.208,140.165,141.356,3194400
141.074,2020-03-03,149.435,139.947,146.881,3095200
149.389,2020-03-04,149.598,142.501,143.964,2847600
146.009,2020-03-05,148.262,144.427,144.891,3359700
144.627,2020-03-06,145.5,139.048,139.42,3137400
137.148,2020-03-09,141.056,132.932,135.494,4551300
140.329,2020-03-10,142.783,133.777,142.628,4152200
134.504,2020-03-11,138.057,132.396,135.994,2751000
119.124,2020-03-12,126.064,115.083,125.772,5497200
132.127,2020-03-13,132.154,118.201,125.26,3604900
111.974,2020-03-16,120.441,111.599,117.094,4415900
118.31,2020-03-17,119.353,108.289,113.793,4274800
107.53,2020-03-18,112.093,94.2807,110.511,5108600
107.32,2020-03-19,112.623,100.581,107.713,4022100
102.464,2020-03-20,109.24,97.9291,108.737,6257600
99.7304,2020-03-23,102.464,95.9083,99.2366,4794500
110.602,2020-03-24,111.59,104.513,104.842,4884100
112.093,2020-03-25,118.868,106.515,110.419,3941600
125.324,2020-03-26,126.311,112.102,112.522,4041000
120.13,2020-03-27,124.354,117.881,119.197,2997800
126.019,2020-03-30,126.677,120.487,121.063,2522300
124.976,2020-03-31,127.463,122.727,123.422,3513000
118.612,2020-04-01,121.986,117.122,118.85,2905400
120.285,2020-04-02,121.255,116.518,116.783,3808200
117.561,2020-04-03,121.181,115.842,119.508,1567500
127.692,2020-04-06,128.423,122.846,123.44,3664100
125.232,2020-04-07,134.568,125.04,133.077,2870600
126.668,2020-04-08,127.646,124.674,126.183,2726600
130.316,2020-04-09,131.496,127.93,128.222,2683400
127.582,2020-04-13,128.853,124.373,128.222,1728700
131.55,2020-04-14,131.66,128.442,128.67,2404400
125.854,2020-04-15,128.615,125.433,128.14,2146300
125.196,2020-04-16,127.052,122.91,126.659,1949100
128.999,2020-04-17,129.95,126.823,129.393,3179500
127.847,2020-04-20,129.521,126.183,126.668,2521400
122.169,2020-04-21,125.854,121.794,125.461,2178100
126.823,2020-04-22,127.783,123.477,125.04,1558400
124.281,2020-04-23,129.063,123.851,126.96,2345000
127.308,2020-04-24,127.765,123.787,124.839,2000300
130.042,2020-04-27,130.133,127.527,127.838,1779500
130.764,2020-04-28,133.672,130.389,130.965,2129400
133.352,2020-04-29,134.193,129.475,134.193,2644300
134.129,2020-04-30,134.705,131.276,132.117,2592300
128.396,2020-05-01,132.309,127.518,130.91,2617000
