close,date,high,low,open,volume
57.5,2019-08-12,60.27,56.88,58.59,1118800
58.78,2019-08-13,60.62,57.21,57.57,743100
57.86,2019-08-14,58.86,57.05,58.68,829000
57.36,2019-08-15,58.76,56.95,57.85,730800
59.22,2019-08-16,59.39,56.92,57.79,711300
60.11,2019-08-19,60.91,59.59,60.4,767800
60.75,2019-08-20,60.97,59.35,60.27,974100
60.34,2019-08-21,61.35,60.23,61.35,792500
62.37,2019-08-22,62.63,60.35,60.53,668900
59.37,2019-08-23,62.69,59.14,62.15,892600
60.96,2019-08-26,61.02,59.05,60.09,402800
60.98,2019-08-27,62.35,60.4,61.45,548100
59.94,2019-08-28,61.91,59.21,60.71,479900
61.33,2019-08-29,62.06,60.94,61.15,401100
59.97,2019-08-30,61.75,59.72,61.56,465700
58.99,2019-09-03,59.53,57.9,59.53,649600
59.97,2019-09-04,60.24,59.13,59.71,345100
61.19,2019-09-05,61.93,60.13,60.87,437600
61.99,2019-09-06,62.49,60.64,61.16,330600
59.55,2019-09-09,62.44,59.23,62.44,633500
60.57,2019-09-10,60.6,58.11,59.29,485500
62.94,2019-09-11,62.99,60.32,60.78,462900
64.37,2019-09-12,64.72,62.01,63.0,436600
65.11,2019-09-13,65.66,63.96,64.5,473300
66.19,2019-09-16,66.8,64.4,64.84,403400
66.15,2019-09-17,66.48,65.18,66.42,374500
65.44,2019-09-18,66.48,64.93,66.15,402600
63.14,2019-09-19,65.41,62.25,65.0,800800
63.54,2019-09-20,64.14,62.16,63.09,1008700
62.5,2019-09-23,64.38,62.34,63.21,609700
60.95,2019-09-24,63.57,59.8,62.61,867800
60.43,2019-09-25,61.25,59.11,60.84,409900
59.01,2019-09-26,60.56,58.24,60.44,652200
58.31,2019-09-27,59.32,57.61,59.32,385200
56.78,2019-09-30,58.55,56.7,58.28,851700
54.22,2019-10-01,57.33,53.95,56.85,1024600
53.26,2019-10-02,53.68,51.28,53.68,1200200
54.3,2019-10-03,54.35,52.16,53.09,705000
54.86,2019-10-04,55.09,53.57,54.47,440200
54.62,2019-10-07,55.16,53.75,54.65,573800
52.76,2019-10-08,54.63,52.59,54.01,485800
52.34,2019-10-09,53.33,52.12,53.13,536400
52.54,2019-10-10,52.76,51.88,52.26,952200
53.16,2019-10-11,54.89,53.01,53.24,771100
52.83,2019-10-14,53.43,51.88,52.98,491100
53.32,2019-10-15,53.64,52.44,52.84,397300
51.89,2019-10-16,53.14,51.51,52.94,649100
51.75,2019-10-17,52.59,51.66,52.0,397800
50.55,2019-10-18,51.48,49.8,51.42,1065600
52.32,2019-10-21,52.47,50.57,51.19,535600
53.2,2019-10-22,53.42,51.78,52.3,824500
53.71,2019-10-23,54.21,53.2,53.4,578300
54.92,2019-10-24,55.06,53.56,53.82,508700
54.26,2019-10-25,55.17,54.2,54.69,364800
54.75,2019-10-28,55.25,54.19,54.73,507900
52.98,2019-10-29,55.21,52.81,54.56,551800
52.53,2019-10-30,53.46,51.8,52.84,656800
51.13,2019-10-31,52.67,50.78,52.47,980500
52.52,2019-11-01,53.33,51.0,51.49,1085400
51.87,2019-11-04,53.35,51.48,53.15,689300
53.09,2019-11-05,54.13,51.72,51.87,835900
52.24,2019-11-06,53.69,51.94,53.14,714800
52.41,2019-11-07,55.73,52.2,53.23,1368800
65.29,2019-11-08,71.0,61.0,61.94,4437400
64.45,2019-11-11,65.54,62.61,64.76,1259100
64.01,2019-11-12,64.75,63.34,64.48,754500
64.65,2019-11-13,64.98,63.26,63.53,578600
66.69,2019-11-14,67.05,64.44,64.65,641500
67.37,2019-11-15,68.35,66.37,67.35,724500
67.72,2019-11-18,67.83,66.35,67.24,544000
68.48,2019-11-19,69.11,67.64,67.87,560700
71.98,2019-11-20,72.0,67.45,67.94,1290900
71.9,2019-11-21,73.07,71.22,72.0,906200
72.09,2019-11-22,72.44,71.17,72.15,350600
74.33,2019-11-25,74.85,72.41,72.74,671300
76.93,2019-11-26,77.66,74.5,74.8,1591900
75.57,2019-11-27,76.07,72.02,74.81,1450400
73.8,2019-11-29,75.85,73.64,75.07,416100
73.72,2019-12-02,75.27,73.43,74.14,613600
73.83,2019-12-03,74.13,71.31,72.31,648100
72.76,2019-12-04,75.65,72.57,74.22,823300
72.82,2019-12-05,73.87,72.02,72.36,396800
71.87,2019-12-06,74.26,71.68,73.58,609600
72.27,2019-12-09,73.7,71.52,71.89,559900
72.64,2019-12-10,72.93,72.16,72.93,407800
72.49,2019-12-11,73.42,71.93,72.68,338900
71.81,2019-12-12,73.07,70.61,72.37,416800
72.47,2019-12-13,72.82,71.46,71.71,348200
73.19,2019-12-16,74.66,72.68,72.7,700600
71.35,2019-12-17,72.87,71.13,72.63,713300
69.83,2019-12-18,71.72,69.52,71.38,588400
70.32,2019-12-19,70.35,69.1,69.84,417600
71.24,2019-12-20,71.43,70.2,70.54,842800
72.24,2019-12-23,72.25,71.1,71.74,352800
73.09,2019-12-24,73.33,72.3,72.44,300000
72.9,2019-12-26,73.72,72.39,73.16,247100
72.9,2019-12-27,73.27,72.41,73.04,418700
73.51,2019-12-30,74.64,72.59,72.9,410600
73.28,2019-12-31,74.08,72.72,73.19,540200
76.56,2020-01-02,76.62,73.34,74.02,849400
73.93,2020-01-03,75.57,68.68,72.3,2187900
68.75,2020-01-06,74.49,68.09,74.12,1727000
69.77,2020-01-07,70.73,68.32,68.82,766300
69.61,2020-01-08,71.63,69.51,69.95,911200
70.19,2020-01-09,71.0,69.94,70.09,549600
69.51,2020-01-10,70.85,69.21,70.22,574800
70.77,2020-01-13,70.9,69.5,69.83,426800
71.36,2020-01-14,71.85,69.47,70.67,1030500
72.7,2020-01-15,72.97,71.54,71.54,389800
75.22,2020-01-16,75.31,73.12,73.12,522500
73.6,2020-01-17,75.85,73.55,75.53,346700
75.26,2020-01-21,75.44,73.25,73.25,509100
79.08,2020-01-22,79.45,75.6,75.6,1681400
78.64,2020-01-23,80.66,78.58,79.07,748800
80.55,2020-01-24,80.84,77.29,79.19,1104800
77.91,2020-01-27,79.46,77.82,78.59,966500
78.97,2020-01-28,80.14,77.79,78.31,512700
79.91,2020-01-29,80.79,78.75,79.77,446200
78.34,2020-01-30,80.04,77.14,79.2,332100
76.81,2020-01-31,78.61,76.38,78.16,537700
77.59,2020-02-03,78.29,76.5,77.37,511300
81.79,2020-02-04,82.49,78.69,78.99,717200
81.81,2020-02-05,83.63,79.77,83.23,614300
83.53,2020-02-06,83.9,81.25,82.22,494700
