close,date,high,low,open,volume
1072.66,2019-08-12,1085.76,1065.35,1085.46,275100
1081.28,2019-08-13,1085.64,1032.6,1050.0,432500
1059.68,2019-08-14,1075.32,1058.91,1070.06,386300
1083.54,2019-08-15,1087.62,1053.45,1062.48,375900
1091.74,2019-08-16,1097.31,1080.0,1086.22,262100
1095.5,2019-08-19,1105.94,1088.34,1099.71,218300
1091.11,2019-08-20,1109.65,1090.78,1099.35,213100
1087.97,2019-08-21,1102.31,1084.76,1099.28,249900
1081.55,2019-08-22,1092.92,1074.32,1086.04,205300
1065.28,2019-08-23,1088.25,1062.19,1079.44,300900
1066.96,2019-08-26,1073.31,1059.92,1072.1,164500
1064.79,2019-08-27,1078.84,1061.47,1071.48,312400
1097.69,2019-08-28,1105.46,1060.5,1064.0,338600
1113.71,2019-08-29,1122.29,1101.67,1102.81,236200
1101.69,2019-08-30,1124.49,1095.57,1123.84,297800
1102.83,2019-09-03,1107.33,1087.57,1097.97,175700
1122.72,2019-09-04,1125.09,1100.83,1112.23,200900
1134.54,2019-09-05,1144.52,1128.01,1128.01,203700
1143.34,2019-09-06,1154.33,1137.7,1141.65,206200
1127.19,2019-09-09,1156.92,1122.84,1148.92,407800
1152.55,2019-09-10,1154.89,1116.91,1126.68,284400
1156.92,2019-09-11,1163.89,1135.15,1155.22,294400
1129.07,2019-09-12,1164.42,1126.17,1157.7,372000
1149.26,2019-09-13,1150.8,1129.45,1131.75,207000
1130.66,2019-09-16,1150.62,1126.92,1147.07,181000
1156.0,2019-09-17,1162.09,1130.67,1136.17,206900
1162.53,2019-09-18,1168.68,1156.0,1157.6,206600
1157.79,2019-09-19,1180.49,1155.78,1168.06,259500
1159.37,2019-09-20,1174.95,1157.01,1172.5,280900
1147.26,2019-09-23,1167.3,1147.26,1160.94,303600
1096.63,2019-09-24,1164.85,1082.11,1160.0,669000
1093.06,2019-09-25,1100.12,1082.04,1096.82,317200
1085.69,2019-09-26,1094.76,1070.31,1091.45,248300
1085.65,2019-09-27,1093.44,1078.13,1089.17,258900
1084.62,2019-09-30,1093.42,1078.5,1084.39,231700
1083.67,2019-10-01,1090.25,1075.49,1081.8,236200
1052.86,2019-10-02,1078.89,1049.15,1078.89,238200
1052.33,2019-10-03,1055.75,1039.74,1054.06,207900
1060.33,2019-10-04,1060.86,1044.15,1052.6,189500
1060.81,2019-10-07,1069.0,1054.53,1057.4,185300
1049.5,2019-10-08,1060.1,1049.28,1053.38,146000
1058.55,2019-10-09,1063.24,1049.53,1060.14,135200
1077.23,2019-10-10,1079.23,1060.9,1060.9,180600
1085.97,2019-10-11,1095.78,1082.5,1084.69,152500
1086.64,2019-10-14,1089.0,1074.92,1083.64,168700
1104.44,2019-10-15,1111.23,1087.52,1087.52,206600
1106.98,2019-10-16,1110.59,1096.92,1104.02,163000
1105.11,2019-10-17,1116.99,1100.88,1107.69,197600
1110.0,2019-10-18,1115.0,1102.55,1107.5,156800
1109.92,2019-10-21,1112.58,1098.62,1112.58,148800
1100.11,2019-10-22,1117.19,1099.01,1110.79,140700
1093.48,2019-10-23,1102.85,1090.78,1100.0,186100
1123.78,2019-10-24,1126.64,1109.69,1110.0,246700
1129.47,2019-10-25,1135.08,1120.45,1122.97,238300
1149.77,2019-10-28,1155.11,1129.46,1129.46,194800
1145.64,2019-10-29,1152.47,1138.86,1148.05,157300
1148.5,2019-10-30,1149.57,1134.16,1142.9,132900
1144.38,2019-10-31,1149.99,1136.15,1143.11,177000
1156.28,2019-11-01,1156.28,1140.65,1148.03,172700
1150.07,2019-11-04,1167.87,1139.29,1164.51,191400
1151.06,2019-11-05,1163.63,1145.7,1150.07,181500
1161.48,2019-11-06,1163.0,1144.12,1152.18,160400
1165.61,2019-11-07,1170.24,1160.11,1166.61,157400
1165.86,2019-11-08,1169.44,1155.9,1166.59,137000
1177.05,2019-11-11,1184.99,1163.21,1163.21,151700
1166.97,2019-11-12,1173.0,1156.17,1161.89,206600
1174.76,2019-11-13,1175.36,1154.15,1161.57,176900
