close,date,high,low,open,volume
78.0225,2019-08-12,79.1254,77.8311,78.2777,2115400
80.3741,2019-08-13,80.4653,78.1957,78.3871,3379000
78.2413,2019-08-14,79.6176,78.1866,79.3077,2448700
78.1866,2019-08-15,79.3624,77.8858,78.5147,2720400
79.2712,2019-08-16,79.6723,78.4782,78.6696,1583100
80.0915,2019-08-19,80.4197,79.5811,79.9457,1339200
79.2712,2019-08-20,80.6475,79.2347,80.3741,1665600
79.5811,2019-08-21,80.0369,79.4262,79.6632,1405200
79.49,2019-08-22,80.0186,78.9704,79.6085,1485400
77.503,2019-08-23,79.6085,77.1293,79.5264,1809000
78.1774,2019-08-26,78.4053,77.4665,78.1866,1918800
78.7426,2019-08-27,79.3441,78.1683,78.4053,1891900
79.2348,2019-08-28,79.5355,78.4053,78.46,1285400
79.9566,2019-08-29,80.1577,79.0063,79.911,1163400
80.3679,2019-08-30,80.6055,79.8013,80.4318,3789700
80.2125,2019-09-03,80.4135,79.4723,80.0663,3392400
79.9566,2019-09-04,80.7882,79.4998,80.7699,1653000
80.3313,2019-09-05,80.7151,79.8836,80.5232,1930800
82.0401,2019-09-06,82.1772,80.6237,80.8705,2994600
79.6825,2019-09-09,82.0675,79.5363,81.9305,2838000
78.5037,2019-09-10,79.7099,77.1787,79.2805,3847500
79.2347,2019-09-11,80.1394,78.3301,78.3301,2585300
80.2491,2019-09-12,80.6146,79.5911,79.7739,1948500
79.4358,2019-09-13,80.6146,79.2804,80.1942,1869200
79.4267,2019-09-16,80.1577,79.0886,79.0977,1765500
80.0206,2019-09-17,80.6237,79.052,79.7008,1960200
79.9018,2019-09-18,80.6054,79.3078,80.1303,1807200
79.9201,2019-09-19,80.578,79.6277,79.847,1683400
79.8653,2019-09-20,80.7882,79.5911,80.1394,10427500
79.3535,2019-09-23,80.0115,79.1342,79.847,3625100
78.9972,2019-09-24,80.1211,78.5494,79.4997,2675300
79.317,2019-09-25,79.4084,78.8144,78.9058,1883300
80.1668,2019-09-26,80.3861,79.6003,79.8287,2657800
78.522,2019-09-27,80.3405,78.321,80.3405,2169800
79.9292,2019-09-30,80.313,78.6682,78.723,2801100
78.5037,2019-10-01,80.3587,78.4215,80.0846,1991500
76.9686,2019-10-02,78.3667,76.5391,78.1474,2129100
77.8915,2019-10-03,78.1656,76.2832,76.7584,3113100
79.1708,2019-10-04,79.2073,78.1199,78.4215,1319300
78.3941,2019-10-07,79.0429,78.3667,78.7961,1205200
77.6813,2019-10-08,78.586,77.3798,77.9646,2497900
79.4084,2019-10-09,79.6642,78.3941,78.3941,2214200
80.0572,2019-10-10,80.4044,78.9241,78.9241,2691400
80.441,2019-10-11,81.3273,80.3039,80.8704,2283400
79.6825,2019-10-14,80.6968,79.6186,80.4136,1632100
80.176,2019-10-15,80.377,79.518,80.112,1350200
79.518,2019-10-16,80.4684,78.9241,79.7282,2301700
80.2765,2019-10-17,80.5506,79.6551,79.9566,1529200
80.4044,2019-10-18,80.6603,79.9567,80.0754,1769400
80.8248,2019-10-21,81.4187,80.7425,80.8522,1694200
79.5363,2019-10-22,81.0623,79.4906,80.9435,1475400
80.3679,2019-10-23,80.7242,79.7648,79.7648,2784800
72.2625,2019-10-24,75.0861,70.3893,72.6463,12806500
70.6177,2019-10-25,71.2482,69.1465,70.4898,9896900
71.1386,2019-10-28,72.1163,70.371,70.6817,3658800
71.1477,2019-10-29,71.568,70.4167,71.0563,2965900
70.2522,2019-10-30,71.2574,69.6583,71.2117,5089500
70.0877,2019-10-31,70.3984,69.8319,70.2431,4535700
71.1934,2019-11-01,71.632,70.3984,70.4715,5046700
71.1203,2019-11-04,71.7234,70.4806,71.4675,3026000
70.8005,2019-11-05,71.3122,70.4624,71.3122,2638000
71.6137,2019-11-06,71.8513,70.6542,70.8736,3214900
71.2756,2019-11-07,71.5589,70.8187,71.2299,3535500
71.7417,2019-11-08,71.8879,70.9832,71.0746,3037500
72.0615,2019-11-11,72.5093,71.4584,71.5681,3040500
73.1946,2019-11-12,73.8799,72.1894,72.3996,4688100
73.9074,2019-11-13,74.1358,73.222,73.8343,3788300
73.7794,2019-11-14,74.0262,73.4962,73.7612,1995300
74.4191,2019-11-15,74.4831,73.5967,73.5967,2030400
74.1267,2019-11-18,74.8211,73.8799,74.2363,2556100
74.6292,2019-11-19,74.8668,73.7794,74.2089,2310700
74.9308,2019-11-20,75.1501,74.3368,74.4374,3250900
75.1593,2019-11-21,75.3238,74.3186,74.7938,2243900
74.9491,2019-11-22,75.1592,74.6018,74.9582,3072500
