close,date,high,low,open,volume
26.8358,2019-08-12,27.4698,26.779,27.2016,1517355
27.0146,2019-08-13,27.8111,26.5676,26.7952,1643565
25.6005,2019-08-14,26.527,25.503,26.4945,2540664
25.2592,2019-08-15,25.7631,25.0641,25.6249,1738307
26.0069,2019-08-16,26.1044,25.0641,25.503,1580403
26.4295,2019-08-19,26.6002,26.2669,26.462,1735013
25.8037,2019-08-20,26.3076,25.633,26.3076,1369562
26.0556,2019-08-21,26.4051,26.0475,26.2426,1216088
25.8443,2019-08-22,26.332,25.7549,26.1775,1119869
25.0966,2019-08-23,25.8687,24.9585,25.6655,2739918
25.2429,2019-08-26,25.5761,25.0072,25.4624,1399779
25.3079,2019-08-27,26.0963,25.2104,25.6655,2130682
25.8606,2019-08-28,25.9093,25.0641,25.1942,1613915
26.6164,2019-08-29,26.7139,26.1694,26.1694,1806694
26.6573,2019-08-30,27.1556,26.5674,26.9432,1333550
26.404,2019-09-03,26.4285,25.9383,26.355,1635386
27.1311,2019-09-04,27.1801,26.7716,26.8533,1782952
28.667,2019-09-05,28.8876,27.5886,27.6213,2503403
28.9366,2019-09-06,29.0836,28.5853,28.7895,1542688
29.9496,2019-09-09,30.0803,29.1326,29.2388,1681734
31.3793,2019-09-10,31.4201,29.8107,29.8516,2457395
31.9593,2019-09-11,31.9756,30.6032,31.4038,2871694
32.0573,2019-09-12,32.1227,31.0688,31.6734,1965053
32.6782,2019-09-13,33.0458,32.3106,32.3596,2311646
32.2616,2019-09-16,32.9233,31.992,32.2616,1566885
31.4855,2019-09-17,32.0002,31.126,31.9021,2477730
30.693,2019-09-18,31.5835,30.5133,31.4855,2647562
30.2519,2019-09-19,30.8074,30.211,30.6277,1711384
30.0395,2019-09-20,30.7339,29.8107,30.3254,3267136
30.0721,2019-09-23,30.4724,29.6065,29.6637,1188824
29.5983,2019-09-24,30.3336,29.4758,30.1783,1256870
30.0966,2019-09-25,30.162,29.2143,29.5248,1271752
29.8761,2019-09-26,30.1375,29.6146,30.1375,1227675
29.729,2019-09-27,30.2927,29.5329,30.0313,1492250
29.9659,2019-09-30,30.113,29.5411,29.8516,1449650
29.3532,2019-10-01,30.2519,29.2225,30.0721,1585742
28.3484,2019-10-02,28.9529,28.0706,28.8957,1793971
28.4464,2019-10-03,28.4546,27.7847,28.2095,1526216
28.716,2019-10-04,28.7242,28.3402,28.5118,1417501
28.5608,2019-10-07,29.0591,28.2422,28.5853,1105442
27.8745,2019-10-08,28.1931,27.6866,28.0951,1172579
28.3565,2019-10-09,28.4954,28.0052,28.2912,1173147
28.9202,2019-10-10,29.0509,28.5281,28.5281,1151336
30.3907,2019-10-11,30.546,29.4839,29.5166,2165102
30.2845,2019-10-14,30.2927,29.8107,30.2274,1081358
30.8237,2019-10-15,31.0606,30.0313,30.309,1223131
31.3139,2019-10-16,31.4201,30.8401,30.9054,2151811
31.0607,2019-10-17,31.4446,30.8891,31.4446,2507038
31.6489,2019-10-18,31.8286,30.9218,31.0933,2141474
31.8449,2019-10-21,32.3106,31.6979,31.8613,1476573
32.4658,2019-10-22,32.474,31.5018,31.706,1485661
32.6619,2019-10-23,32.6782,32.0001,32.4658,1235514
32.1064,2019-10-24,33.0867,32.0573,32.7436,1077382
32.4495,2019-10-25,32.5884,31.8531,31.9593,1591309
33.0132,2019-10-28,33.1766,32.6864,32.7436,1549504
32.425,2019-10-29,32.9478,32.2861,32.6292,1210862
32.0492,2019-10-30,32.4086,31.4691,32.2697,1929950
34.0507,2019-10-31,35.6193,33.3318,33.9037,4882528
35.6601,2019-11-01,35.6928,34.4102,34.451,2679824
37.0081,2019-11-04,37.1143,35.9461,36.134,3416293
36.812,2019-11-05,37.3267,36.5424,37.0326,2330050
36.6159,2019-11-06,36.8855,36.2483,36.763,1359792
37.5554,2019-11-07,37.8169,36.9346,37.0081,1594717
37.8332,2019-11-08,37.8496,36.9918,37.5881,1191664
37.7842,2019-11-11,38.0701,37.4901,37.5718,1176214
37.3512,2019-11-12,37.8741,37.2287,37.8169,1458283
36.5179,2019-11-13,37.1388,36.4035,37.0571,1662650
36.2238,2019-11-14,36.7222,36.1339,36.5914,1225517
36.4281,2019-11-15,36.7058,36.3055,36.5424,1152245
35.75,2019-11-18,36.183,35.6601,36.0686,1808626
35.5457,2019-11-19,35.9624,35.366,35.9052,1819758
34.3285,2019-11-20,35.5376,34.2876,35.317,2341637
34.6471,2019-11-21,34.9167,34.3857,34.6471,1781816
34.9575,2019-11-22,35.0801,34.549,34.835,1558251
35.5131,2019-11-25,35.5784,34.7124,34.8595,1517014
34.9984,2019-11-26,35.5131,34.982,35.4314,2285178
34.7206,2019-11-27,35.2271,34.4674,35.0882,1296971
34.491,2019-11-29,34.7944,34.4745,34.4745,900507
34.8355,2019-12-02,35.344,34.4663,34.7042,1694003
34.0972,2019-12-03,34.3433,33.7445,34.2859,1674237
34.4007,2019-12-04,34.7862,34.1382,34.3351,1679008
34.9913,2019-12-05,34.9995,34.4171,34.5402,1470552
35.5573,2019-12-06,35.8525,35.2784,35.4588,1358202
35.5573,2019-12-09,35.6393,35.2292,35.4014,1186098
35.6557,2019-12-10,35.7295,35.3194,35.4752,1123958
36.033,2019-12-11,36.197,35.6803,35.7623,1111576
36.5005,2019-12-12,36.8614,35.9264,36.1068,2751846
35.9264,2019-12-13,36.9106,35.9018,36.722,1419205
36.2052,2019-12-16,36.64,36.0904,36.2052,2245190
36.6072,2019-12-17,36.7056,36.2955,36.4185,1184848
37.0747,2019-12-18,37.1977,36.4513,36.6236,1828392
36.8286,2019-12-19,37.1485,36.681,36.9599,1216883
36.2709,2019-12-20,36.9681,36.156,36.9106,2350611
36.3365,2019-12-23,36.4595,35.91,36.3201,995818
35.992,2019-12-24,36.3365,35.8361,36.3365,376584
35.9346,2019-12-26,36.1478,35.5901,36.0986,680691
35.8935,2019-12-27,36.2052,35.7541,36.033,756349
35.5983,2019-12-30,36.0002,35.5244,35.9018,682054
35.5819,2019-12-31,35.8853,35.4916,35.5491,752032
36.0494,2020-01-02,36.1314,35.5572,36.0904,1351045
34.7452,2020-01-03,35.5573,34.6304,35.262,1193595
34.5976,2020-01-06,34.6878,34.13,34.4499,961624
34.8108,2020-01-07,35.0323,34.3843,34.532,1571429
35.0241,2020-01-08,35.2702,34.5238,34.8437,1217792
34.3925,2020-01-09,35.2127,34.3843,35.2045,1352862
33.9742,2020-01-10,34.4089,33.8758,34.3187,939586
33.9414,2020-01-13,34.0398,33.6789,33.8758,1935403
34.2285,2020-01-14,34.5484,33.8922,33.8922,1723085
33.8676,2020-01-15,34.2121,33.6379,33.9004,1221768
34.3515,2020-01-16,34.3515,33.843,34.0398,1583470
34.0644,2020-01-17,34.5976,33.8102,34.3187,1620277
33.2196,2020-01-21,33.9004,33.195,33.8348,1616869
33.0473,2020-01-22,33.3918,32.8669,33.2032,1360133
33.2688,2020-01-23,33.3344,32.2435,32.7766,1603464
32.1861,2020-01-24,33.3344,32.0959,33.2196,969462
31.4643,2020-01-27,31.6775,30.9311,31.374,1876672
29.061,2020-01-28,29.9961,28.6098,29.1184,17697744
28.9461,2020-01-29,29.8402,28.9051,29.6105,7165093
28.7575,2020-01-30,29.102,28.4212,28.7083,4698269
28.1259,2020-01-31,28.7083,27.9619,28.618,5158349
28.1997,2020-02-03,28.8477,28.1915,28.3966,3714038
28.2407,2020-02-04,28.7739,28.1669,28.7083,4599891
28.7411,2020-02-05,28.8395,28.372,28.6181,4251594
27.6912,2020-02-06,28.9133,27.6912,28.9133,4163781
27.5353,2020-02-07,27.6666,27.2729,27.4779,2515104
27.2975,2020-02-10,27.6994,27.1908,27.5353,2244509
27.9783,2020-02-11,28.2489,27.2072,27.2729,3154104
28.454,2020-02-12,28.7083,27.8716,28.331,5385208
28.7739,2020-02-13,29.0036,27.5271,28.1423,6430328
28.0111,2020-02-14,28.6755,27.4205,28.5032,5689315
28.1669,2020-02-18,28.5524,27.847,28.0193,3982816
28.536,2020-02-19,28.6427,28.0685,28.1095,3439467
