close,date,high,low,open,volume
53.1742,2019-08-12,53.6295,52.8431,53.4805,13039500
53.6626,2019-08-13,54.5979,52.57,52.8928,19056700
50.8317,2019-08-14,52.1809,50.6413,52.0485,29370700
50.7572,2019-08-15,51.6263,50.2606,51.3035,16340400
52.5451,2019-08-16,52.6941,51.1959,51.2621,16450700
53.2322,2019-08-19,53.7288,53.108,53.6543,13312700
52.4955,2019-08-20,53.0418,52.4375,52.7438,9815800
52.3547,2019-08-21,53.1163,52.1975,53.0832,14692900
52.9011,2019-08-22,53.1494,52.4872,52.8183,9718500
51.2787,2019-08-23,53.0832,50.9227,52.3796,17997900
51.916,2019-08-26,51.9988,51.4608,51.7919,10628800
51.0386,2019-08-27,52.2306,50.6248,52.1561,17219300
51.6181,2019-08-28,51.9823,50.7407,50.7407,12343500
52.8928,2019-08-29,53.1659,52.2306,52.4044,11478200
53.2653,2019-08-30,53.6543,53.1328,53.257,11844600
52.4955,2019-09-03,53.0087,51.5849,52.9756,11991500
53.2073,2019-09-04,53.3729,52.8431,52.9756,9689800
54.9125,2019-09-05,55.6906,54.3082,54.3413,14723500
54.6062,2019-09-06,55.0449,54.4241,54.7883,10476000
56.9404,2019-09-09,57.3626,55.2022,55.2601,20193300
57.0977,2019-09-10,57.9503,56.659,57.2633,18146200
57.0315,2019-09-11,57.2881,56.3776,56.8825,11858800
57.3626,2019-09-12,57.9917,56.2286,56.3776,15528700
58.2648,2019-09-13,58.5545,57.8178,58.2234,14313100
57.8013,2019-09-16,58.0331,57.0812,57.0812,12063700
57.5116,2019-09-17,57.7599,56.8411,57.7599,10916900
58.0165,2019-09-18,58.2317,57.0812,57.2881,11234500
57.7185,2019-09-19,58.3311,57.6026,57.9917,10069100
57.404,2019-09-20,58.389,57.3874,58.0662,26002100
57.5695,2019-09-23,57.6937,56.7914,56.7997,9546300
56.2038,2019-09-24,57.5861,55.9223,57.5281,16801900
57.4288,2019-09-25,57.6937,56.1789,56.212,12243000
57.2053,2019-09-26,57.553,56.9487,57.3791,8555500
57.495,2019-09-27,58.24,57.1639,57.793,11559700
57.1805,2019-09-30,57.8592,57.1226,57.7765,8661000
56.4107,2019-10-01,58.1655,56.2948,57.5861,12428500
54.8462,2019-10-02,56.121,54.7883,56.0879,14760900
55.2105,2019-10-03,55.2353,53.6295,54.6973,12646100
56.4355,2019-10-04,56.4852,55.1856,55.2601,10977100
56.4107,2019-10-07,56.9818,56.1706,56.1789,7835500
54.9621,2019-10-08,55.6078,54.6559,55.4836,13500700
55.8147,2019-10-09,56.0961,55.285,55.4588,8357800
56.7997,2019-10-10,57.3543,55.914,56.0961,9817000
58.0248,2019-10-11,58.7118,57.9337,57.9337,14921700
58.1407,2019-10-14,58.3559,57.495,57.553,11398600
58.9519,2019-10-15,59.6637,56.8659,58.0827,22030100
57.5281,2019-10-16,59.1505,57.4619,58.6208,17295400
57.6109,2019-10-17,58.2234,57.2633,57.9668,11382800
57.7268,2019-10-18,58.0165,57.2301,57.3791,10413600
59.4402,2019-10-21,59.5064,58.3724,58.3724,13080600
59.6472,2019-10-22,60.3176,59.1588,59.3657,11052300
59.97,2019-10-23,59.9865,59.374,59.5147,10327000
59.8458,2019-10-24,60.3094,59.4816,60.0528,7445700
60.566,2019-10-25,60.7729,59.4402,59.5727,10497600
60.9136,2019-10-28,61.4847,60.7894,61.0295,13086900
60.4997,2019-10-29,61.0791,60.1935,60.5411,9592300
60.4004,2019-10-30,60.715,59.6803,60.2183,12431500
59.4816,2019-10-31,60.4004,59.0429,59.8955,16864000
61.5574,2019-11-01,61.6825,60.1068,60.2319,12935200
62.6495,2019-11-04,62.7496,61.7825,62.4745,12585200
62.3827,2019-11-05,63.3331,62.2243,62.6829,14403200
62.041,2019-11-06,62.5662,61.6658,62.041,12629200
63.1997,2019-11-07,63.5916,62.8663,62.8663,14340500
63.4582,2019-11-08,63.4582,62.5745,62.9246,7927100
63.0247,2019-11-11,63.4248,62.7245,62.8996,6020300
62.5828,2019-11-12,63.3248,62.5328,62.983,11066600
61.6158,2019-11-13,62.4494,61.4491,61.8992,14040700
61.5574,2019-11-14,61.6991,61.1322,61.3657,9446800
62.0243,2019-11-15,62.0743,61.424,61.9743,10294000
62.0243,2019-11-18,62.2244,61.324,61.9326,8525700
62.3744,2019-11-19,62.7245,62.0826,62.4995,9095500
61.6158,2019-11-20,62.291,61.0406,62.216,12799900
61.6074,2019-11-21,62.216,61.2823,61.7575,8585100
62.4161,2019-11-22,62.4578,61.6658,61.7742,7910700
63.0914,2019-11-25,63.2331,62.4161,62.4661,11497700
62.908,2019-11-26,63.2247,62.3744,63.2247,11306000
63.1247,2019-11-27,63.4665,62.9413,63.2247,7592100
62.6245,2019-11-29,63.1914,62.5161,62.8829,6246900
62.1243,2019-12-02,63.2998,62.0493,62.8746,11085300
61.1323,2019-12-03,61.249,60.4403,61.1739,13559400
61.8825,2019-12-04,62.1827,61.2073,61.5491,8266400
62.2827,2019-12-05,62.3994,61.9826,62.2327,9581200
63.1997,2019-12-06,63.5415,63.0247,63.2998,9877800
62.7996,2019-12-09,63.2914,62.5912,62.6745,8817100
63.1747,2019-12-10,63.5832,62.4161,62.5828,13019600
62.983,2019-12-11,63.5332,62.9413,63.4582,10484900
64.2335,2019-12-12,64.6253,63.0413,63.1997,15829000
63.6833,2019-12-13,64.8837,63.4081,64.2335,13447000
64.1168,2019-12-16,64.692,64.1084,64.4919,13967200
64.8087,2019-12-17,65.1338,64.3002,64.4335,14409200
64.9587,2019-12-18,65.3006,64.742,64.7753,12643000
65.1922,2019-12-19,65.4589,64.9754,65.0254,13006200
65.4506,2019-12-20,65.9008,65.0588,65.8091,32019400
65.659,2019-12-23,65.8341,65.3923,65.584,9256500
65.5173,2019-12-24,65.8091,65.4089,65.609,4576200
66.551,2019-12-26,66.5594,65.5673,65.6507,11992800
66.4176,2019-12-27,66.8428,66.3426,66.6928,10867900
66.2843,2019-12-30,67.0429,66.1425,66.8178,10084900
66.6011,2019-12-31,66.6428,65.9425,66.1259,8031200
67.7182,2020-01-02,67.7432,66.7178,66.8011,12728900
66.4427,2020-01-03,67.1263,66.2342,66.526,12437400
66.2343,2020-01-06,66.3176,65.6257,65.6257,10059500
65.659,2020-01-07,66.1092,65.634,66.1009,10469100
66.1592,2020-01-08,66.6928,65.5923,65.6674,11292400
66.7595,2020-01-09,67.5098,66.4677,67.5098,12895900
66.0676,2020-01-10,66.7011,65.9175,66.6928,10062100
67.2346,2020-01-13,67.293,65.8591,66.2759,16566300
68.285,2020-01-14,69.2854,67.5014,67.6931,24971800
67.7265,2020-01-15,68.4018,67.3013,68.135,16063600
67.5264,2020-01-16,68.4685,67.4014,68.3267,10426000
67.6265,2020-01-17,67.8599,67.368,67.6598,12413100
66.6094,2020-01-21,67.4514,66.5844,67.0929,10522000
66.7761,2020-01-22,67.0929,66.5761,66.8595,8045600
66.526,2020-01-23,66.7595,65.7924,66.3426,11618200
65.3756,2020-01-24,66.4177,64.7253,66.376,15036100
63.95,2020-01-27,64.1918,63.2331,63.5749,15859600
64.3919,2020-01-28,65.1338,64.0084,64.3669,10960200
63.7583,2020-01-29,64.9421,63.6999,64.642,9478900
64.5503,2020-01-30,64.642,62.9413,63.1414,12498200
62.4439,2020-01-31,63.9293,62.0243,63.7446,17101200
63.0481,2020-02-03,63.9544,62.6873,62.6873,11096500
64.1978,2020-02-04,64.844,64.1391,64.4076,12173200
66.1699,2020-02-05,66.279,65.2971,65.3895,13070400
66.2706,2020-02-06,67.0175,65.7923,66.9671,12826400
66.0356,2020-02-07,66.3377,65.5069,65.5657,8341700
65.8594,2020-02-10,66.0776,65.4986,65.5237,8418300
66.3713,2020-02-11,66.7573,65.9937,66.086,9437200
66.5727,2020-02-12,67.7811,66.5475,67.051,9484100
66.2958,2020-02-13,66.5308,65.9769,66.2035,8946200
66.1195,2020-02-14,66.3713,65.8342,66.2035,9056600
65.1041,2020-02-18,66.1783,65.0454,65.9685,10343500
65.4986,2020-02-19,65.7839,65.1377,65.3475,9145200
65.6412,2020-02-20,66.0356,64.8775,65.1713,11763400
64.1475,2020-02-21,65.423,63.9041,65.0873,14020000
60.8662,2020-02-24,62.1418,60.7907,61.5795,21096200
58.2648,2020-02-25,61.4369,57.9039,60.9501,27451000
57.2158,2020-02-26,59.255,57.199,58.7599,25552100
54.0856,2020-02-27,56.1332,54.0436,55.4703,34656800
53.2548,2020-02-28,54.0856,51.4757,52.0296,46013200
56.7206,2020-03-02,56.7374,52.9695,53.5821,29006400
54.5891,2020-03-03,57.4256,54.1024,56.9472,29547700
56.5528,2020-03-04,56.6619,54.0101,55.4283,24188500
53.28,2020-03-05,54.6479,52.8772,54.3793,27277600
51.4254,2020-03-06,52.2897,50.133,50.7373,29916600
43.109,2020-03-09,46.6672,42.7985,45.5763,35625600
46.642,2020-03-10,46.7427,43.2181,45.9287,32527500
42.6223,2020-03-11,45.593,41.9761,45.2741,36709000
36.3032,2020-03-12,41.1202,35.934,38.0152,45941600
42.8321,2020-03-13,42.9999,38.0236,40.1299,40519800
34.5661,2020-03-16,37.9564,33.2066,33.9787,35133800
33.7773,2020-03-17,36.9074,32.5605,35.2458,51650000
30.5716,2020-03-18,31.8807,26.854,31.1003,48351400
33.2654,2020-03-19,34.6081,28.7002,29.766,43397100
31.9395,2020-03-20,34.3983,31.2178,33.9535,38163900
29.6988,2020-03-23,32.015,29.0527,31.5115,33013300
34.1213,2020-03-24,34.3395,31.3352,31.5954,34100600
35.1284,2020-03-25,37.5117,33.0891,35.506,38211100
38.6194,2020-03-26,38.846,36.085,36.6557,31528600
36.7564,2020-03-27,38.183,36.085,37.0333,25484500
36.9914,2020-03-30,37.1424,34.885,36.9662,27459000
35.3466,2020-03-31,37.1172,34.9521,36.6137,26219100
32.3171,2020-04-01,33.7773,31.8891,32.8458,29219500
32.9213,2020-04-02,33.2821,31.3017,32.1912,29532100
