close,date,high,low,open,volume
23.9462,2019-08-12,24.0047,23.6623,23.821,2270900
24.1383,2019-08-13,24.4305,23.8711,24.0214,2982000
23.462,2019-08-14,24.013,23.4453,23.9295,4740200
24.0882,2019-08-15,24.1717,23.4453,23.5204,2561800
24.6058,2019-08-16,24.6893,24.1884,24.2468,2574000
25.0818,2019-08-19,25.1903,24.6726,24.7394,3528000
23.9462,2019-08-20,24.848,23.8878,24.848,5563600
23.7124,2019-08-21,24.0464,23.4369,24.0214,3601400
24.0464,2019-08-22,24.0965,23.5788,23.7959,2380900
23.32,2019-08-23,24.0464,23.2115,23.988,3948500
23.8878,2019-08-26,23.9128,23.3952,23.5788,3900700
23.3033,2019-08-27,24.0047,22.961,23.8794,4553800
23.7542,2019-08-28,23.8544,23.2866,23.3785,2494700
23.8711,2019-08-29,24.0882,23.7124,23.9128,2607300
23.679,2019-08-30,24.2385,23.6456,24.0548,4798000
23.7959,2019-09-03,23.8126,22.8441,23.4787,5858000
24.1216,2019-09-04,24.3971,23.7876,23.8627,2846200
23.7542,2019-09-05,24.4472,23.7542,24.322,4093100
23.9295,2019-09-06,23.988,23.2115,23.3117,5469900
24.3053,2019-09-09,24.3887,23.988,24.0464,3644300
24.5891,2019-09-10,24.9565,24.2802,24.2802,5580500
24.6309,2019-09-11,24.9983,24.347,24.539,5278800
24.848,2019-09-12,25.0066,24.6309,24.7144,5351000
24.9398,2019-09-13,25.4491,24.681,24.7227,3646300
25.4157,2019-09-16,25.5243,24.9231,24.9649,3958900
25.0233,2019-09-17,25.3489,24.9649,25.3489,7482900
24.6309,2019-09-18,25.2571,24.4054,25.0484,6770800
24.7645,2019-09-19,24.7728,24.1884,24.7478,4983400
24.8897,2019-09-20,25.1318,24.7561,24.7561,5498600
24.1299,2019-09-23,25.0651,24.1132,25.0317,4425800
24.681,2019-09-24,24.706,23.9796,24.1383,4174800
24.9649,2019-09-25,25.2905,24.7645,24.7979,6915500
25.8833,2019-09-26,26.5763,25.04,25.9417,13333400
25.2821,2019-09-27,26.092,24.9064,25.9417,6990200
25.6161,2019-09-30,25.7247,25.3573,25.3573,4590600
24.6142,2019-10-01,25.6495,24.5641,25.6495,5718600
23.6373,2019-10-02,24.6058,23.5705,24.5891,5319300
23.3534,2019-10-03,23.6707,22.986,23.6289,5761300
24.0965,2019-10-04,24.1132,23.3701,23.4536,4556800
23.9045,2019-10-07,24.347,23.8544,24.0882,3556300
23.2866,2019-10-08,23.7959,23.2616,23.7959,6573300
23.4536,2019-10-09,23.679,23.3033,23.5204,2712600
23.6707,2019-10-10,23.7625,23.2115,23.3033,3256100
23.7208,2019-10-11,23.9963,23.6874,23.7625,3194800
23.1948,2019-10-14,23.7959,23.1697,23.7542,3424700
22.6103,2019-10-15,23.1948,22.5101,23.1781,7046200
22.4767,2019-10-16,22.8858,22.4684,22.7356,3908200
22.8691,2019-10-17,22.9944,22.1427,22.4016,5216000
22.6688,2019-10-18,23.1113,22.6604,22.9025,3031000
22.9276,2019-10-21,23.0695,22.6688,22.6688,3110000
22.8525,2019-10-22,23.1113,22.6354,22.961,3062900
23.0528,2019-10-23,23.0862,22.6688,22.8691,4563200
22.6187,2019-10-24,22.8024,22.3181,22.7523,6973800
22.4767,2019-10-25,22.8525,22.4266,22.6688,3036100
22.794,2019-10-28,22.9443,22.5435,22.5519,3485800
22.9526,2019-10-29,23.3451,22.6938,22.8858,3060200
23.2031,2019-10-30,23.2532,22.8107,22.9443,2618200
22.7597,2019-10-31,23.315,22.6756,23.1888,3453600
23.1131,2019-11-01,23.1636,22.785,22.8102,2613400
23.3571,2019-11-04,23.3655,22.9616,23.0879,2216200
23.2309,2019-11-05,23.66,23.1552,23.3739,2808600
23.4244,2019-11-06,23.7526,23.3487,23.3739,3442900
23.3908,2019-11-07,23.4749,23.2056,23.4328,2323800
23.0879,2019-11-08,23.4328,22.9701,23.3992,2623500
23.1804,2019-11-11,23.1888,22.8859,23.0542,1915600
23.2057,2019-11-12,23.4244,23.1383,23.1636,2702600
23.8199,2019-11-13,23.8283,23.1468,23.2309,3568500
23.9292,2019-11-14,23.9629,23.6432,23.7778,4938200
24.2406,2019-11-15,24.2574,23.9292,23.9713,4229400
24.4425,2019-11-18,24.6613,24.0975,24.2153,4747800
24.6697,2019-11-19,24.6865,24.2321,24.4341,3597500
24.8127,2019-11-20,24.9389,24.5435,24.6528,3036100
23.7441,2019-11-21,24.7791,23.5927,24.7791,5897800
24.1733,2019-11-22,24.3079,23.8115,23.8115,4827900
24.2742,2019-11-25,24.3247,23.9881,24.2321,2300700
24.4509,2019-11-26,24.5435,24.2069,24.3584,3428000
24.5519,2019-11-27,24.6613,24.3836,24.5266,1953300
24.291,2019-11-29,24.5687,24.2574,24.5182,1046700
24.1985,2019-12-02,24.3331,24.0975,24.2742,3089000
24.0639,2019-12-03,24.1648,23.8451,23.8451,3855900
24.7286,2019-12-04,24.7875,24.0555,24.0555,5332200
24.2153,2019-12-05,24.9137,24.148,24.8211,4496000
24.3163,2019-12-06,24.5687,24.291,24.2995,4444600
24.6528,2019-12-09,24.7538,24.3331,24.3415,3347200
24.5855,2019-12-10,24.7959,24.4593,24.6192,2364400
24.0891,2019-12-11,24.737,24.005,24.636,3352400
23.7526,2019-12-12,24.2237,23.7021,23.9377,4292200
23.8788,2019-12-13,24.0639,23.7105,23.761,3085200
24.2321,2019-12-16,24.5098,23.9545,23.9629,3804800
24.5603,2019-12-17,24.6276,23.9797,23.9881,4015700
24.4425,2019-12-18,24.9221,24.291,24.6697,5630900
28.3213,2019-12-19,29.2216,26.1505,26.2178,30108200
29.5077,2019-12-20,29.5918,28.2035,28.3297,14901600
28.6242,2019-12-23,29.9452,28.5064,29.6002,7529900
28.6495,2019-12-24,29.0449,28.5148,28.6579,2459600
28.3466,2019-12-26,28.7757,28.1446,28.5737,4672700
28.7589,2019-12-27,28.843,28.3297,28.4139,2574400
28.6411,2019-12-30,28.8009,28.498,28.7084,1813200
28.8093,2019-12-31,28.9187,28.4391,28.7084,2558500
28.2961,2020-01-02,28.9524,28.0857,28.8178,4299000
28.0521,2020-01-03,28.599,28.0268,28.2624,3054300
28.2035,2020-01-06,28.4559,28.111,28.4055,4579100
27.1939,2020-01-07,28.1278,27.1854,28.0353,8378000
26.8152,2020-01-08,27.5052,26.79,27.379,4944200
27.1013,2020-01-09,27.3032,26.7058,27.0845,5620600
26.7816,2020-01-10,27.0845,26.6974,26.9499,4886800
26.9499,2020-01-13,26.9751,26.5965,26.8741,4917900
27.0508,2020-01-14,27.0592,26.7227,26.933,4921600
26.8657,2020-01-15,27.1939,26.7732,27.1013,3276500
27.177,2020-01-16,27.1854,26.891,26.891,2664800
28.0437,2020-01-17,28.0773,27.1602,27.177,8327000
27.5641,2020-01-21,27.9764,27.3201,27.6061,6294200
27.1686,2020-01-22,27.7071,27.135,27.6146,3668100
27.5052,2020-01-23,27.665,26.8994,26.9667,3907200
27.1602,2020-01-24,27.6819,26.9835,27.623,3046500
27.3706,2020-01-27,27.4463,26.8152,26.8152,4651100
28.0353,2020-01-28,28.153,27.3032,27.4126,5854400
27.9343,2020-01-29,28.1615,27.6482,28.1194,2783000
28.157,2020-01-30,28.1655,27.6489,28.0469,2479800
27.8775,2020-01-31,28.2078,27.7251,28.0469,3847400
27.8945,2020-02-03,28.1739,27.4711,27.9622,5498000
27.0307,2020-02-04,28.0554,27.0223,28.013,4124200
27.6658,2020-02-05,27.9368,27.217,27.217,3584300
27.1747,2020-02-06,27.7929,26.963,27.4372,3223500
27.0561,2020-02-07,27.4203,26.9714,27.1408,2307900
27.3017,2020-02-10,27.3356,26.7767,26.9884,1864100
27.7759,2020-02-11,27.8183,27.2424,27.361,3395900
27.632,2020-02-12,27.9622,27.488,27.7759,2551400
27.5896,2020-02-13,27.615,27.2001,27.5558,4355300
27.6828,2020-02-14,27.7421,27.1408,27.632,3191900
25.9807,2020-02-18,26.6158,25.4048,25.9214,11377100
25.2354,2020-02-19,26.1416,25.1592,25.9552,5187800
25.3032,2020-02-20,25.3455,25.0576,25.2016,2858000
25.0576,2020-02-21,25.498,24.8713,25.1762,3031200
24.7528,2020-02-24,24.8459,24.4733,24.7274,3678300
24.0329,2020-02-25,24.8544,23.6349,24.8205,7015100
22.8135,2020-02-26,24.3039,22.7966,24.2277,8256100
22.3308,2020-02-27,22.8305,21.8058,22.5256,7140600
22.6018,2020-02-28,22.6103,20.942,21.6534,9385100
23.9144,2020-03-02,23.9652,22.6357,22.7458,8240000
23.4317,2020-03-03,24.5326,23.1692,23.8805,5143000
24.3801,2020-03-04,24.414,23.6603,24.0414,2919300
24.1092,2020-03-05,24.2701,23.6688,23.745,3706700
23.9229,2020-03-06,24.2531,23.076,23.2454,7003200
23.3047,2020-03-09,23.7366,22.026,22.4663,5455500
23.5926,2020-03-10,23.9059,22.3901,23.7027,6303900
22.7034,2020-03-11,23.1946,22.3393,22.9829,7153600
20.4424,2020-03-12,22.7627,20.417,21.2046,9965600
20.9928,2020-03-13,21.484,19.3331,21.2977,7255200
23.0422,2020-03-16,24.4056,19.3754,19.4431,9145900
25.2354,2020-03-17,26.0992,23.3386,23.4148,10445200
23.0845,2020-03-18,27.0477,22.8643,24.5919,10570000
22.28,2020-03-19,24.1515,20.7811,23.1607,7306600
22.0598,2020-03-20,22.9744,21.3485,22.28,7980800
21.8143,2020-03-23,23.2454,21.0521,22.4155,6674800
22.4663,2020-03-24,23.1946,21.8058,22.3901,6051500
22.0852,2020-03-25,23.3301,21.9328,22.3562,6451600
23.5841,2020-03-26,23.7112,21.6957,22.026,5753900
23.6434,2020-03-27,23.8128,22.6103,23.093,5413400
23.9059,2020-03-30,24.7189,23.4486,23.9229,5890900
24.8459,2020-03-31,27.0561,24.2531,26.0145,11205600
25.2016,2020-04-01,25.5234,23.9313,23.9991,8379500
25.3455,2020-04-02,25.752,24.6003,24.7189,3777600
26.4295,2020-04-03,26.4888,25.0068,25.0068,4954300
26.5057,2020-04-06,27.0985,26.2178,26.6242,6386200
25.7859,2020-04-07,26.6666,25.5149,26.5819,6884100
26.5142,2020-04-08,26.5226,25.5064,25.8452,3616600
27.488,2020-04-09,27.8352,26.2516,26.2516,5145600
27.0646,2020-04-13,27.5981,26.7174,27.3441,3095800
28.2332,2020-04-14,28.5465,27.3525,27.5049,3457200
27.8352,2020-04-15,28.284,27.615,28.0723,2618800
28.3433,2020-04-16,28.428,27.2932,28.1062,4964700
28.4364,2020-04-17,28.5635,27.9114,28.5465,4020900
28.6905,2020-04-20,29.351,28.1993,28.3856,3439900
28.6482,2020-04-21,29.0377,28.411,28.6905,3201500
29.0462,2020-04-22,29.2325,28.5804,28.9869,2484300
28.7752,2020-04-23,29.1054,28.6566,28.7582,4239000
28.9445,2020-04-24,29.2833,28.555,29.0038,2978100
29.3002,2020-04-27,29.6644,29.0123,29.1732,2783300
29.3087,2020-04-28,30.02,29.2579,29.4188,3595600
29.1493,2020-04-29,29.4561,28.8085,29.0215,4974900
28.4933,2020-04-30,29.226,28.2802,29.209,3809500
