close,date,high,low,open,volume
111.513,2019-08-12,113.241,110.616,111.167,616300
112.764,2019-08-13,113.838,110.635,112.69,708000
111.541,2019-08-14,114.315,111.354,112.213,622800
113.838,2019-08-15,113.979,111.447,111.447,629000
113.371,2019-08-16,114.782,112.092,114.072,1837700
112.4,2019-08-19,113.848,111.438,113.502,649900
111.578,2019-08-20,113.269,110.7,111.597,585800
111.316,2019-08-21,112.325,109.99,112.325,552000
111.989,2019-08-22,112.979,111.354,111.793,375000
111.952,2019-08-23,113.867,111.176,112.587,631900
112.746,2019-08-26,113.54,111.559,112.045,358100
112.148,2019-08-27,112.746,110.102,112.746,433500
112.054,2019-08-28,112.783,110.635,111.905,278400
111.436,2019-08-29,112.429,110.452,112.429,360100
111.642,2019-08-30,113.254,110.724,112.495,550400
111.577,2019-09-03,112.326,109.731,109.731,531600
111.661,2019-09-04,112.588,111.427,112.26,649900
111.689,2019-09-05,112.691,111.099,112.691,486500
111.211,2019-09-06,112.757,111.071,112.757,667300
111.211,2019-09-09,112.326,110.921,112.326,698400
107.96,2019-09-10,111.651,107.417,111.651,894000
107.735,2019-09-11,108.925,106.564,108.166,779000
107.801,2019-09-12,109.103,107.314,108.485,409400
104.053,2019-09-13,107.042,102.311,106.901,1346500
103.997,2019-09-16,105.899,103.21,104.672,668200
106.32,2019-09-17,107.379,103.922,104.559,754500
108.363,2019-09-18,109.796,106.817,107.276,992200
109.094,2019-09-19,109.974,107.332,107.332,729600
108.269,2019-09-20,110.602,108.101,110.602,1247400
108.607,2019-09-23,109.825,106.864,107.576,553700
110.771,2019-09-24,111.164,109.103,109.122,751700
110.49,2019-09-25,110.939,108.663,110.939,514500
110.34,2019-09-26,110.621,108.934,110.443,444400
108.157,2019-09-27,110.78,107.07,110.106,607100
107.66,2019-09-30,109.197,107.379,107.913,664800
108.288,2019-10-01,109.187,106.948,108.007,510400
105.683,2019-10-02,108.934,105.608,107.913,978600
108.831,2019-10-03,109.047,105.683,105.683,691700
108.944,2019-10-04,110.508,108.213,108.466,681200
110.79,2019-10-07,110.977,108.129,108.129,620700
109.131,2019-10-08,110.79,107.304,109.656,542200
109.759,2019-10-09,110.434,109.131,109.89,463600
109.693,2019-10-10,110.902,108.934,108.934,492600
108.307,2019-10-11,110.527,107.351,110.527,689700
107.913,2019-10-14,109.918,107.838,108.335,323400
107.791,2019-10-15,109.384,107.773,107.773,457300
108.194,2019-10-16,108.607,106.958,107.96,633100
109.103,2019-10-17,109.946,107.595,108.157,316100
109.403,2019-10-18,109.825,108.447,108.447,317800
107.998,2019-10-21,110.143,107.754,110.143,505100
107.445,2019-10-22,109.581,107.398,108.653,317600
106.836,2019-10-23,107.698,106.236,106.808,454700
108.4,2019-10-24,108.991,106.686,107.445,261700
106.901,2019-10-25,108.85,106.564,108.682,374700
106.077,2019-10-28,107.426,105.112,107.323,596900
106.658,2019-10-29,107.754,106.086,106.377,707500
109.281,2019-10-30,109.59,106.096,106.461,575200
