close,date,high,low,open,volume
115.841,2019-08-12,116.364,115.005,115.898,904900
116.209,2019-08-13,116.446,114.015,115.497,1762800
113.745,2019-08-14,116.094,113.679,115.906,1693400
116.586,2019-08-15,116.913,113.54,113.827,1222500
117.003,2019-08-16,117.552,116.029,117.347,1637000
118.591,2019-08-19,118.763,116.676,117.601,1090800
118.305,2019-08-20,119.222,117.756,119.115,1434500
118.845,2019-08-21,119.295,118.329,118.976,1201300
119.615,2019-08-22,119.786,117.969,118.902,893300
119.803,2019-08-23,121.064,119.394,119.934,1751200
120.826,2019-08-26,121.088,119.844,120.343,980800
119.582,2019-08-27,121.735,119.549,121.195,1690700
119.893,2019-08-28,121.064,119.434,119.672,1447600
119.484,2019-08-29,120.957,118.722,120.474,1396400
118.845,2019-08-30,119.811,118.198,119.811,2003500
120.818,2019-09-03,120.834,118.591,118.78,1361400
122.038,2019-09-04,122.365,120.982,121.162,1361400
120.4,2019-09-05,122.308,119.606,122.267,1273000
119.885,2019-09-06,120.974,119.459,120.376,977700
117.461,2019-09-09,119.77,117.183,119.713,1631600
114.056,2019-09-10,116.545,113.164,116.52,2363800
113.516,2019-09-11,114.956,112.902,113.851,2205900
114.568,2019-09-12,115.55,113.115,114.246,1699100
112.612,2019-09-13,115.278,111.976,114.403,2276800
113.866,2019-09-16,114.353,112.133,112.348,1693800
117.597,2019-09-17,117.721,114.65,114.65,2057600
116.004,2019-09-18,118.249,114.527,118.018,2550800
116.574,2019-09-19,117.127,116.012,116.375,1599800
116.029,2019-09-20,117.234,115.162,116.928,2333900
116.739,2019-09-23,117.366,114.725,116.144,1295700
117.49,2019-09-24,117.952,116.887,117.093,1289700
115.624,2019-09-25,117.878,115.55,117.878,1512000
117.201,2019-09-26,117.597,115.558,115.575,1158400
113.792,2019-09-27,117.184,112.686,116.986,2696500
114.733,2019-09-30,115.401,114.04,114.254,2530100
112.901,2019-10-01,114.882,112.81,114.634,2234000
112.661,2019-10-02,113.322,111.613,113.024,1981100
113.355,2019-10-03,113.965,112.546,112.975,2433300
113.833,2019-10-04,114.32,113.33,113.503,2126700
