close,date,high,low,open,volume
47.96,2019-08-12,48.88,47.82,48.36,3401100
49.73,2019-08-13,50.0,47.66,47.66,4510300
47.78,2019-08-14,49.0,47.49,48.77,4568200
47.56,2019-08-15,48.14,47.06,48.05,4356100
48.01,2019-08-16,48.59,47.94,48.0,3718300
47.44,2019-08-19,48.67,47.06,48.67,6304300
46.54,2019-08-20,47.45,46.49,47.36,4090900
46.93,2019-08-21,47.3,46.77,46.88,2995400
45.55,2019-08-22,47.16,45.51,47.04,5372500
44.72,2019-08-23,45.85,44.5,45.25,4308100
45.27,2019-08-26,45.3,44.73,45.1,4667300
45.03,2019-08-27,45.86,44.53,45.3,7486500
45.32,2019-08-28,45.75,44.58,44.8,4112100
46.32,2019-08-29,46.36,45.51,45.78,3723000
46.62,2019-08-30,47.01,46.24,46.74,3041400
46.14,2019-09-03,46.31,45.58,46.22,3021700
45.61,2019-09-04,46.67,45.5,46.54,2613900
46.14,2019-09-05,46.48,45.5,46.17,2627300
45.89,2019-09-06,46.67,45.78,46.3,3079900
46.23,2019-09-09,46.4,45.28,45.91,5532200
47.31,2019-09-10,47.48,45.78,46.33,4449100
46.78,2019-09-11,47.53,46.45,47.42,2730900
44.89,2019-09-12,47.17,44.81,47.09,6338500
45.4,2019-09-13,46.12,45.25,45.36,5923900
46.12,2019-09-16,46.46,45.15,45.15,5330100
45.55,2019-09-17,46.23,45.48,46.09,5660100
46.0,2019-09-18,46.4,45.41,45.47,4378100
46.45,2019-09-19,47.17,46.2,46.25,4133900
46.39,2019-09-20,46.9,46.05,46.68,6125800
46.39,2019-09-23,46.49,45.85,46.12,3173500
45.78,2019-09-24,46.76,45.22,46.62,4367200
45.33,2019-09-25,46.47,45.29,45.64,3308100
43.13,2019-09-26,45.35,42.96,45.19,6626300
43.17,2019-09-27,43.75,42.77,43.42,4643300
43.26,2019-09-30,43.69,42.93,43.09,4833100
42.75,2019-10-01,43.62,41.62,43.5,7653800
42.73,2019-10-02,43.45,42.19,42.47,5790900
43.23,2019-10-03,43.28,42.45,42.53,4949100
43.57,2019-10-04,43.73,42.76,43.44,3165600
43.82,2019-10-07,44.41,43.37,43.51,5564600
42.76,2019-10-08,43.58,42.63,43.42,7304900
43.82,2019-10-09,43.95,43.02,43.1,4128000
44.09,2019-10-10,44.27,43.29,43.68,4536100
44.27,2019-10-11,45.24,44.2,44.67,3173000
43.9,2019-10-14,44.37,43.71,44.12,2466600
45.21,2019-10-15,46.0,44.4,44.68,5746500
45.54,2019-10-16,45.75,44.83,44.89,3485000
47.18,2019-10-17,47.26,45.8,45.98,7092800
46.88,2019-10-18,47.29,46.13,47.09,5060200
45.77,2019-10-21,47.3,45.77,47.2,5588200
48.75,2019-10-22,49.58,45.22,45.68,10963900
48.39,2019-10-23,48.91,47.5,48.26,5381800
47.64,2019-10-24,48.7,47.07,48.7,3380700
