close,date,high,low,open,volume
194.138,2019-08-12,196.014,193.636,194.943,938200
196.592,2019-08-13,197.388,193.086,194.47,833200
191.077,2019-08-14,195.427,190.679,194.261,1091600
193.001,2019-08-15,193.437,191.248,192.309,945900
195.976,2019-08-16,196.753,193.19,193.541,1177100
197.644,2019-08-19,198.876,195.218,198.26,963700
195.777,2019-08-20,197.644,195.455,197.388,734100
196.251,2019-08-21,197.35,195.616,196.877,677500
196.043,2019-08-22,198.137,194.128,197.208,794400
191.248,2019-08-23,196.952,190.158,195.825,1167100
192.271,2019-08-26,193.096,191.636,192.518,1109500
193.996,2019-08-27,196.09,193.276,194.034,1761000
194.053,2019-08-28,194.451,192.167,192.897,1157800
196.156,2019-08-29,197.066,195.029,195.209,1084500
195.503,2019-08-30,197.474,194.924,197.104,1079800
193.778,2019-09-03,195.038,192.461,194.233,1110300
195.995,2019-09-04,196.374,194.773,196.024,856100
194.574,2019-09-05,197.815,194.489,197.265,900900
195.863,2019-09-06,196.82,194.309,195.645,988900
190.262,2019-09-09,197.104,188.519,197.104,1381500
186.927,2019-09-10,189.741,185.6,189.447,1978500
186.86,2019-09-11,188.007,185.136,186.965,1335000
187.41,2019-09-12,191.418,186.623,188.973,1036000
188.471,2019-09-13,188.651,186.368,188.035,948800
182.468,2019-09-16,188.015,181.946,187.379,1396700
185.042,2019-09-17,186.667,182.677,183.228,1095900
186.22,2019-09-18,186.515,184.501,185.688,820200
186.638,2019-09-19,187.426,185.365,185.365,764100
186.22,2019-09-20,187.797,185.783,186.914,1585700
186.002,2019-09-23,186.781,185.422,185.451,541400
185.08,2019-09-24,188.87,184.89,187.407,1075500
187.398,2019-09-25,187.474,184.662,185.802,752600
188.471,2019-09-26,189.355,186.258,187.132,746100
187.863,2019-09-27,189.962,186.562,189.753,985000
188.101,2019-09-30,189.108,187.635,188.053,786700
186.03,2019-10-01,189.421,185.584,188.984,965600
182.202,2019-10-02,185.878,181.053,184.7,946000
183.152,2019-10-03,183.257,179.524,182.031,775100
184.852,2019-10-04,186.524,183.456,183.532,783200
181.519,2019-10-07,184.7,181.471,183.827,1328900
180.132,2019-10-08,181.785,179.79,181.291,1103100
181.709,2019-10-09,182.924,181.015,181.88,833400
183.494,2019-10-10,183.684,180.92,181.348,695800
184.966,2019-10-11,187.531,184.738,185.289,794100
184.273,2019-10-14,185.888,184.207,184.634,691200
184.881,2019-10-15,185.916,184.625,185.565,644700
185.432,2019-10-16,186.078,183.589,184.795,784900
184.302,2019-10-17,186.581,183.38,186.268,739600
184.093,2019-10-18,185.08,182.658,184.454,673300
181.994,2019-10-21,184.738,181.215,184.321,1111700
178.945,2019-10-22,182.221,178.888,181.993,1151800
178.897,2019-10-23,180.949,178.128,179.742,1588400
181.253,2019-10-24,182.611,179.059,179.439,1416400
182.307,2019-10-25,182.402,180.284,181.177,573200
181.975,2019-10-28,183.646,181.025,183.124,923800
184.757,2019-10-29,185.166,175.772,177.121,2174300
183.988,2019-10-30,185.432,182.687,184.881,1341600
182.43,2019-10-31,185.365,181.376,184.188,796900
181.395,2019-11-01,184.007,180.854,183.694,927200
180.312,2019-11-04,183.029,179.97,182.326,885100
183.285,2019-11-05,183.513,179.467,179.515,1325200
183.276,2019-11-06,184.159,182.601,183.779,739400
181.224,2019-11-07,183.551,180.113,183.361,775800
180.835,2019-11-08,182.962,180.208,181.642,587800
179.363,2019-11-11,181.129,179.021,179.742,502700
178.869,2019-11-12,180.987,178.175,179.828,685000
180.844,2019-11-13,181.215,177.643,178.394,737800
182.136,2019-11-14,182.354,180.512,180.778,584900
182.117,2019-11-15,183.532,181.405,183.266,750500
181.661,2019-11-18,182.658,180.806,182.259,757300
179.923,2019-11-19,182.421,179.79,181.889,1850900
176.874,2019-11-20,180.93,176.817,180.483,2228700
173.835,2019-11-21,176.798,173.673,175.715,2366800
173.35,2019-11-22,174.794,172.961,174.044,1627200
172.923,2019-11-25,174.186,172.324,173.635,1418600
176.884,2019-11-26,177.292,172.695,173.293,2211500
177.567,2019-11-27,178.422,176.067,177.178,745400
177.301,2019-11-29,178.137,176.428,176.817,458200
175.867,2019-12-02,177.909,175.782,177.909,996800
176.038,2019-12-03,176.409,173.863,174.87,1110600
174.651,2019-12-04,177.947,174.566,176.637,1128800
175.763,2019-12-05,176.713,174.889,175.516,1432500
177.054,2019-12-06,178.479,176.713,177.738,690600
175.905,2019-12-09,177.225,175.497,176.665,645400
175.858,2019-12-10,177.558,175.734,176.494,790000
175.82,2019-12-11,177.055,174.908,176.551,1087200
175.886,2019-12-12,177.159,175.478,176.219,895300
176.19,2019-12-13,177.216,175.316,175.402,653300
177.095,2019-12-16,178.437,176.809,177.219,1274800
177.971,2019-12-17,178.409,176.323,176.99,909900
176.819,2019-12-18,178.837,176.571,178.561,1717800
182.618,2019-12-19,183.751,179.304,180.532,1790300
182.084,2019-12-20,184.141,179.999,183.637,2500800
183.018,2019-12-23,183.941,181.57,182.675,948700
182.303,2019-12-24,183.446,181.989,182.808,249500
182.484,2019-12-26,182.618,181.618,182.113,454300
182.522,2019-12-27,183.732,182.17,183.265,646100
182.465,2019-12-30,183.037,181.351,182.589,523000
183.77,2019-12-31,183.894,181.875,182.618,775100
181.142,2020-01-02,184.627,180.78,184.408,1590500
180.275,2020-01-03,182.389,178.409,179.59,1251100
178.742,2020-01-06,180.247,178.714,179.333,1294800
178.514,2020-01-07,180.827,177.428,178.171,1556700
178.58,2020-01-08,179.809,177.295,178.542,1185900
180.961,2020-01-09,181.199,178.933,178.933,1115600
179.904,2020-01-10,181.427,179.704,181.351,828600
182.265,2020-01-13,182.323,180.228,180.228,645400
180.885,2020-01-14,182.646,180.409,181.827,1212600
182.303,2020-01-15,183.208,180.751,180.789,657000
183.779,2020-01-16,184.246,182.703,183.132,1393700
186.236,2020-01-17,186.255,183.065,184.236,1157300
186.198,2020-01-21,187.598,185.408,186.065,1273100
187.017,2020-01-22,188.055,186.322,187.084,1408200
188.826,2020-01-23,188.979,186.389,187.645,1253300
188.55,2020-01-24,189.769,187.588,189.064,891100
187.35,2020-01-27,187.979,186.122,186.817,1156700
188.712,2020-01-28,189.369,186.788,187.484,894900
188.36,2020-01-29,190.131,188.264,189.493,587700
189.95,2020-01-30,190.14,186.893,188.16,654100
186.741,2020-01-31,189.731,186.227,188.798,1095000
191.902,2020-02-03,192.178,186.827,187.645,1612700
193.73,2020-02-04,194.806,192.102,192.654,1388800
196.444,2020-02-05,196.634,192.816,195.035,1443900
197.215,2020-02-06,197.272,195.492,196.634,1235600
195.816,2020-02-07,197.587,195.311,197.091,832200
195.149,2020-02-10,195.892,194.568,195.197,877500
194.844,2020-02-11,196.044,194.749,195.016,901100
196.939,2020-02-12,197.587,195.025,195.816,1100000
197.168,2020-02-13,198.682,195.501,196.501,1088300
197.406,2020-02-14,198.187,196.625,197.606,1377300
197.758,2020-02-18,199.653,194.93,197.282,1355800
200.262,2020-02-19,200.643,198.272,198.653,1200800
196.453,2020-02-20,201.148,195.225,199.967,1200200
197.587,2020-02-21,198.853,195.768,195.977,1053800
192.845,2020-02-24,195.692,192.597,194.102,1307000
185.474,2020-02-25,193.692,184.465,192.349,1285800
185.141,2020-02-26,188.198,184.579,186.16,1716300
174.714,2020-02-27,183.503,174.667,182.237,2116600
171.829,2020-02-28,171.981,165.697,169.82,3424800
182.084,2020-03-02,182.142,173.391,173.971,1778700
184.655,2020-03-03,187.626,181.875,183.018,3065700
194.578,2020-03-04,194.759,186.065,188.455,1897700
189.407,2020-03-05,193.054,188.112,189.769,1599100
185.122,2020-03-06,186.398,179.856,184.646,1864400
175.057,2020-03-09,180.894,172.591,174.019,2081600
181.732,2020-03-10,182.57,172.267,179.932,2935700
177.666,2020-03-11,178.675,173.591,176.504,2145400
157.174,2020-03-12,169.867,157.117,166.287,2583500
