close,date,high,low,open,volume
89.8613,2019-08-12,90.27,89.3859,89.6612,982800
89.9281,2019-08-13,90.2867,89.2191,89.9364,1028900
89.2442,2019-08-14,90.5203,88.9105,90.1866,955700
90.9123,2019-08-15,91.2459,87.5427,89.2608,1515700
91.0707,2019-08-16,91.4544,90.7371,90.9623,905200
91.5712,2019-08-19,92.0299,90.562,91.1208,989500
91.9215,2019-08-20,92.2134,91.2959,92.0799,1312300
93.1392,2019-08-21,93.1475,91.7046,91.8798,996300
92.8389,2019-08-22,93.2309,92.205,93.1475,1050600
91.6129,2019-08-23,93.5145,91.1875,92.9223,1299500
93.0308,2019-08-26,93.0474,91.7797,91.7797,833700
93.4978,2019-08-27,93.8982,93.0641,93.4478,918000
93.6813,2019-08-28,93.9149,92.9974,93.698,946200
94.2652,2019-08-29,94.4153,93.3811,94.065,758100
94.115,2019-08-30,94.6322,93.7397,94.4653,890600
96.0667,2019-09-03,96.1751,94.1234,94.3235,2036600
96.392,2019-09-04,96.6673,95.6747,96.2836,882800
95.4996,2019-09-05,96.0667,94.7406,95.6997,1788200
94.7072,2019-09-06,95.6163,94.5904,95.1993,1780700
93.9065,2019-09-09,95.0158,93.6647,94.9992,1414300
93.623,2019-09-10,93.6813,92.6638,93.6647,1433100
94.1734,2019-09-11,94.4153,93.1309,93.6229,1378200
94.9908,2019-09-12,95.6831,94.1984,94.9408,1066700
94.6822,2019-09-13,95.1743,94.015,94.4737,1325100
94.6905,2019-09-16,94.9658,94.0566,94.8073,1030500
95.4662,2019-09-17,96.0834,95.0492,95.166,1064800
95.6247,2019-09-18,96.025,94.9574,95.8082,1037300
95.9833,2019-09-19,96.1501,95.4495,96.1251,1126700
96.0918,2019-09-20,97.2261,95.608,96.6923,4099200
96.4421,2019-09-23,96.6089,95.6664,96.1752,1242500
97.6598,2019-09-24,97.9934,96.7674,96.8007,1452400
97.4846,2019-09-25,97.7348,96.8591,97.4763,1189100
98.0435,2019-09-26,98.5022,97.5347,97.7515,1095200
98.0017,2019-09-27,98.2436,97.2427,98.1435,863000
97.885,2019-09-30,98.7024,97.7015,97.9434,1134700
97.8516,2019-10-01,97.91,97.0759,97.6181,755700
97.126,2019-10-02,98.1686,96.7507,97.8183,1064500
97.1677,2019-10-03,97.5597,96.759,97.3178,1224400
99.061,2019-10-04,99.1361,97.101,97.3929,1126400
98.2436,2019-10-07,98.7774,98.1269,98.6857,1096400
98.1018,2019-10-08,98.8608,97.7849,98.4104,1427100
98.4688,2019-10-09,98.8775,98.1018,98.1352,890200
98.2436,2019-10-10,98.5939,97.5013,98.1269,731400
97.7766,2019-10-11,98.4354,97.4012,98.1936,794500
97.2594,2019-10-14,98.302,96.9759,98.0017,776300
96.3753,2019-10-15,97.6765,96.342,97.2594,966200
96.784,2019-10-16,96.8007,95.7832,96.3086,1459900
97.8183,2019-10-17,99.3946,97.2428,98.8858,2888400
98.5439,2019-10-18,98.7774,97.4513,97.5764,1524400
99.2695,2019-10-21,99.3863,98.3437,98.3604,1326100
99.5948,2019-10-22,99.9618,99.2612,99.4947,1222700
100.629,2019-10-23,100.662,99.6115,99.82,1878000
101.129,2019-10-24,101.296,100.521,100.521,994200
