close,date,high,low,open,volume
99.639,2019-08-12,99.7645,98.7773,99.229,667400
99.5637,2019-08-13,99.8649,98.2921,99.5972,761100
98.6936,2019-08-14,99.9067,98.6183,99.6139,565100
101.061,2019-08-15,101.304,98.7773,98.9613,771500
100.911,2019-08-16,101.53,100.718,101.337,944900
101.823,2019-08-19,102.09,100.543,101.27,619400
101.195,2019-08-20,102.793,100.911,102.759,730500
101.036,2019-08-21,101.956,100.927,101.488,1000100
101.538,2019-08-22,101.772,100.568,101.229,1305600
101.229,2019-08-23,103.036,100.835,101.856,805300
101.664,2019-08-26,101.839,100.676,101.413,567900
101.421,2019-08-27,102.751,101.371,102.023,676500
101.229,2019-08-28,102.007,101.203,101.714,616700
101.404,2019-08-29,101.789,100.844,101.613,821300
101.998,2019-08-30,102.299,101.003,101.605,678600
102.45,2019-09-03,103.211,101.764,101.889,906100
103.337,2019-09-04,104.123,102.642,102.893,1050800
101.396,2019-09-05,103.521,101.036,103.044,1009100
100.174,2019-09-06,101.956,100.107,101.68,917800
98.953,2019-09-09,100.292,98.4929,100.091,1292700
96.8615,2019-09-10,98.8359,96.2173,98.3925,1088300
97.4973,2019-09-11,97.8319,95.8994,96.4934,841100
97.8821,2019-09-12,99.4884,97.5893,98.451,965000
97.899,2019-09-13,98.5145,97.41,98.0255,1073500
98.7421,2019-09-16,98.8686,96.3393,97.0138,1031200
99.2479,2019-09-17,99.8802,98.7758,99.2479,845200
98.4976,2019-09-18,99.6105,97.6461,99.4165,693200
98.5145,2019-09-19,99.1299,97.958,99.0203,791100
97.781,2019-09-20,99.3238,97.5533,98.9613,1712700
97.5786,2019-09-23,98.0002,97.2582,97.3931,996100
98.0845,2019-09-24,98.5313,97.233,97.899,1399100
98.6999,2019-09-25,98.7674,97.8737,98.1351,791900
99.4671,2019-09-26,99.6948,98.4976,98.9866,939200
98.3795,2019-09-27,99.5514,97.7135,99.5177,631500
98.4892,2019-09-30,99.2985,98.1688,98.1856,763800
97.5196,2019-10-01,98.3964,96.0526,98.2278,806000
97.1233,2019-10-02,98.4217,96.9463,97.6461,818900
98.3458,2019-10-03,98.818,97.3088,97.351,1337600
99.0203,2019-10-04,99.3491,98.0592,98.4976,573400
98.4301,2019-10-07,99.054,98.2615,98.5482,509600
98.6578,2019-10-08,99.3238,97.5955,98.5482,930300
98.5229,2019-10-09,99.3238,98.3458,98.9276,472700
98.0339,2019-10-10,98.6325,97.5365,98.3205,545000
97.5196,2019-10-11,98.076,97.3425,97.7978,709800
97.1571,2019-10-14,97.7978,96.8367,97.6461,440300
