close,date,high,low,open,volume
357.9,2019-08-12,364.8,355.02,362.53,158900
337.33,2019-08-13,362.75,335.85,356.57,851800
326.93,2019-08-14,333.95,324.21,331.62,545600
340.98,2019-08-15,342.53,327.54,327.77,248200
350.12,2019-08-16,350.73,327.54,344.21,220200
345.47,2019-08-19,353.46,344.82,351.97,226800
346.4,2019-08-20,353.02,342.95,345.3,183900
349.68,2019-08-21,352.07,346.02,349.65,160500
352.54,2019-08-22,354.33,347.78,351.76,136100
346.19,2019-08-23,356.78,345.4,352.36,210400
350.37,2019-08-26,350.58,343.63,350.0,129100
353.35,2019-08-27,356.54,347.7,353.95,178600
346.36,2019-08-28,352.03,345.19,352.03,251100
354.18,2019-08-29,354.5,346.17,352.02,220000
352.72,2019-08-30,356.93,347.82,356.28,155700
352.0,2019-09-03,354.3,349.37,350.89,258000
355.5,2019-09-04,359.47,353.01,355.21,251300
364.82,2019-09-05,365.38,356.61,359.0,251200
369.4,2019-09-06,373.24,365.92,365.92,332400
349.26,2019-09-09,370.02,344.74,370.02,383800
326.2,2019-09-10,344.45,318.81,344.42,785800
313.93,2019-09-11,326.35,313.27,324.42,594200
313.26,2019-09-12,319.08,312.17,314.52,341600
309.34,2019-09-13,314.05,305.66,312.64,311900
309.91,2019-09-16,311.78,306.35,306.54,162800
319.46,2019-09-17,320.3,310.28,310.28,200400
314.9,2019-09-18,321.01,310.14,318.97,153100
320.99,2019-09-19,322.44,314.27,316.41,158300
312.24,2019-09-20,323.64,310.28,322.74,447300
316.51,2019-09-23,319.47,310.72,312.24,191200
313.28,2019-09-24,321.86,312.16,318.54,187000
313.46,2019-09-25,315.0,305.77,313.5,367800
317.59,2019-09-26,320.83,313.4,314.0,198200
298.98,2019-09-27,318.64,296.24,318.64,331200
303.52,2019-09-30,304.95,299.23,300.0,255000
303.28,2019-10-01,305.64,298.74,303.25,255400
301.08,2019-10-02,302.26,296.2,301.92,224400
303.83,2019-10-03,304.71,297.15,301.65,344500
309.95,2019-10-04,310.61,306.58,307.14,306200
310.31,2019-10-07,312.14,307.5,308.02,273100
300.72,2019-10-08,307.92,297.78,307.74,203800
307.99,2019-10-09,309.65,302.0,303.74,107500
305.5,2019-10-10,308.23,304.88,307.89,122400
309.22,2019-10-11,312.86,307.95,308.97,192500
310.57,2019-10-14,312.43,308.13,308.52,120900
313.37,2019-10-15,315.49,311.5,313.0,165000
310.5,2019-10-16,311.03,302.18,310.6,370700
311.98,2019-10-17,314.05,309.63,312.72,257700
301.86,2019-10-18,312.17,297.42,311.98,297300
298.0,2019-10-21,304.14,295.44,303.17,316900
289.02,2019-10-22,301.2,288.25,299.4,301800
286.04,2019-10-23,292.8,281.56,289.02,370600
299.58,2019-10-24,301.56,287.87,290.07,298800
299.28,2019-10-25,299.99,294.45,297.2,128000
301.85,2019-10-28,303.48,299.0,301.81,127100
301.85,2019-10-29,306.7,301.03,301.94,145400
302.24,2019-10-30,302.86,295.37,302.86,301600
304.04,2019-10-31,305.4,298.7,302.96,225500
309.12,2019-11-01,310.26,305.52,306.32,242800
300.82,2019-11-04,311.13,298.63,310.03,402800
331.37,2019-11-05,338.83,319.63,319.63,743600
329.93,2019-11-06,333.08,320.84,329.35,491200
328.78,2019-11-07,335.95,327.22,330.98,199500
331.59,2019-11-08,332.36,322.71,327.39,194300
336.11,2019-11-11,339.33,327.12,329.08,178000
334.42,2019-11-12,336.65,329.21,334.47,214700
338.03,2019-11-13,340.23,329.87,329.87,200500
342.82,2019-11-14,344.0,335.03,337.06,207000
348.11,2019-11-15,348.64,341.62,344.39,178900
354.25,2019-11-18,356.11,347.04,347.56,263600
357.0,2019-11-19,359.27,353.83,355.55,204100
355.62,2019-11-20,361.36,353.12,357.24,229500
355.36,2019-11-21,360.78,353.82,357.15,179700
355.69,2019-11-22,359.77,352.43,356.33,126100
365.32,2019-11-25,365.68,357.87,359.0,259700
368.98,2019-11-26,369.68,365.74,365.74,168300
369.29,2019-11-27,370.56,367.07,370.0,150900
367.75,2019-11-29,370.31,365.62,368.17,74600
359.92,2019-12-02,367.98,356.97,367.98,246300
357.74,2019-12-03,360.02,352.93,355.08,225300
361.89,2019-12-04,363.8,357.76,357.76,215800
360.97,2019-12-05,366.35,359.22,364.52,188500
363.83,2019-12-06,366.68,363.16,363.61,173500
357.71,2019-12-09,363.44,357.71,362.26,151900
354.18,2019-12-10,359.06,353.66,357.39,146300
354.5,2019-12-11,355.83,346.94,353.22,161600
352.83,2019-12-12,355.49,345.78,352.59,173700
356.88,2019-12-13,357.27,351.74,351.74,164100
362.28,2019-12-16,365.69,357.21,357.34,169600
364.12,2019-12-17,365.38,360.14,364.25,192100
365.77,2019-12-18,366.84,363.04,363.72,153300
368.2,2019-12-19,371.24,363.45,365.33,150800
373.54,2019-12-20,374.05,368.98,369.03,300600
376.06,2019-12-23,377.31,372.04,373.54,171400
375.7,2019-12-24,377.28,374.57,376.4,76300
379.35,2019-12-26,379.88,375.09,376.53,116100
378.8,2019-12-27,380.49,376.17,380.0,121300
374.42,2019-12-30,378.42,372.03,378.21,208100
374.68,2019-12-31,376.25,371.9,373.36,195100
382.92,2020-01-02,383.17,375.25,377.0,145800
381.92,2020-01-03,383.38,378.66,378.66,172000
384.0,2020-01-06,384.0,377.96,377.96,247700
388.49,2020-01-07,390.0,381.97,383.01,155700
391.33,2020-01-08,395.5,389.14,391.25,200800
401.51,2020-01-09,405.0,394.91,396.01,273500
404.01,2020-01-10,408.01,402.05,404.42,327500
408.92,2020-01-13,410.43,405.05,405.05,214400
402.77,2020-01-14,408.8,400.09,407.93,214900
403.87,2020-01-15,407.59,402.16,404.24,237200
407.84,2020-01-16,408.74,403.24,406.95,159100
404.97,2020-01-17,408.54,402.2,408.54,202200
407.53,2020-01-21,410.71,402.95,402.95,189200
410.97,2020-01-22,413.26,408.09,410.68,197900
415.08,2020-01-23,418.1,409.19,410.61,184300
409.3,2020-01-24,420.2,407.13,417.67,144000
403.75,2020-01-27,406.39,400.04,400.61,173800
408.94,2020-01-28,411.02,402.3,404.68,231200
409.35,2020-01-29,413.87,408.73,410.65,195900
409.89,2020-01-30,411.36,403.95,405.86,244900
402.38,2020-01-31,409.61,390.01,397.58,411300
415.83,2020-02-03,417.88,405.04,405.04,305900
421.58,2020-02-04,426.98,417.96,420.02,352900
410.81,2020-02-05,422.43,405.76,421.68,235000
413.72,2020-02-06,415.0,408.68,412.77,203700
417.6,2020-02-07,418.17,410.68,413.41,147800
419.72,2020-02-10,421.14,414.36,416.37,232600
411.75,2020-02-11,421.0,410.29,421.0,171800
410.57,2020-02-12,413.87,405.82,411.5,157700
418.09,2020-02-13,420.54,409.0,409.0,205500
424.58,2020-02-14,425.21,417.05,420.0,142900
430.55,2020-02-18,430.76,419.87,423.96,192300
431.78,2020-02-19,436.69,430.24,434.32,191100
420.12,2020-02-20,430.77,413.31,430.0,225000
409.48,2020-02-21,416.46,402.58,416.46,300500
402.71,2020-02-24,405.99,391.28,391.28,290600
390.38,2020-02-25,408.97,387.28,407.35,220000
390.36,2020-02-26,398.91,384.53,390.38,249800
366.1,2020-02-27,389.11,366.1,378.1,456700
376.03,2020-02-28,380.42,351.99,357.85,634300
387.06,2020-03-02,387.18,371.12,380.68,294300
372.61,2020-03-03,394.14,367.15,388.38,305900
391.57,2020-03-04,392.75,377.15,380.64,239500
380.4,2020-03-05,389.75,377.17,381.93,217400
357.93,2020-03-06,370.89,345.32,369.11,404500
315.86,2020-03-09,339.43,315.24,330.65,390000
336.56,2020-03-10,336.64,311.89,325.37,450900
314.54,2020-03-11,333.46,306.36,326.84,319300
279.13,2020-03-12,298.69,274.6,293.2,624200
