close,date,high,low,open,volume
36.8343,2019-08-12,37.2608,36.6542,37.185,4130100
36.9764,2019-08-13,37.5641,36.4741,36.8058,6318700
35.2513,2019-08-14,36.2845,35.1186,36.2561,9878100
34.5689,2019-08-15,35.2987,34.2655,35.2324,7904300
35.0712,2019-08-16,35.166,34.4741,34.6731,7171900
35.4125,2019-08-19,35.6399,35.2513,35.5546,3899900
35.0333,2019-08-20,35.3461,34.9954,35.2608,4110400
35.185,2019-08-21,35.4125,35.1281,35.4125,3791800
35.3177,2019-08-22,35.5546,35.1186,35.3082,4044300
34.1802,2019-08-23,35.2418,34.0286,34.7016,7834100
34.3603,2019-08-26,34.7016,34.1328,34.5878,4838500
34.0191,2019-08-27,34.6731,33.9812,34.5689,6221600
34.5404,2019-08-28,34.6637,33.7253,33.839,7284600
34.9859,2019-08-29,35.0902,34.8153,34.8817,5123700
35.1565,2019-08-30,35.3935,34.9859,35.3082,4599000
34.9859,2019-09-03,35.0807,34.6352,34.967,6093900
36.2466,2019-09-04,36.3224,35.2987,35.3651,8105700
37.0795,2019-09-05,37.855,36.9742,36.9742,10747000
37.1274,2019-09-06,37.271,36.8785,37.2614,5012700
37.8933,2019-09-09,38.0848,37.2901,37.3955,7543800
37.8933,2019-09-10,37.989,37.1848,37.5295,7233600
37.7784,2019-09-11,37.855,37.204,37.721,6991800
37.405,2019-09-12,37.8071,37.2423,37.7305,6982100
37.204,2019-09-13,37.8933,37.1274,37.788,10133600
35.6243,2019-09-16,36.5338,35.3945,36.3519,15650300
36.6583,2019-09-17,36.7827,35.2796,35.6147,11349200
36.553,2019-09-18,36.7157,36.304,36.5242,5949800
36.17,2019-09-19,36.7157,36.1317,36.62,4924600
35.7775,2019-09-20,36.4476,35.7009,36.4381,18762200
35.653,2019-09-23,35.8349,35.0116,35.2222,7044100
35.203,2019-09-24,35.8924,34.9924,35.7487,6965500
35.5285,2019-09-25,35.6626,34.8871,35.1935,8414900
36.0073,2019-09-26,36.2753,35.586,35.7679,8301200
35.8253,2019-09-27,36.3519,35.3945,36.2274,6879500
35.8828,2019-09-30,35.9785,35.4328,35.9306,7477000
34.5712,2019-10-01,35.8828,34.4946,35.8732,9991600
33.2021,2019-10-02,34.2457,32.9436,34.2457,12940100
33.4893,2019-10-03,33.4989,32.7043,33.0393,12044600
33.4223,2019-10-04,33.6904,33.1064,33.5085,7037700
33.2691,2019-10-07,33.6138,32.8383,33.1255,6640500
32.4362,2019-10-08,33.0011,32.2734,32.8479,10686900
32.6851,2019-10-09,32.8766,32.35,32.5319,6329300
33.183,2019-10-10,33.7957,32.7521,32.9819,10914900
34.0542,2019-10-11,34.4659,33.7095,33.7191,12177900
33.9872,2019-10-14,34.0446,33.767,33.8819,5630700
