close,date,high,low,open,volume
151.114,2019-08-12,153.795,150.785,153.446,1201100
153.678,2019-08-13,154.278,149.846,150.156,938200
148.994,2019-08-14,151.52,148.743,151.152,1322900
151.298,2019-08-15,151.917,149.043,150.194,1426900
152.672,2019-08-16,153.94,152.023,153.078,1547900
154.346,2019-08-19,156.011,149.043,154.85,1242000
155.972,2019-08-20,156.717,152.953,154.017,1459600
157.356,2019-08-21,157.685,155.275,156.785,999200
157.046,2019-08-22,158.169,155.053,157.956,922500
152.924,2019-08-23,157.917,152.178,156.805,1117900
154.869,2019-08-26,154.927,153.253,154.395,722300
156.998,2019-08-27,157.288,154.714,155.227,1793400
158.169,2019-08-28,158.43,154.801,156.437,1650800
160.269,2019-08-29,161.382,159.495,159.824,1919300
160.637,2019-08-30,161.808,159.698,161.247,1583000
161.866,2019-09-03,163.269,159.485,159.747,3426100
164.382,2019-09-04,164.421,162.311,163.037,1452000
169.212,2019-09-05,169.831,166.124,166.647,2711400
168.757,2019-09-06,170.286,167.576,169.009,1847800
165.302,2019-09-09,170.247,164.005,169.628,2686100
159.94,2019-09-10,164.228,158.547,164.228,2614800
160.318,2019-09-11,161.789,157.792,159.311,2075800
162.631,2019-09-12,164.199,161.557,161.905,2428000
162.137,2019-09-13,163.173,160.569,162.408,2341600
160.743,2019-09-16,162.505,159.621,160.927,1312300
158.479,2019-09-17,166.047,156.979,161.682,10914000
159.069,2019-09-18,160.366,156.349,158.972,3500300
157.453,2019-09-19,161.005,157.288,158.808,3066200
156.427,2019-09-20,158.682,154.627,157.792,5203900
154.53,2019-09-23,156.301,153.814,155.275,3030600
155.42,2019-09-24,157.995,153.862,156.04,3529700
155.43,2019-09-25,155.565,152.691,154.743,2426700
154.878,2019-09-26,155.759,154.094,155.594,2308800
151.8,2019-09-27,155.517,150.445,155.517,2436200
153.891,2019-09-30,154.268,151.22,152.488,2183300
153.039,2019-10-01,155.275,152.894,154.191,2573200
151.733,2019-10-02,152.41,149.584,151.975,2817500
153.465,2019-10-03,153.678,148.839,151.355,1904100
155.672,2019-10-04,155.807,153.146,154.239,1281100
155.052,2019-10-07,155.498,153.243,154.549,1737500
152.459,2019-10-08,154.385,151.636,153.639,1609200
155.914,2019-10-09,156.495,152.972,153.543,1343400
155.962,2019-10-10,156.64,154.869,155.449,1619800
157.685,2019-10-11,160.356,157.501,157.859,1261300
158.866,2019-10-14,159.156,157.375,157.975,1659200
159.563,2019-10-15,159.872,157.472,159.679,2026300
159.476,2019-10-16,159.737,157.104,159.079,1756800
157.995,2019-10-17,161.469,157.608,160.076,1881400
154.985,2019-10-18,157.83,153.92,157.83,1879100
