close,date,high,low,open,volume
9.98996,2019-08-12,10.0996,9.95862,10.0605,6349800
10.1075,2019-08-13,10.272,9.90377,9.95078,7400200
9.74706,2019-08-14,9.94294,9.66087,9.84892,8756700
9.73139,2019-08-15,9.85676,9.68438,9.80975,10787200
10.131,2019-08-16,10.1388,9.82541,9.84892,10024600
10.2642,2019-08-19,10.3582,10.2093,10.3269,8416600
10.1075,2019-08-20,10.1858,10.0448,10.1702,8868100
10.131,2019-08-21,10.2485,10.0761,10.1937,6829400
10.1153,2019-08-22,10.2564,10.0526,10.178,8290700
9.7549,2019-08-23,10.1623,9.70789,10.0605,7562100
9.8881,2019-08-26,9.89593,9.7549,9.85676,4583200
9.84109,2019-08-27,9.95861,9.69221,9.94294,8397800
10.084,2019-08-28,10.1153,9.77057,9.79407,8775400
10.3582,2019-08-29,10.366,10.178,10.1858,7798500
10.3817,2019-08-30,10.5149,10.366,10.4444,7066500
10.0918,2019-09-03,10.3112,10.0056,10.2955,9304100
10.225,2019-09-04,10.2407,10.0918,10.2015,7329600
10.6089,2019-09-05,10.6795,10.3817,10.3974,8269900
10.6089,2019-09-06,10.6638,10.5384,10.6168,5964200
11.1026,2019-09-09,11.1966,10.6951,10.7108,11258800
11.2593,2019-09-10,11.3219,11.1261,11.1496,10631700
11.4473,2019-09-11,11.4551,11.032,11.2593,12800800
11.4787,2019-09-12,11.604,11.1574,11.3063,11299100
11.557,2019-09-13,11.7294,11.5178,11.5805,13025700
11.5728,2019-09-16,11.6124,11.3591,11.4383,10028000
11.5174,2019-09-17,11.5491,11.3908,11.4937,5871500
11.5491,2019-09-18,11.6441,11.3749,11.4383,7187300
11.4541,2019-09-19,11.6282,11.4304,11.5095,4353600
11.3987,2019-09-20,11.5016,11.3433,11.4778,12947400
11.4383,2019-09-23,11.5095,11.2641,11.3037,5316800
11.2483,2019-09-24,11.5095,11.185,11.4937,8164100
11.3749,2019-09-25,11.4383,11.2008,11.2483,6012300
11.28,2019-09-26,11.3829,11.2641,11.3116,5361000
11.3591,2019-09-27,11.5253,11.2483,11.4145,7758000
11.2958,2019-09-30,11.4383,11.272,11.4066,5242100
11.0187,2019-10-01,11.462,11.0029,11.3591,6720000
10.8208,2019-10-02,10.995,10.7338,10.9633,8297700
10.9079,2019-10-03,10.9158,10.6071,10.7971,6545000
11.0187,2019-10-04,11.0267,10.8129,10.9237,5746600
10.9554,2019-10-07,11.09,10.9396,11.0108,5637000
10.6863,2019-10-08,10.8604,10.6704,10.805,8385800
10.7417,2019-10-09,10.8446,10.6625,10.7575,4872800
10.8683,2019-10-10,10.995,10.805,10.8129,7461700
11.0741,2019-10-11,11.2166,11.0583,11.1216,7425400
11.1058,2019-10-14,11.1296,10.8367,10.9712,3477900
11.28,2019-10-15,11.3354,11.0662,11.1375,5631800
11.2404,2019-10-16,11.3829,11.185,11.3195,5819200
11.2245,2019-10-17,11.3037,11.1454,11.2958,5303700
11.2325,2019-10-18,11.3037,11.1612,11.1691,10829800
11.367,2019-10-21,11.4224,11.2958,11.3591,5746900
11.4224,2019-10-22,11.5016,11.1929,11.3749,7156500
11.4541,2019-10-23,11.5016,11.3354,11.3987,9241300
11.3433,2019-10-24,11.4779,11.1929,11.3908,9814300
11.462,2019-10-25,11.4858,11.272,11.272,7339300
11.5412,2019-10-28,11.5887,11.4541,11.5333,8242000
11.4462,2019-10-29,11.5887,11.3908,11.4778,8147800
11.2483,2019-10-30,11.4066,11.2008,11.3987,9602200
11.185,2019-10-31,11.3195,10.9475,11.1771,13289800
11.3512,2019-11-01,11.367,11.2404,11.3116,9100600
11.6362,2019-11-04,11.652,11.4066,11.4541,6715300
11.7707,2019-11-05,11.8736,11.6203,11.6757,8422200
11.8024,2019-11-06,11.8578,11.6995,11.7391,9596900
11.8578,2019-11-07,12.0003,11.8261,11.8736,9075300
11.8578,2019-11-08,11.8657,11.7074,11.8261,7450700
11.8182,2019-11-11,11.8816,11.7232,11.7549,5536200
11.8024,2019-11-12,11.8736,11.7391,11.842,4663800
11.6124,2019-11-13,11.7391,11.5728,11.6995,5863600
11.6282,2019-11-14,11.6916,11.5412,11.5808,6386800
11.7074,2019-11-15,11.7312,11.6203,11.6203,5977900
11.6599,2019-11-18,11.7153,11.6203,11.6916,7276500
11.7074,2019-11-19,11.7707,11.6362,11.7074,6612800
11.6045,2019-11-20,11.6995,11.5253,11.6282,7644500
11.6282,2019-11-21,11.6995,11.5253,11.6837,7202900
11.7628,2019-11-22,11.7945,11.6441,11.6678,5532900
11.8024,2019-11-25,11.842,11.747,11.8182,6741400
11.6916,2019-11-26,11.8024,11.6757,11.8024,7988900
11.8103,2019-11-27,11.8341,11.7074,11.7549,5373000
11.7866,2019-11-29,11.8578,11.747,11.7707,3267700
11.7391,2019-12-02,11.929,11.7153,11.8499,5660200
11.5966,2019-12-03,11.6441,11.4383,11.5966,7930000
11.7549,2019-12-04,11.8182,11.6045,11.6362,5801300
11.7866,2019-12-05,11.8736,11.747,11.8261,5641100
12.0399,2019-12-06,12.0715,11.8816,11.9528,6946200
12.0953,2019-12-09,12.1349,11.9845,11.9924,7230600
12.1665,2019-12-10,12.214,12.0399,12.0636,5813800
12.0399,2019-12-11,12.3248,12.0161,12.2378,10854100
12.3486,2019-12-12,12.3723,12.0794,12.0874,13294100
12.1507,2019-12-13,12.3644,12.0953,12.2457,11648900
12.1428,2019-12-16,12.3486,12.1428,12.2853,15339400
12.2547,2019-12-17,12.2707,12.1188,12.1668,12084500
12.2307,2019-12-18,12.3186,12.1907,12.2707,17565100
12.1188,2019-12-19,12.2707,12.1028,12.2707,7491800
12.1108,2019-12-20,12.2707,12.0628,12.2707,18442500
12.0868,2019-12-23,12.1668,12.0149,12.1428,5301200
12.1108,2019-12-24,12.1268,12.0149,12.1028,7036600
12.1348,2019-12-26,12.1508,12.0628,12.1508,6087700
12.0868,2019-12-27,12.1588,12.0309,12.1188,5085600
12.0229,2019-12-30,12.1508,12.0069,12.1428,5750900
12.0548,2019-12-31,12.0708,11.9749,12.0389,6654400
11.9829,2020-01-02,12.1188,11.871,12.0868,9975100
11.839,2020-01-03,11.879,11.6711,11.823,7858600
11.6472,2020-01-06,11.7031,11.5752,11.6711,7198700
11.5192,2020-01-07,11.6472,11.4393,11.5672,7101800
11.6152,2020-01-08,11.6631,11.5113,11.5272,9332700
11.6392,2020-01-09,11.6871,11.5592,11.6472,5915900
11.4953,2020-01-10,11.6551,11.4553,11.6551,5809900
11.5592,2020-01-13,11.5912,11.4713,11.5352,9214100
11.6711,2020-01-14,11.7031,11.5113,11.5832,11634100
11.5592,2020-01-15,11.6392,11.4633,11.5912,12287400
11.7191,2020-01-16,11.791,11.6152,11.6312,8456200
11.7591,2020-01-17,11.807,11.6791,11.783,9582900
11.6791,2020-01-21,11.7671,11.5752,11.6871,9144000
11.7751,2020-01-22,11.879,11.6392,11.6551,16634100
11.4073,2020-01-23,11.7671,11.1355,11.7671,23476700
10.9677,2020-01-24,11.4393,10.9357,11.4073,18484800
10.7838,2020-01-27,10.8797,10.7199,10.7518,14859100
10.8717,2020-01-28,10.9517,10.7678,10.8398,10854000
10.7758,2020-01-29,10.9437,10.7518,10.8797,5976700
10.9916,2020-01-30,10.9996,10.6799,10.7199,9733800
10.8478,2020-01-31,11.0076,10.7998,11.0076,11535300
10.9677,2020-02-03,11.1355,10.9437,10.9517,12078600
11.0876,2020-02-04,11.2634,11.0716,11.1355,9276400
11.2634,2020-02-05,11.3514,11.1915,11.2554,12139500
11.1675,2020-02-06,11.3834,11.1595,11.3354,7625700
11.1595,2020-02-07,11.2235,11.0156,11.1196,6278000
11.1355,2020-02-10,11.1755,11.0716,11.1036,5460300
11.2155,2020-02-11,11.3034,11.1595,11.1835,5115000
11.2315,2020-02-12,11.3674,11.2075,11.2714,5206800
11.3114,2020-02-13,11.3114,11.1435,11.1995,7647200
11.2554,2020-02-14,11.3194,11.1915,11.3114,5274700
11.1196,2020-02-18,11.2874,10.9757,11.2155,6393800
11.2155,2020-02-19,11.2395,11.1355,11.1515,6607100
11.3034,2020-02-20,11.3674,11.1835,11.2075,5123300
11.1196,2020-02-21,11.2554,11.0316,11.1995,8930500
10.7918,2020-02-24,10.8637,10.6959,10.8398,7364300
10.2562,2020-02-25,10.8318,10.2242,10.8078,12025000
10.1523,2020-02-26,10.544,10.1363,10.48,12170700
9.8725,2020-02-27,10.2562,9.75259,9.95244,21359200
9.80855,2020-02-28,9.84852,9.52077,9.71262,33656500
10.3441,2020-03-02,10.496,9.56873,9.77657,19653100
10.0564,2020-03-03,10.6799,9.94444,10.2162,25218500
10.1123,2020-03-04,10.2482,9.90447,10.1523,21492600
9.41684,2020-03-05,9.84052,9.25696,9.78456,16861900
8.88924,2020-03-06,9.28095,8.6894,8.88924,20856400
7.55426,2020-03-09,8.78533,7.38639,8.43359,20120800
7.96994,2020-03-10,8.14581,7.39438,7.93797,20124300
7.29846,2020-03-11,7.72213,7.20253,7.69016,29290700
6.69891,2020-03-12,7.2345,6.36317,6.70691,17195700
7.59423,2020-03-13,7.59423,6.81083,7.35441,15997600
6.73888,2020-03-16,6.83481,6.19529,6.34718,15691400
6.81213,2020-03-17,7.15396,6.25055,7.00746,24100500
6.28311,2020-03-18,6.50286,5.98198,6.3645,16587900
6.25056,2020-03-19,6.31567,5.58318,6.07964,22654000
6.20172,2020-03-20,6.56797,5.90059,6.34822,20332400
5.69712,2020-03-23,6.33194,5.57504,6.16917,12937100
6.04709,2020-03-24,6.24242,5.88431,6.03895,19288000
6.218,2020-03-25,6.46216,5.84362,6.16917,18525700
6.91793,2020-03-26,6.99932,6.05523,6.1122,15544400
6.75516,2020-03-27,7.0156,6.49472,6.55983,15901900
6.82027,2020-03-30,6.87724,6.45402,6.69819,10411800
6.68191,2020-03-31,6.93421,6.49472,6.74702,15633500
6.06336,2020-04-01,6.35636,5.97384,6.34822,10230600
5.99825,2020-04-02,6.33194,5.8192,5.9657,10177200
5.55876,2020-04-03,6.06336,5.55062,5.93315,13744500
6.09592,2020-04-06,6.16103,5.86803,5.98198,17535100
6.6168,2020-04-07,6.82841,6.30753,6.51913,21015000
7.17023,2020-04-08,7.22721,6.70633,6.70633,15218300
7.34929,2020-04-09,7.78878,7.19465,7.42253,20652300
7.09699,2020-04-13,7.44695,6.95863,7.39812,10161300
6.83654,2020-04-14,7.2679,6.63308,7.24348,12515400
6.29125,2020-04-15,6.51913,6.25869,6.51913,9741800
5.84362,2020-04-16,6.27497,5.79479,6.26683,15604400
6.55983,2020-04-17,6.63308,6.12847,6.20986,16009300
6.62494,2020-04-20,6.77143,6.16917,6.33194,14228200
6.34822,2020-04-21,6.54355,6.25055,6.34008,10177700
6.54355,2020-04-22,6.60866,6.38891,6.55169,16715900
6.44589,2020-04-23,6.77957,6.30753,6.40519,11192400
6.64122,2020-04-24,6.80399,6.43775,6.59238,15456100
7.25162,2020-04-27,7.30045,6.66563,6.69819,14702800
7.43881,2020-04-28,7.76436,7.32487,7.56903,11891400
7.84575,2020-04-29,7.95969,7.56903,7.72367,12653400
7.5202,2020-04-30,7.75622,7.4144,7.626,14807300
6.9749,2020-05-01,7.36556,6.8691,7.30045,12221100
6.86096,2020-05-04,6.90165,6.69819,6.78771,9257200
6.73888,2020-05-05,7.17837,6.73888,6.9749,7528200
6.69819,2020-05-06,6.87724,6.511,6.79585,10997100
6.71446,2020-05-07,7.04001,6.65749,6.77957,12373300
7.04001,2020-05-08,7.08071,6.86096,6.92607,6504100
6.69819,2020-05-11,6.99932,6.65749,6.92607,7664800
6.39705,2020-05-12,6.82027,6.37264,6.74702,9928300
6.01453,2020-05-13,6.35636,5.93314,6.35636,12022200
6.27497,2020-05-14,6.33194,5.68898,5.85176,13099700
6.1122,2020-05-15,6.29125,6.0715,6.20172,8470900
6.7226,2020-05-18,6.77143,6.41333,6.46216,9626700
6.41333,2020-05-19,6.69005,6.39705,6.63308,8270700
6.68191,2020-05-20,6.71446,6.55983,6.55983,8735200
6.64935,2020-05-21,6.82027,6.60866,6.6168,7594200
6.59238,2020-05-22,6.73074,6.47844,6.69819,4908600
7.31673,2020-05-26,7.42254,6.90166,6.9098,9933000
7.74809,2020-05-27,7.91086,7.45509,7.71553,11190900
7.41439,2020-05-28,7.89458,7.36556,7.82133,16327200
7.23534,2020-05-29,7.42254,7.14582,7.25162,15744700
7.40626,2020-06-01,7.49578,7.17023,7.25976,7419500
7.48764,2020-06-02,7.6667,7.42253,7.54461,10105800
8.05735,2020-06-03,8.13874,7.67483,7.73181,11556900
8.52127,2020-06-04,8.52127,7.89458,8.00039,12353700
8.94448,2020-06-05,9.50605,8.83054,9.25375,14563000
9.23748,2020-06-08,9.327,8.96076,9.24561,10438500
8.95262,2020-06-09,9.09098,8.76543,8.90379,9279600
8.46429,2020-06-10,8.96076,8.44802,8.84682,21210500
7.71553,2020-06-11,8.11433,7.67483,7.99224,12517000
8.04922,2020-06-12,8.22013,7.75622,8.16316,11399000
8.23641,2020-06-15,8.30966,7.64228,7.70739,12983000
8.49251,2020-06-16,8.69903,8.23641,8.60816,10490100
8.36033,2020-06-17,8.57512,8.32728,8.56686,8631100
8.39337,2020-06-18,8.53381,8.16206,8.24467,9694200
8.50077,2020-06-19,8.58338,8.1538,8.52555,30329800
8.36033,2020-06-22,8.49251,8.26945,8.40989,8338500
8.42642,2020-06-23,8.63295,8.39337,8.50903,9562900
7.88118,2020-06-24,8.3025,7.85639,8.29424,13394700
8.17032,2020-06-25,8.20336,7.79857,7.84813,8499100
7.26985,2020-06-26,7.93901,7.25333,7.93901,23500200
7.32768,2020-06-29,7.52594,7.22854,7.46812,21560800
7.46812,2020-06-30,7.53421,7.15419,7.22854,22709500
7.13767,2020-07-01,7.54247,7.07984,7.45159,18734100
7.10463,2020-07-02,7.44333,7.06332,7.38551,13712300
7.24507,2020-07-06,7.44334,7.14593,7.26985,12276000
6.93114,2020-07-07,7.17898,6.90636,7.14593,10348800
6.97245,2020-07-08,7.05506,6.79896,6.90636,8159200
6.65852,2020-07-09,6.91462,6.61722,6.8981,10145100
7.03027,2020-07-10,7.03027,6.65852,6.67504,8519100
7.16245,2020-07-13,7.27811,6.8981,7.1955,9467400
7.12941,2020-07-14,7.25333,6.9394,7.16245,19011200
7.52595,2020-07-15,7.55073,7.25333,7.32768,8891100
7.4929,2020-07-16,7.65813,7.3442,7.41029,6343500
7.36898,2020-07-17,7.56725,7.3442,7.42681,9157300
7.21202,2020-07-20,7.36072,7.20376,7.26159,5836300
7.61682,2020-07-21,7.6416,7.24507,7.29463,10251400
7.62508,2020-07-22,7.65812,7.46812,7.55073,6094200
8.01336,2020-07-23,8.09597,7.71595,7.81509,9209300
7.93074,2020-07-24,8.11249,7.88944,8.06292,10270800
7.65813,2020-07-27,7.94727,7.63334,7.93074,11633800
7.54247,2020-07-28,7.76552,7.53421,7.61682,12542300
7.80683,2020-07-29,7.83161,7.4516,7.50943,10357800
7.69117,2020-07-30,7.70769,7.4516,7.61682,6761100
7.65813,2020-07-31,7.67465,7.50942,7.58377,14092100
7.65813,2020-08-03,7.749,7.56725,7.74074,7791200
7.57551,2020-08-04,7.68291,7.53421,7.68291,6545100
7.75726,2020-08-05,7.79031,7.58378,7.6416,6292900
7.68291,2020-08-06,7.81509,7.62508,7.68291,4408900
7.98031,2020-08-07,7.99683,7.57551,7.62508,7202500
8.1538,2020-08-10,8.21989,7.98857,8.02988,6664700
8.33554,2020-08-11,8.60816,8.29424,8.33554,7255700
8.23641,2020-08-12,8.58338,8.09597,8.50076,6369800
8.07119,2020-08-13,8.21989,8.0464,8.10423,4153600
8.17858,2020-08-14,8.29424,7.98031,8.03814,5322300
8.07945,2020-08-17,8.16206,8.03814,8.14554,5472300
7.87292,2020-08-18,8.07945,7.86466,8.07945,4551100
7.86466,2020-08-19,8.02162,7.81509,7.88118,7293800
7.6003,2020-08-20,7.81509,7.59203,7.80683,7664800
7.52595,2020-08-21,7.71595,7.50116,7.61682,7932300
7.88944,2020-08-24,7.91422,7.56725,7.6003,10128100
7.91422,2020-08-25,8.07945,7.83987,8.0051,10667100
7.77378,2020-08-26,7.91422,7.75726,7.91422,5336300
7.96379,2020-08-27,8.02162,7.74074,7.75726,5371500
7.90596,2020-08-28,8.0464,7.86466,8.02162,10208400
7.77378,2020-08-31,7.88944,7.69943,7.88944,8529800
7.79857,2020-09-01,7.93075,7.6416,7.69117,6877000
8.00509,2020-09-02,8.0464,7.72421,7.77378,10151900
7.97205,2020-09-03,8.33554,7.93074,8.06292,7450300
8.21162,2020-09-04,8.32728,8.02988,8.17032,9643800
8.02988,2020-09-08,8.16206,7.939,8.0464,13322300
8.08771,2020-09-09,8.17858,7.98857,8.13727,9755800
7.91422,2020-09-10,8.25293,7.90596,8.17032,7392700
7.99683,2020-09-11,8.06292,7.84813,7.93901,8156700
