close,date,high,low,open,volume
24.911,2019-08-12,25.089,24.6046,24.7232,1876600
25.0989,2019-08-13,25.4053,24.654,24.7825,2763500
24.486,2019-08-14,24.8814,24.3772,24.743,3082500
24.2883,2019-08-15,24.5354,24.1202,24.5354,2888400
24.5552,2019-08-16,24.6837,24.3179,24.4267,1852700
24.743,2019-08-19,24.9011,24.6342,24.7825,2796600
24.9407,2019-08-20,24.9901,24.4365,24.6441,1710700
24.911,2019-08-21,25.2669,24.8814,25.2669,1449300
24.8122,2019-08-22,25.1384,24.6738,24.9209,1596300
24.0312,2019-08-23,24.9802,23.8335,24.6145,7807800
24.7628,2019-08-26,24.9011,24.1103,24.2883,7312200
24.8913,2019-08-27,25.1878,24.6936,24.8023,9181400
25.1384,2019-08-28,25.2966,24.486,24.9012,6764000
25.514,2019-08-29,25.7019,25.2669,25.4547,2766900
25.5437,2019-08-30,25.7809,25.3954,25.7019,3031900
25.6821,2019-09-03,25.7019,25.2175,25.4152,2972000
25.6821,2019-09-04,25.8403,25.5733,25.7908,2498100
25.7117,2019-09-05,25.8996,25.5734,25.7711,3456900
25.692,2019-09-06,25.949,25.5437,25.8205,2928100
25.9984,2019-09-09,26.1269,25.692,25.8007,3060300
26.4037,2019-09-10,26.4334,25.8996,25.9688,2405300
26.5817,2019-09-11,26.6014,26.0973,26.2851,3026200
26.7102,2019-09-12,26.8584,26.5322,26.6904,2240800
26.7794,2019-09-13,26.9375,26.6212,26.8683,2474200
26.8881,2019-09-16,27.0562,26.6904,26.6904,2064800
26.9276,2019-09-17,27.0463,26.5125,26.7892,2867100
26.9968,2019-09-18,27.0265,26.6113,26.8486,3143700
26.8288,2019-09-19,27.0957,26.7596,27.0166,2833700
26.4136,2019-09-20,26.9968,26.1862,26.9178,5933500
26.463,2019-09-23,26.4927,26.1566,26.295,3994500
26.2258,2019-09-24,26.7003,26.1862,26.4927,3337800
26.1862,2019-09-25,26.3444,25.9292,26.1764,4061300
25.9984,2019-09-26,26.295,25.9193,26.2456,2227000
25.8106,2019-09-27,26.1764,25.7612,26.0281,2495900
25.7019,2019-09-30,25.8897,25.603,25.8007,4645600
24.9703,2019-10-01,25.8205,24.7529,25.7315,5167100
23.9225,2019-10-02,24.7628,23.6951,24.7133,4048100
23.9719,2019-10-03,24.0016,23.4678,23.8928,2828500
24.2092,2019-10-04,24.2191,23.6852,23.9324,2250500
24.4662,2019-10-07,24.6936,24.2586,24.565,2928100
24.5848,2019-10-08,24.8814,24.2685,24.3673,3511800
25.2966,2019-10-09,25.3954,24.7133,24.8517,1765600
25.7216,2019-10-10,25.8007,25.1186,25.2867,1745000
26.1467,2019-10-11,26.4828,26.0478,26.0478,2500400
26.5322,2019-10-14,26.6805,26.3839,26.4828,2187200
27.5405,2019-10-15,27.5998,26.6014,26.6904,3250300
27.1945,2019-10-16,27.5998,27.155,27.5208,2876400
27.3824,2019-10-17,27.4614,27.1253,27.3132,2323400
26.7003,2019-10-18,27.3626,26.6904,27.3626,3007300
26.7299,2019-10-21,27.0463,26.641,26.8189,2442500
26.7695,2019-10-22,26.9276,26.5718,26.7596,1646900
26.9276,2019-10-23,27.0463,26.6113,26.7299,2528000
27.1155,2019-10-24,27.1352,26.7497,26.9968,2320400
27.323,2019-10-25,27.3626,27.0561,27.1155,1768300
27.3428,2019-10-28,27.6097,27.2835,27.3824,3024000
27.3725,2019-10-29,27.6097,27.1847,27.244,1908900
27.2143,2019-10-30,27.3329,26.8881,27.2835,1870300
27.155,2019-10-31,27.1748,26.8288,27.1748,2031500
28.2127,2019-11-01,28.2127,27.3033,27.4219,3963600
28.45,2019-11-04,28.5785,28.3017,28.4994,4306700
29.1716,2019-11-05,29.2112,27.2242,27.9458,6245000
29.1024,2019-11-06,29.1716,28.7268,29.1716,3643300
28.5979,2019-11-07,29.2013,28.5188,29.1222,3004700
28.6573,2019-11-08,28.7859,28.4495,28.6375,2067600
29.1914,2019-11-11,29.231,28.588,28.6869,3172400
29.1816,2019-11-12,29.3003,28.9936,29.1222,3050100
29.1816,2019-11-13,29.3398,28.8848,28.9639,1678600
29.8938,2019-11-14,29.9927,29.1519,29.2805,3895500
30.5269,2019-11-15,30.5664,29.874,30.0619,4964500
30.7247,2019-11-18,30.8929,30.3092,30.4477,4560000
30.6752,2019-11-19,30.7544,30.5763,30.7049,3601700
30.4972,2019-11-20,30.695,30.2994,30.5467,3859200
30.2796,2019-11-21,30.7742,30.2301,30.3686,2200600
30.2202,2019-11-22,30.4873,30.1213,30.3488,2798900
30.6258,2019-11-25,30.6456,30.3092,30.3488,2064600
30.9522,2019-11-26,30.9621,30.4873,30.6456,3590900
30.9226,2019-11-27,31.061,30.7445,30.9522,1787300
30.6258,2019-11-29,30.8929,30.5961,30.8632,2335100
30.2301,2019-12-02,30.8533,30.2301,30.7445,2155400
30.3686,2019-12-03,30.4774,29.686,29.9333,3075000
29.9927,2019-12-04,30.5862,29.9729,30.5269,2593700
30.151,2019-12-05,30.2202,29.9432,30.1609,1722100
30.6851,2019-12-06,30.7148,30.2895,30.4279,2206100
30.4576,2019-12-09,30.7148,30.3389,30.4774,1650900
30.6752,2019-12-10,30.8137,30.5763,30.6159,2595500
30.8929,2019-12-11,30.972,30.7247,30.8533,1629300
31.2787,2019-12-12,31.4073,30.8137,30.9225,2924100
31.3083,2019-12-13,31.4468,31.061,31.1896,2157900
31.4567,2019-12-16,31.6447,31.249,31.249,3954100
31.1402,2019-12-17,31.4666,30.8632,31.4073,2684300
30.4378,2019-12-18,31.0116,30.4279,30.9918,4315600
30.6654,2019-12-19,30.7346,30.3092,30.4675,4818100
31.0512,2019-12-20,31.0512,30.6753,30.8929,6459000
31.1896,2019-12-23,31.3182,30.972,30.9819,3428200
30.972,2019-12-24,31.2391,30.9423,31.2292,559500
30.8632,2019-12-26,31.0808,30.6851,31.0314,4328600
30.8038,2019-12-27,31.0017,30.695,30.8929,3957100
30.5368,2019-12-30,30.8929,30.4378,30.7841,1461800
30.4378,2019-12-31,30.5961,30.2993,30.517,1491700
31.1995,2020-01-02,31.1995,30.4873,30.5763,3037000
31.1501,2020-01-03,31.1896,30.5862,30.7643,1985900
30.8731,2020-01-06,31.1995,30.6654,31.0116,2410900
31.0709,2020-01-07,31.1699,30.6159,30.9423,1919700
30.3884,2020-01-08,30.9621,30.3686,30.9324,2767300
29.4486,2020-01-09,30.3191,29.2706,30.1806,4467600
28.5386,2020-01-10,29.4091,28.4396,29.4091,3985600
29.1321,2020-01-13,29.1816,28.4495,28.6968,3031900
29.2607,2020-01-14,29.4091,28.954,29.0233,3707800
28.8749,2020-01-15,29.3398,28.6869,29.0826,2462200
29.6762,2020-01-16,29.686,28.6375,28.6375,4699700
29.0035,2020-01-17,29.8047,28.9046,29.785,4337800
29.0826,2020-01-21,29.2607,28.7265,28.7562,8565400
28.5287,2020-01-22,28.7562,27.856,28.0637,7358400
29.2112,2020-01-23,29.2805,28.2814,28.41,3978600
28.7958,2020-01-24,29.4882,28.4495,29.3695,5304500
30.3389,2020-01-27,30.6555,28.1825,28.2616,10022400
31.1303,2020-01-28,31.2292,30.6654,30.695,5426200
30.8137,2020-01-29,31.1797,30.3191,31.0413,3739000
30.1213,2020-01-30,30.6654,29.7157,30.4873,5943300
29.6267,2020-01-31,30.0619,29.5377,29.9729,2877300
29.7355,2020-02-03,30.0422,29.6465,29.8146,2574700
30.151,2020-02-04,30.2301,29.9333,30.052,2448700
