close,date,high,low,open,volume
155.41,2019-08-12,155.69,153.56,155.21,1000600
157.08,2019-08-13,157.6,153.74,153.74,813700
151.21,2019-08-14,156.6,150.22,154.96,1437300
152.15,2019-08-15,153.86,150.58,152.0,1206400
155.21,2019-08-16,156.91,153.2,153.87,863400
156.72,2019-08-19,157.54,155.95,156.66,833900
154.82,2019-08-20,157.11,154.77,156.92,585200
157.19,2019-08-21,157.46,154.56,155.89,717400
156.55,2019-08-22,158.74,155.47,158.49,791000
153.15,2019-08-23,158.99,152.37,157.8,1065700
155.12,2019-08-26,155.19,152.84,154.16,690900
153.66,2019-08-27,155.75,152.76,155.67,975200
153.46,2019-08-28,154.15,151.72,153.33,832200
155.98,2019-08-29,156.52,154.46,155.09,528300
155.15,2019-08-30,156.74,153.44,156.74,788100
153.91,2019-09-03,155.13,153.0,153.78,737000
151.46,2019-09-04,155.37,151.29,155.37,1234800
154.08,2019-09-05,154.52,151.33,152.97,1442900
154.07,2019-09-06,155.72,152.75,154.17,998100
151.87,2019-09-09,154.9,151.67,154.9,1947800
150.41,2019-09-10,150.78,146.52,150.18,2097100
150.23,2019-09-11,152.23,148.79,150.0,1597100
150.73,2019-09-12,151.82,149.91,150.72,1670200
151.35,2019-09-13,152.51,147.31,149.72,1467200
150.84,2019-09-16,152.84,149.76,150.66,1773000
152.94,2019-09-17,153.47,149.94,151.1,1900600
153.44,2019-09-18,153.73,151.39,152.54,1460500
153.92,2019-09-19,155.29,153.14,153.3,1122400
155.6,2019-09-20,157.32,154.6,154.77,5361600
157.34,2019-09-23,157.73,154.26,155.13,1731900
155.42,2019-09-24,158.25,154.71,157.81,1595900
154.65,2019-09-25,155.16,151.09,154.93,1640800
151.84,2019-09-26,155.07,151.5,155.07,1167100
148.25,2019-09-27,154.43,146.66,152.47,1636700
149.38,2019-09-30,150.25,147.16,148.1,1030700
145.03,2019-10-01,151.09,143.92,149.87,1634000
143.24,2019-10-02,144.32,140.56,143.79,1837100
147.52,2019-10-03,147.57,141.7,143.21,1786500
149.3,2019-10-04,149.91,147.65,147.79,949100
148.7,2019-10-07,150.12,147.73,148.41,927100
144.53,2019-10-08,147.0,143.47,147.0,864700
145.58,2019-10-09,146.63,144.88,145.95,743700
144.89,2019-10-10,146.8,144.47,145.5,778600
145.98,2019-10-11,148.97,145.9,146.73,749700
146.36,2019-10-14,147.93,145.85,146.28,709500
146.56,2019-10-15,148.69,146.23,147.21,927500
144.83,2019-10-16,147.47,144.31,145.64,1330200
143.35,2019-10-17,146.07,142.99,145.65,1100500
143.49,2019-10-18,145.05,143.0,144.0,1460200
143.14,2019-10-21,144.91,142.04,144.65,1010800
142.86,2019-10-22,145.42,142.78,143.51,1070700
143.48,2019-10-23,144.09,142.7,143.14,1190200
145.17,2019-10-24,146.75,143.54,143.7,1022300
147.51,2019-10-25,148.57,143.95,144.87,1173400
147.75,2019-10-28,148.8,147.37,147.45,1070200
150.09,2019-10-29,150.27,146.73,146.73,2090700
145.74,2019-10-30,147.89,139.02,147.89,3323300
144.42,2019-10-31,148.04,143.43,145.72,1036400
146.74,2019-11-01,147.58,145.1,145.76,945700
146.5,2019-11-04,147.76,145.64,147.76,924200
139.89,2019-11-05,146.7,139.78,146.26,1676700
138.04,2019-11-06,140.54,136.28,139.68,2460000
137.84,2019-11-07,139.27,137.14,138.58,1627600
137.59,2019-11-08,138.99,136.87,137.38,1451100
140.52,2019-11-11,140.52,136.73,136.73,1737500
142.94,2019-11-12,143.39,139.9,139.9,1340500
143.57,2019-11-13,144.06,142.18,142.28,855900
145.7,2019-11-14,145.91,142.94,143.75,717400
146.5,2019-11-15,146.6,144.64,145.53,907300
142.12,2019-11-18,146.24,141.7,146.24,1533900
142.86,2019-11-19,143.75,142.0,142.32,797800
142.36,2019-11-20,143.54,141.78,142.41,1905700
143.48,2019-11-21,144.36,141.81,142.51,1072200
143.74,2019-11-22,144.69,143.11,144.1,1116200
146.49,2019-11-25,146.51,143.54,144.43,1621000
147.96,2019-11-26,148.37,145.71,146.06,1506500
147.52,2019-11-27,148.94,146.83,148.07,1595000
145.98,2019-11-29,147.4,145.8,147.14,715700
143.94,2019-12-02,146.26,143.78,145.99,1037300
143.34,2019-12-03,144.77,142.69,143.74,1283200
145.14,2019-12-04,146.16,143.8,143.9,697000
145.35,2019-12-05,145.88,143.32,145.29,1290300
148.49,2019-12-06,148.9,145.97,146.32,1099400
146.4,2019-12-09,148.94,146.28,148.23,1412400
146.12,2019-12-10,146.98,145.02,146.7,1609500
143.84,2019-12-11,146.29,143.43,146.29,1331700
145.29,2019-12-12,146.04,143.05,143.47,1121500
