close,date,high,low,open,volume
48.2531,2019-08-12,48.8325,47.9398,48.5741,2124462
49.0988,2019-08-13,49.3102,48.2609,48.3627,2380169
48.1982,2019-08-14,48.9735,48.1669,48.9265,1731051
49.7409,2019-08-15,49.9523,48.0729,48.5506,3908870
49.9445,2019-08-16,50.4378,49.6548,50.0306,2639922
50.4535,2019-08-19,50.524,49.7409,49.9837,1905072
49.5138,2019-08-20,50.3204,49.1693,50.3204,2481663
49.6078,2019-08-21,49.9837,49.2084,49.7566,1450850
50.015,2019-08-22,50.1716,49.4198,49.6626,1646171
49.5295,2019-08-23,50.1324,49.0596,50.0306,3382440
49.8427,2019-08-26,50.0698,49.4355,49.6783,2579643
48.6289,2019-08-27,49.7644,48.488,49.6939,2917461
48.95,2019-08-28,49.1536,48.5506,48.7464,2498597
49.3024,2019-08-29,49.4746,48.8247,49.3337,3169334
49.6264,2019-08-30,50.306,49.6106,49.7449,2480918
50.3376,2019-09-03,50.3455,49.3893,49.7844,2132343
50.0531,2019-09-04,50.4956,49.6264,50.3218,2304767
49.658,2019-09-05,50.385,49.5869,50.3455,1757676
50.7485,2019-09-06,50.9935,50.4482,50.8275,2816925
50.709,2019-09-09,50.9302,50.2664,50.7722,1660655
49.7291,2019-09-10,50.709,49.3893,50.4561,3979586
50.4087,2019-09-11,50.4877,49.492,49.7291,2289644
50.3376,2019-09-12,50.9381,50.1558,50.9381,1237530
50.061,2019-09-13,50.5509,49.8634,49.982,1776953
50.4008,2019-09-16,50.6142,49.8239,50.1005,1676417
50.6932,2019-09-17,51.0488,50.3376,50.4324,1826369
50.2664,2019-09-18,51.0172,49.7528,50.9223,2118924
50.3692,2019-09-19,50.5509,50.1479,50.4008,1083212
50.3613,2019-09-20,50.788,50.3139,50.5114,3069011
50.0057,2019-09-23,50.63,49.6975,50.4482,1284923
50.4956,2019-09-24,50.5983,50.0847,50.2032,2005928
50.6221,2019-09-25,50.9618,50.4245,50.5904,1505591
50.7406,2019-09-26,51.357,50.4324,51.1594,1751073
50.6537,2019-09-27,50.9461,50.5035,50.867,1824665
50.8512,2019-09-30,51.0646,50.5035,50.7643,2203911
49.8634,2019-10-01,51.1278,49.7212,50.8907,1700592
48.9863,2019-10-02,50.0926,48.6623,49.7607,1705172
49.3182,2019-10-03,49.5157,48.6939,49.1996,1855337
49.6501,2019-10-04,49.6738,49.1759,49.3972,1031133
49.5315,2019-10-07,49.9504,49.2075,49.5078,1398452
48.8677,2019-10-08,49.5473,48.8519,49.5078,1804110
49.089,2019-10-09,49.1759,48.8045,48.9942,1002485
49.2866,2019-10-10,49.3893,48.765,48.765,1093329
49.0969,2019-10-11,49.4762,48.8361,49.1917,1310802
49.3024,2019-10-14,49.3893,48.6702,49.255,1765557
48.9389,2019-10-15,49.4999,48.3857,49.3103,1734779
48.4647,2019-10-16,49.3261,48.3146,49.01,2126805
49.1601,2019-10-17,49.3419,48.2435,48.4252,1576626
48.9468,2019-10-18,49.6501,48.844,49.1838,1961837
49.3893,2019-10-21,49.6896,48.9547,49.1759,1436046
49.0574,2019-10-22,49.6106,49.01,49.3972,1332954
49.1601,2019-10-23,49.2471,48.8994,49.0811,1015584
48.7255,2019-10-24,48.9626,48.2514,48.9626,1043594
48.117,2019-10-25,48.931,47.9274,48.8045,1590791
48.2514,2019-10-28,48.4094,47.9274,48.2751,2823741
49.6817,2019-10-29,50.8591,48.6386,49.7844,5096984
50.4798,2019-10-30,50.5588,49.6817,50.0373,2753345
50.2032,2019-10-31,50.63,49.7607,50.4798,1939046
50.3218,2019-11-01,50.5904,50.0136,50.1558,1984415
50.2269,2019-11-04,50.4719,49.8318,50.3455,1597926
50.1953,2019-11-05,50.5667,50.0689,50.3692,1598991
50.8986,2019-11-06,51.4518,50.5509,50.6142,3228867
50.3613,2019-11-07,50.8986,49.9425,50.8196,1610813
50.5667,2019-11-08,50.8907,50.2902,50.5983,1439880
50.1558,2019-11-11,50.4798,49.816,50.4403,1093755
50.5509,2019-11-12,50.7011,49.9978,50.1795,1650857
50.8986,2019-11-13,51.0725,50.4166,50.6458,2168979
50.6142,2019-11-14,51.1041,50.4008,51.0014,1704320
51.0962,2019-11-15,51.27,50.3929,50.5509,1888139
51.7047,2019-11-18,51.76,50.9223,51.3333,1743725
51.6177,2019-11-19,51.7284,51.4597,51.6493,1140083
51.6652,2019-11-20,51.6968,51.2384,51.6178,1609535
51.1436,2019-11-21,51.7205,51.1357,51.5229,1713585
50.9777,2019-11-22,51.5703,50.8275,51.3412,1037523
50.8433,2019-11-25,51.1831,50.6695,51.0804,1344456
51.7521,2019-11-26,51.7837,50.6774,50.9144,1897511
51.8469,2019-11-27,52.1077,51.6177,51.8469,1654265
51.9107,2019-11-29,52.2056,51.5599,51.8389,1111434
52.1498,2019-12-02,52.1737,51.4722,51.7513,1473108
52.3332,2019-12-03,52.3411,51.8868,52.1418,1639781
52.3969,2019-12-04,52.8513,51.815,51.815,1939791
52.4129,2019-12-05,52.4368,52.0382,52.3571,1202385
52.7875,2019-12-06,52.9789,52.4767,52.5404,1059888
53.0426,2019-12-09,53.2898,52.652,52.7238,1337108
53.1224,2019-12-10,53.3057,52.8194,53.1622,1261386
52.7317,2019-12-11,53.1463,52.6361,53.0905,1552664
52.7636,2019-12-12,53.2419,52.652,53.0905,1066491
52.8115,2019-12-13,53.0586,52.6281,52.66,953175
52.8354,2019-12-16,53.0825,52.5484,52.9868,2176008
52.6919,2019-12-17,52.939,52.4448,52.6361,1506230
52.9948,2019-12-18,53.0426,52.7477,52.947,1385033
53.234,2019-12-19,53.513,53.0506,53.3615,1423266
54.7167,2019-12-20,54.8203,53.8797,54.1268,5615532
54.8283,2019-12-23,54.9638,54.3181,54.8681,1888778
54.9478,2019-12-24,55.0993,54.6529,54.8602,961163
54.7326,2019-12-26,55.0594,54.6051,54.9717,1164471
55.1312,2019-12-27,55.2587,54.7326,54.7326,819624
54.8283,2019-12-30,55.0913,54.6449,54.9319,785864
55.1312,2019-12-31,55.187,54.6609,54.8203,1121765
53.9195,2020-01-02,55.2029,53.7123,55.1073,2874968
54.2065,2020-01-03,54.4935,53.7282,53.8239,1321239
54.1587,2020-01-06,54.3101,53.8478,54.2065,1409634
54.8522,2020-01-07,55.8008,54.7167,55.2587,2568780
54.916,2020-01-08,55.171,54.613,54.8283,1352870
55.1152,2020-01-09,55.2747,54.629,55.2587,1529660
55.2189,2020-01-10,55.4261,55.1471,55.2268,1510703
55.5696,2020-01-13,55.8008,55.2268,55.3305,1893783
55.8008,2020-01-14,55.8008,55.45,55.5696,1519116
56.016,2020-01-15,56.303,55.7051,55.8008,1489296
56.3907,2020-01-16,56.4864,56.016,56.1994,1424331
56.5023,2020-01-17,56.6378,56.1834,56.4465,1966629
56.2791,2020-01-21,56.6059,56.0479,56.3668,2317014
56.0081,2020-01-22,56.4545,55.8247,56.1197,1839681
56.1515,2020-01-23,56.4385,55.5537,55.6573,1634882
55.2747,2020-01-24,56.3827,55.0913,56.3827,1604423
55.0276,2020-01-27,55.474,54.7804,54.916,1723170
54.9877,2020-01-28,55.3305,54.916,54.9957,1200255
54.5493,2020-01-29,55.0276,54.5174,54.9638,1786538
54.908,2020-01-30,54.9717,54.2384,54.4695,1504739
54.3739,2020-01-31,55.171,54.2144,54.8841,2924916
54.8761,2020-02-03,55.187,54.4855,54.6688,1994639
54.7485,2020-02-04,55.5298,54.7087,55.1391,2106677
55.2906,2020-02-05,55.4899,54.8601,54.8601,2549291
50.5874,2020-02-06,52.9151,50.3403,51.1932,8159072
51.1534,2020-02-07,51.249,49.7265,50.428,4576838
52.0861,2020-02-10,52.1578,50.6592,50.978,3166778
52.8274,2020-02-11,53.0665,52.1977,52.2774,2770491
52.7557,2020-02-12,54.063,52.6759,53.8079,2364300
53.5209,2020-02-13,53.5847,52.652,52.7876,2422875
53.9753,2020-02-14,54.1666,53.3376,53.4731,1669388
53.5289,2020-02-18,53.7043,53.0347,53.5927,1672370
52.8513,2020-02-19,53.7999,52.8115,53.5369,1683978
52.3491,2020-02-20,52.6839,51.8947,52.4368,2244381
52.2295,2020-02-21,52.2774,51.7752,52.1339,1943519
51.4164,2020-02-24,51.8549,50.9621,51.5599,2704674
50.5316,2020-02-25,51.7273,50.1251,51.544,2706165
50.0374,2020-02-26,51.2092,49.8779,50.7309,1984308
48.6424,2020-02-27,49.7105,48.5626,49.5511,2843657
48.2039,2020-02-28,48.4112,46.0038,47.8293,4820723
50.8113,2020-03-02,50.8113,48.381,48.4534,2752173
50.417,2020-03-03,51.8413,49.9341,50.8193,2132237
51.946,2020-03-04,51.9942,50.6986,50.9803,2561751
51.2297,2020-03-05,51.9701,50.9239,51.2861,1616031
50.8515,2020-03-06,51.0044,49.5237,49.8295,2437679
50.2238,2020-03-09,50.8354,48.2844,48.4534,2935886
50.6101,2020-03-10,51.6643,48.5902,50.594,3000531
49.6444,2020-03-11,50.0065,48.4373,49.4593,2348006
46.8278,2020-03-12,48.2844,45.7414,47.0934,4075755
51.2297,2020-03-13,51.3263,47.8901,48.3407,3841349
50.3445,2020-03-16,52.1954,46.8761,46.9727,3992685
55.7041,2020-03-17,55.8248,50.0629,51.0124,5534699
55.4949,2020-03-18,56.6215,51.8735,54.159,4217933
49.4352,2020-03-19,55.3259,49.1455,55.0925,5040858
44.9125,2020-03-20,49.5156,44.5343,49.4674,5077175
43.1019,2020-03-23,45.7012,42.3776,44.4216,3453582
45.2827,2020-03-24,45.8299,43.472,44.0676,3102878
45.2022,2020-03-25,47.6969,44.0273,45.0654,3536120
47.2865,2020-03-26,47.9786,44.7435,45.2666,3562851
47.8579,2020-03-27,49.0328,45.9024,46.4496,2711490
49.0167,2020-03-30,49.4915,48.0993,48.5902,2039475
48.2763,2020-03-31,49.7571,48.051,49.1696,2504028
49.1616,2020-04-01,49.4191,46.9727,47.4877,2637686
49.3466,2020-04-02,49.8778,47.9947,48.5097,2286662
51.1654,2020-04-03,51.4551,48.8316,48.8316,1702083
51.109,2020-04-06,51.954,49.7892,51.954,3356880
50.3365,2020-04-07,52.3322,49.91,51.3424,2678475
49.4593,2020-04-08,50.5618,49.0891,50.3767,2803613
50.4894,2020-04-09,51.5033,49.073,49.073,2788277
50.5377,2020-04-13,50.6986,49.2501,50.2479,1700379
51.1975,2020-04-14,51.8172,50.7147,51.4068,2661222
50.6584,2020-04-15,51.1975,50.2962,51.1975,1861833
51.608,2020-04-16,51.8494,50.4894,51.0688,2727891
52.3242,2020-04-17,52.3483,51.0688,51.8092,2545883
53.314,2020-04-20,54.0383,52.1149,52.3886,2551101
52.7266,2020-04-21,53.306,51.9299,53.0002,2571549
52.0506,2020-04-22,53.137,52.0506,53.0082,1495793
51.9057,2020-04-23,52.2518,51.5758,51.608,1716035
51.5838,2020-04-24,52.2437,50.8918,52.2437,2006460
52.3886,2020-04-27,52.7266,51.5194,52.131,2235116
52.9197,2020-04-28,53.2818,52.3242,52.5656,2287940
52.2276,2020-04-29,53.2979,52.1954,52.4047,2388263
52.7105,2020-04-30,54.6338,51.8413,53.5232,4146045
52.1954,2020-05-01,52.9921,51.9781,52.469,2078241
51.2378,2020-05-04,52.3886,51.1171,52.2035,1624977
50.8917,2020-05-05,51.6562,50.8113,51.1734,1883985
51.5758,2020-05-06,51.8092,50.594,50.94,1909439
50.4491,2020-05-07,52.0425,50.3043,51.8655,1732116
