close,date,high,low,open,volume
125.831,2019-08-12,127.515,125.667,126.983,2305300
128.154,2019-08-13,128.948,125.831,126.005,1610200
122.773,2019-08-14,127.689,122.173,126.17,2103300
122.628,2019-08-15,125.125,121.969,124.747,1945200
124.679,2019-08-16,125.105,123.237,123.828,1269600
126.373,2019-08-19,127.022,125.783,126.683,1289300
126.48,2019-08-20,127.37,125.56,125.85,979800
124.682,2019-08-21,127.888,124.342,127.82,1646600
124.459,2019-08-22,125.732,123.342,125.149,963900
121.525,2019-08-23,124.265,121.108,123.624,1736100
122.623,2019-08-26,123.235,121.788,122.817,1263400
121.768,2019-08-27,123.565,121.681,123.39,1214800
121.758,2019-08-28,122.341,121.098,121.593,1892200
122.137,2019-08-29,123.818,121.797,123.565,1701900
122.458,2019-08-30,123.964,122.196,122.691,1871600
120.719,2019-09-03,121.37,120.097,121.37,1895000
122.098,2019-09-04,122.429,121.35,122.021,2471500
124.789,2019-09-05,125.188,122.322,123.264,2941800
125.732,2019-09-06,126.072,124.391,124.828,1120200
126.198,2019-09-09,126.237,124.692,126.081,1291100
127.927,2019-09-10,127.946,124.993,126.285,1259000
129.287,2019-09-11,129.773,127.092,127.636,1613900
128.724,2019-09-12,130.53,128.607,129.685,1080100
130.161,2019-09-13,131.589,128.772,129.18,1168300
126.752,2019-09-16,129.005,126.46,129.005,1310600
126.829,2019-09-17,127.674,126.072,126.946,877400
126.47,2019-09-18,126.752,125.032,126.412,1087200
125.848,2019-09-19,127.597,125.712,126.761,1088500
123.342,2019-09-20,125.761,123.235,125.382,3007100
122.254,2019-09-23,123.177,121.817,122.642,2961700
118.776,2019-09-24,122.506,118.698,122.506,2735000
119.514,2019-09-25,119.845,117.814,119.0,2925900
118.193,2019-09-26,119.378,117.882,118.864,2709000
117.319,2019-09-27,119.485,116.59,118.98,3215500
120.816,2019-09-30,121.049,117.212,118.397,2770700
119.874,2019-10-01,122.798,119.786,121.477,1840300
116.892,2019-10-02,118.805,116.182,118.805,1859100
115.619,2019-10-03,117.232,115.143,116.853,2329100
117.406,2019-10-04,117.562,116.182,116.532,1909000
115.794,2019-10-07,117.261,115.483,116.649,1707000
114.308,2019-10-08,115.532,113.511,114.822,1717700
115.104,2019-10-09,115.658,113.9,115.201,1454300
114.813,2019-10-10,116.416,114.308,115.182,1683300
117.717,2019-10-11,118.815,115.629,116.309,1828800
116.668,2019-10-14,117.746,115.959,117.338,1065200
117.649,2019-10-15,118.232,116.853,116.892,905700
117.63,2019-10-16,118.222,116.901,117.717,1097300
117.125,2019-10-17,118.252,116.911,117.358,967300
117.591,2019-10-18,117.931,115.561,116.96,1437500
119.485,2019-10-21,119.874,118.426,118.766,1820900
118.562,2019-10-22,119.495,118.368,119.116,1722600
119.961,2019-10-23,120.136,117.562,117.989,1446400
120.748,2019-10-24,121.088,119.349,120.389,1335500
122.574,2019-10-25,123.099,120.233,120.233,1364600
122.982,2019-10-28,123.138,121.564,122.429,1017100
122.914,2019-10-29,123.536,121.953,123.148,1229000
122.827,2019-10-30,123.332,121.146,122.759,931700
122.934,2019-10-31,123.216,121.166,122.361,1500000
124.42,2019-11-01,125.43,123.313,124.576,1633400
126.441,2019-11-04,126.829,123.828,125.178,2225900
129.87,2019-11-05,130.482,124.1,124.352,3577800
128.792,2019-11-06,129.948,127.976,129.608,1678200
129.258,2019-11-07,130.307,128.267,128.762,1651900
129.394,2019-11-08,129.588,128.209,129.044,1020300
127.985,2019-11-11,128.646,127.092,128.471,1282700
128.743,2019-11-12,130.404,128.238,128.384,1365100
129.831,2019-11-13,130.025,127.762,128.452,1274800
130.705,2019-11-14,130.919,129.141,129.608,1238200
131.648,2019-11-15,132.075,130.336,131.055,1371200
131.803,2019-11-18,132.415,131.172,131.308,1568700
131.599,2019-11-19,132.434,131.366,132.23,992700
129.376,2019-11-20,131.199,127.963,130.497,1408600
129.639,2019-11-21,130.166,128.05,129.815,997300
132.827,2019-11-22,133.091,129.503,130.254,1304500
134.514,2019-11-25,135.031,133.169,133.559,1422500
136.561,2019-11-26,136.776,133.89,134.68,1757600
137.789,2019-11-27,138.189,136.581,136.659,1361700
136.834,2019-11-29,138.189,136.542,137.234,751600
136.902,2019-12-02,137.273,136.366,137.146,1402100
135.079,2019-12-03,135.645,134.299,135.411,1121000
135.762,2019-12-04,136.317,134.904,134.982,1149800
136.776,2019-12-05,136.971,136.005,136.454,991600
138.716,2019-12-06,139.135,137.458,137.76,1349100
137.799,2019-12-09,138.979,137.77,138.647,825100
137.039,2019-12-10,138.335,136.678,137.546,1166100
139.164,2019-12-11,139.652,137.263,137.731,1428800
141.455,2019-12-12,141.933,138.755,139.057,1472600
142.488,2019-12-13,142.771,140.685,141.406,1615400
144.185,2019-12-16,145.208,143.366,143.892,1303600
145.169,2019-12-17,145.559,143.98,144.146,1251700
145.793,2019-12-18,145.959,144.653,145.179,1201600
146.271,2019-12-19,146.651,145.413,145.413,1889800
147.012,2019-12-20,147.743,144.789,147.48,2853600
147.441,2019-12-23,148.074,146.836,147.207,863600
147.694,2019-12-24,148.533,146.875,147.373,668300
149.283,2019-12-26,149.313,147.743,147.948,691100
148.893,2019-12-27,149.537,148.698,149.527,629800
148.055,2019-12-30,149.391,147.441,149.157,820300
147.626,2019-12-31,148.62,147.022,147.879,1186100
147.685,2020-01-02,148.767,147.236,147.694,1905600
145.52,2020-01-03,146.251,145.004,145.442,2116900
143.639,2020-01-06,144.272,142.537,144.185,2178200
141.299,2020-01-07,143.522,141.046,143.054,2073200
143.044,2020-01-08,143.912,141.085,141.484,1412800
142.771,2020-01-09,143.882,142.527,143.756,1197900
141.738,2020-01-10,142.888,141.406,142.527,848200
143.112,2020-01-13,143.288,141.884,142.098,987500
143.454,2020-01-14,143.921,142.44,142.732,944700
143.6,2020-01-15,144.428,142.966,143.083,799900
145.277,2020-01-16,145.296,143.795,144.263,804500
146.485,2020-01-17,146.846,144.35,145.442,1058900
140.743,2020-01-21,144.711,139.817,144.36,2757200
140.5,2020-01-22,143.493,140.139,141.358,1297100
141.319,2020-01-23,141.416,137.702,138.852,1863100
137.478,2020-01-24,141.377,136.327,141.328,2073400
134.533,2020-01-27,136.122,130.01,134.27,2641200
137.702,2020-01-28,138.228,134.845,135.226,1958500
