close,date,high,low,open,volume
38.5129,2019-08-12,39.3689,38.4038,38.8486,9874900
39.3857,2019-08-13,39.6459,38.2107,38.5884,6273100
37.6568,2019-08-14,38.5884,37.6233,38.3115,9638300
37.5393,2019-08-15,38.0093,37.3379,37.7659,7453700
38.0597,2019-08-16,38.3115,37.7995,37.8415,7151400
38.4122,2019-08-19,38.9241,38.2527,38.7982,6315700
38.0765,2019-08-20,38.5716,37.9925,38.1352,5538100
38.4038,2019-08-21,38.5632,38.2527,38.4709,4838200
38.7814,2019-08-22,39.0416,38.4541,38.6472,4840100
37.4219,2019-08-23,38.7814,37.1785,38.3954,8939300
37.6317,2019-08-26,37.9254,37.3799,37.8163,7061100
36.8092,2019-08-27,37.9674,36.7421,37.8667,7059400
36.6833,2019-08-28,36.7085,36.3728,36.4819,7347500
37.0358,2019-08-29,37.2708,37.0022,37.1869,4830300
37.1785,2019-08-30,37.5058,37.061,37.3799,4224600
36.868,2019-09-03,36.9267,36.398,36.8092,5093100
37.3379,2019-09-04,37.4974,37.1281,37.296,4998200
38.5632,2019-09-05,38.857,37.9758,38.0093,6215500
38.7982,2019-09-06,39.0584,38.4457,38.6136,4137500
38.9409,2019-09-09,39.1423,38.345,39.1423,9950200
39.7969,2019-09-10,39.7969,38.9325,39.1843,8077200
40.2585,2019-09-11,40.2753,39.2011,39.8641,6424400
40.1746,2019-09-12,40.3928,39.2514,39.8305,6016300
40.5942,2019-09-13,41.0138,40.334,40.6194,7463900
39.906,2019-09-16,40.2669,39.6291,40.2165,7593800
39.8053,2019-09-17,39.8557,39.3773,39.5032,6923600
40.1578,2019-09-18,40.2585,39.436,39.6039,6448000
40.1662,2019-09-19,40.6362,39.9648,40.0907,4401000
39.8137,2019-09-20,40.3005,39.6375,40.3005,31827300
40.0571,2019-09-23,40.2165,39.3689,39.3773,6750300
39.7214,2019-09-24,40.2417,39.4948,40.1746,8363800
39.755,2019-09-25,40.0403,39.6207,39.7214,4161200
39.5116,2019-09-26,39.7969,39.2766,39.755,5277300
39.7466,2019-09-27,40.0067,39.5451,39.9312,4255000
39.5787,2019-09-30,39.9648,39.4109,39.8976,4077100
38.6304,2019-10-01,39.9983,38.622,39.9228,3960000
37.254,2019-10-02,38.3534,37.1869,38.2107,7988200
37.3967,2019-10-03,37.4302,36.6498,37.1197,6651900
38.11,2019-10-04,38.1772,37.2708,37.4135,4209200
37.724,2019-10-07,38.11,37.7156,38.11,3365700
36.784,2019-10-08,37.2456,36.7756,37.212,5439100
37.2372,2019-10-09,37.4386,36.9855,37.0862,4273500
37.7324,2019-10-10,38.0765,37.3799,37.5729,3858200
38.4709,2019-10-11,39.1171,38.3786,38.538,5231900
38.3954,2019-10-14,38.4793,38.0765,38.1268,2102100
38.7647,2019-10-15,39.1003,38.4625,38.58,3088800
38.5716,2019-10-16,39.1339,38.5129,38.6975,4326500
38.5213,2019-10-17,38.9912,38.3786,38.8738,4172200
38.6891,2019-10-18,38.815,38.5213,38.5884,5058100
39.0584,2019-10-21,39.243,38.9409,39.0668,4353700
39.0332,2019-10-22,39.1591,38.6975,38.9829,3450000
39.0668,2019-10-23,39.1171,38.7982,38.9745,3068000
38.8402,2019-10-24,39.3857,38.5464,39.1171,3025900
38.8738,2019-10-25,39.0332,38.622,38.622,2163200
39.285,2019-10-28,39.5619,39.0584,39.0584,4108600
39.1759,2019-10-29,39.4864,38.9745,39.1255,3743100
38.8486,2019-10-30,39.2011,38.4625,39.1339,5272800
39.2682,2019-10-31,39.4025,38.0429,38.5968,7023100
39.6626,2019-11-01,39.8137,39.2514,39.4528,5733600
40.3149,2019-11-04,40.4166,39.9676,39.993,6564300
40.9842,2019-11-05,41.1451,40.3149,40.4505,6157800
41.1705,2019-11-06,41.2722,40.6961,40.9672,5150300
41.5433,2019-11-07,42.0261,41.4501,41.5687,5999900
41.7805,2019-11-08,41.7974,41.0773,41.5941,6446200
41.6958,2019-11-11,41.916,41.3484,41.3569,4322700
42.0007,2019-11-12,42.2464,41.6619,41.772,4672500
41.7296,2019-11-13,41.8567,41.4501,41.611,3984800
41.7635,2019-11-14,41.9075,41.4755,41.6365,3034800
41.7381,2019-11-15,42.1278,41.6534,42.0261,3298100
41.611,2019-11-18,41.6703,41.3145,41.5687,3679000
41.6364,2019-11-19,41.9668,41.6026,41.7381,4000600
41.4586,2019-11-20,41.5179,40.9503,41.4586,4234700
41.484,2019-11-21,41.6195,41.1705,41.6195,3585600
42.0177,2019-11-22,42.077,41.4501,41.5602,5399600
42.3142,2019-11-25,42.3989,42.0261,42.1447,5059500
42.1617,2019-11-26,42.2972,41.8821,42.1956,4096900
42.2803,2019-11-27,42.4751,42.0685,42.3989,3919400
42.2803,2019-11-29,42.348,42.0346,42.1363,1681200
41.8059,2019-12-02,42.5598,41.7805,42.5005,3524600
40.9587,2019-12-03,41.3908,40.6538,41.34,6139500
41.2214,2019-12-04,41.7127,41.0689,41.1621,6124200
41.4501,2019-12-05,41.5856,41.179,41.4501,3626600
41.9329,2019-12-06,42.1701,41.7212,41.9753,4009500
41.9922,2019-12-09,42.0854,41.6873,41.7042,3546400
41.755,2019-12-10,41.9245,41.6364,41.7805,3942800
41.5856,2019-12-11,41.9753,41.4247,41.8313,5717600
42.814,2019-12-12,42.9834,41.5602,41.628,12137300
42.6784,2019-12-13,43.1698,42.3396,42.9326,5355500
42.7631,2019-12-16,43.2714,42.7038,43.1443,8987600
43.3476,2019-12-17,43.3815,42.6445,42.7631,6982600
43.3138,2019-12-18,43.5171,43.2799,43.4408,4309700
43.0342,2019-12-19,43.3307,42.8902,43.3222,6058400
43.5086,2019-12-20,43.6103,43.1698,43.4832,10779400
43.1952,2019-12-23,43.7119,42.9326,43.6187,4229300
43.1952,2019-12-24,43.407,43.0935,43.2799,1913300
43.407,2019-12-26,43.5425,43.2121,43.2545,2281300
43.0596,2019-12-27,43.4917,43.0342,43.4917,2578200
42.9495,2019-12-30,43.3222,42.9071,43.3222,3150000
43.1782,2019-12-31,43.2036,42.7885,42.9749,4721800
43.7289,2020-01-02,43.7882,43.2545,43.4408,4416800
43.2799,2020-01-03,43.3392,42.8648,43.1952,5162300
43.1613,2020-01-06,43.229,42.6276,42.8902,3271700
43.4493,2020-01-07,43.7289,42.9834,43.2121,6578000
43.9068,2020-01-08,44.5336,43.5764,43.6018,9880500
44.3642,2020-01-09,44.6692,44.1609,44.2033,5793900
44.4489,2020-01-10,44.5591,44.1778,44.3896,5526900
44.5421,2020-01-13,44.6946,44.3303,44.576,6924900
44.2117,2020-01-14,44.5336,44.0677,44.3896,6611200
43.9237,2020-01-15,44.3134,43.839,44.0677,4542400
44.2202,2020-01-16,44.3981,43.9745,44.2456,5389500
44.5675,2020-01-17,44.6099,44.2117,44.3388,6101700
43.8475,2020-01-21,44.3388,43.7882,44.2117,4656500
43.9661,2020-01-22,44.1609,43.7712,44.0508,3530700
43.8813,2020-01-23,44.0169,43.2121,43.7712,4264500
43.4324,2020-01-24,43.9661,42.9495,43.9661,3943600
42.4328,2020-01-27,42.7038,42.2887,42.4328,6494000
42.8224,2020-01-28,43.1698,42.5259,42.653,4091100
42.7716,2020-01-29,43.2206,42.7462,43.0173,3877500
43.4408,2020-01-30,43.4493,42.2887,42.3565,4584000
42.1108,2020-01-31,42.9156,41.9245,42.8902,9443000
42.4698,2020-02-03,42.9912,42.4613,42.5211,5276800
42.9057,2020-02-04,43.3929,42.8886,43.1878,4774500
44.0425,2020-02-05,44.2219,43.5638,43.7262,7647200
44.333,2020-02-06,44.5211,43.8031,44.2989,6538200
44.0852,2020-02-07,44.1877,43.6578,44.0339,6698300
44.3416,2020-02-10,44.3758,43.9314,43.9314,4513800
44.7775,2020-02-11,45.3416,44.4783,44.6065,5972700
44.8459,2020-02-12,45.5382,44.8288,45.051,4999200
44.769,2020-02-13,44.8886,44.3929,44.7177,3762300
44.6835,2020-02-14,44.8459,44.3331,44.8202,3469700
44.2989,2020-02-18,44.863,43.9313,44.4698,4554800
44.2647,2020-02-19,44.5809,44.1963,44.4527,5528700
44.6835,2020-02-20,44.7433,44.1621,44.3074,3686900
43.786,2020-02-21,44.4954,43.5553,44.4271,5308000
42.2049,2020-02-24,42.4442,41.7091,42.1279,8697000
40.6664,2020-02-25,42.316,40.41,42.2647,10896800
40.1023,2020-02-26,41.2818,39.9399,40.9912,9898400
37.5126,2020-02-27,39.2733,37.4357,39.128,13487100
36.5126,2020-02-28,36.7263,35.4442,35.9912,13640200
38.0852,2020-03-02,38.1023,36.504,36.6921,13068400
36.3844,2020-03-03,38.4442,36.0852,37.9399,11120000
37.4613,2020-03-04,37.5895,36.2562,37.0938,7751100
34.7177,2020-03-05,36.1109,34.1964,35.9827,11269300
33.487,2020-03-06,34.4271,32.7605,33.1451,10764500
27.9144,2020-03-09,31.316,27.2648,30.2733,14632700
29.9314,2020-03-10,29.94,27.7947,29.4955,12698400
28.4614,2020-03-11,29.2391,27.8973,28.7434,11010000
24.1879,2020-03-12,26.487,24.034,25.7434,13658700
27.2904,2020-03-13,27.3759,24.8289,26.4785,13500800
22.9058,2020-03-16,24.6238,22.2221,22.9657,8989500
24.299,2020-03-17,24.3075,21.9144,23.6836,9725900
24.0853,2020-03-18,24.1622,21.8631,22.1879,12074700
22.9058,2020-03-19,24.4187,22.2135,23.5041,9083800
20.8375,2020-03-20,23.4614,20.6494,23.4614,16243600
20.111,2020-03-23,20.9571,19.5298,20.5298,11715300
23.5981,2020-03-24,23.8716,20.9657,21.3588,12986000
25.4186,2020-03-25,27.7434,23.7862,24.2221,13540400
27.8032,2020-03-26,27.9827,25.2819,25.7605,11543000
26.3845,2020-03-27,27.4956,26.1793,26.2648,7336500
27.3759,2020-03-30,27.6067,25.8545,26.2562,6287300
26.128,2020-03-31,27.3075,26.0084,26.7776,8939400
23.846,2020-04-01,24.8033,23.6238,24.3246,5379300
23.9742,2020-04-02,24.7691,23.4528,23.487,7140500
23.6922,2020-04-03,24.1708,22.9229,23.752,4855300
26.1793,2020-04-06,26.4272,25.0426,25.5981,7687600
26.9913,2020-04-07,28.752,26.8973,28.0767,7997900
28.6067,2020-04-08,28.8203,26.9656,27.3246,6563400
30.3075,2020-04-09,31.0767,29.4101,29.4101,10681800
29.3331,2020-04-13,30.2904,28.7605,29.7947,4460900
