close,date,high,low,open,volume
28.24,2019-08-12,29.525,28.16,29.51,10564000
29.02,2019-08-13,29.155,28.0,28.01,6830400
28.055,2019-08-14,28.855,27.995,28.67,5229000
28.475,2019-08-15,28.66,28.06,28.32,6112600
28.59,2019-08-16,28.845,28.33,28.705,3512200
28.9,2019-08-19,29.105,28.7,28.975,4904200
28.92,2019-08-20,29.105,28.535,28.785,4162400
29.015,2019-08-21,29.24,28.91,29.175,3468000
28.575,2019-08-22,29.03,28.36,28.995,4765200
28.04,2019-08-23,28.83,27.925,28.59,5169000
28.325,2019-08-26,28.37,27.995,28.26,3365800
28.285,2019-08-27,28.565,28.025,28.43,4533600
29.04,2019-08-28,29.23,28.365,28.535,6395800
28.805,2019-08-29,29.325,28.75,29.32,4096600
29.335,2019-08-30,29.415,29.025,29.025,4427000
28.82,2019-09-03,29.11,28.68,29.06,5075800
29.03,2019-09-04,29.185,28.825,28.99,3721200
29.385,2019-09-05,29.51,29.03,29.22,4049200
28.585,2019-09-06,29.465,28.515,29.375,5908200
28.615,2019-09-09,28.88,28.16,28.515,7793800
28.88,2019-09-10,28.88,28.335,28.49,4651000
28.435,2019-09-11,28.985,27.995,28.685,7753800
28.725,2019-09-12,29.065,28.66,28.72,4019600
29.43,2019-09-13,29.785,28.685,28.685,9108800
29.615,2019-09-16,29.715,29.185,29.285,6446600
28.995,2019-09-17,29.68,28.8,29.525,8697000
29.18,2019-09-18,29.285,28.795,28.885,5528800
29.395,2019-09-19,29.53,29.265,29.27,3273200
29.175,2019-09-20,29.56,29.16,29.36,8304200
29.56,2019-09-23,29.76,29.23,29.305,4298000
29.405,2019-09-24,29.745,29.125,29.71,4659600
29.185,2019-09-25,29.485,28.46,29.145,6548400
28.885,2019-09-26,29.415,28.41,29.24,5175000
28.905,2019-09-27,29.285,28.695,29.01,4073600
29.03,2019-09-30,29.425,28.915,29.08,2944800
28.21,2019-10-01,29.24,28.025,29.045,6878400
27.56,2019-10-02,27.815,26.835,27.22,9641200
27.81,2019-10-03,28.005,27.445,27.69,7399400
28.29,2019-10-04,28.38,27.91,27.91,5434600
27.865,2019-10-07,28.24,27.79,28.08,7937000
27.94,2019-10-08,28.415,27.68,27.7,5459800
28.14,2019-10-09,28.365,27.97,28.365,2659600
28.06,2019-10-10,28.18,27.92,28.06,3099200
28.15,2019-10-11,28.42,28.005,28.24,4948600
28.275,2019-10-14,28.485,28.03,28.205,2533800
28.145,2019-10-15,28.27,27.925,28.03,4134800
28.26,2019-10-16,28.345,27.99,28.185,3651800
28.28,2019-10-17,28.64,27.915,27.915,8336400
28.03,2019-10-18,28.435,27.965,28.24,7019600
28.145,2019-10-21,28.25,28.01,28.125,3308200
