close,date,high,low,open,volume
82.64,2019-08-12,85.89,79.82,85.59,3636700
80.6,2019-08-13,84.94,80.33,82.5,3119700
79.53,2019-08-14,80.769,77.87,79.66,2637300
82.47,2019-08-15,82.91,80.01,81.82,2503800
84.51,2019-08-16,84.8,83.07,83.25,2076400
82.92,2019-08-19,85.5,81.14,85.2,2019700
83.17,2019-08-20,83.77,81.78,82.85,1524600
85.35,2019-08-21,85.6,83.45,84.13,1707300
86.48,2019-08-22,86.83,84.64,85.54,2133400
85.46,2019-08-23,87.51,85.155,86.1,1940100
85.93,2019-08-26,87.0,84.08,86.45,1592400
84.83,2019-08-27,87.39,84.42,86.89,1796500
85.0,2019-08-28,85.345,83.07,84.39,1353400
85.6,2019-08-29,86.15,83.8,85.67,1413800
84.8,2019-08-30,86.19,83.96,85.89,1165500
83.98,2019-09-03,85.75,83.36,84.8,1356500
85.64,2019-09-04,86.06,84.1,84.87,1907300
81.74,2019-09-05,89.382,79.52,88.55,7771700
81.47,2019-09-06,82.64,79.52,81.61,1962700
77.96,2019-09-09,82.4,77.34,82.0,2471600
75.54,2019-09-10,78.61,75.12,76.25,2741200
74.83,2019-09-11,77.77,74.19,75.43,2225000
76.17,2019-09-12,77.36,75.53,75.65,1756700
74.93,2019-09-13,77.05,74.65,75.82,1332100
76.61,2019-09-16,76.79,72.0,73.49,1859300
79.71,2019-09-17,79.895,76.92,78.01,2174000
79.16,2019-09-18,80.0,76.81,80.0,1836400
79.24,2019-09-19,81.11,78.41,79.92,1323700
78.68,2019-09-20,80.15,77.51,79.36,1908500
78.16,2019-09-23,78.9,77.84,78.62,926700
72.83,2019-09-24,79.05,71.97,78.62,3326500
71.44,2019-09-25,74.54,66.57,72.25,8097200
71.44,2019-09-26,72.15,69.535,70.27,1905600
72.41,2019-09-27,74.15,71.02,73.73,1896000
71.44,2019-09-30,72.87,70.08,71.96,1919000
72.96,2019-10-01,73.66,71.1,71.29,1911000
72.37,2019-10-02,72.66,69.93,71.69,1274000
75.0,2019-10-03,75.21,71.88,71.88,2725700
74.43,2019-10-04,75.74,73.714,74.7,1409500
77.97,2019-10-07,78.31,75.71,77.01,3952400
75.54,2019-10-08,77.5,75.06,76.82,1744000
75.96,2019-10-09,77.06,75.06,75.6,1185700
76.02,2019-10-10,78.2,75.32,77.31,1706600
74.1,2019-10-11,75.92,72.781,75.2,4789700
74.0,2019-10-14,74.63,72.395,74.06,1924800
75.25,2019-10-15,75.55,73.0,74.0,1607500
76.62,2019-10-16,76.63,74.03,75.16,1285400
75.8,2019-10-17,77.11,75.64,76.53,1139800
71.55,2019-10-18,76.2,71.52,75.83,1802900
72.97,2019-10-21,73.81,71.16,72.3,1405800
71.28,2019-10-22,73.165,71.01,72.89,1151300
73.46,2019-10-23,73.57,71.28,71.49,2061600
73.86,2019-10-24,74.78,72.55,73.58,1332700
73.94,2019-10-25,74.47,73.051,73.66,1025200
73.85,2019-10-28,74.573,72.81,74.04,1086000
72.79,2019-10-29,75.43,72.71,74.0,1874800
73.73,2019-10-30,74.04,71.96,72.8,1161200
72.99,2019-10-31,74.92,72.88,73.78,1515200
73.0,2019-11-01,74.76,72.06,73.11,2258400
71.21,2019-11-04,73.42,71.04,73.18,2773300
68.77,2019-11-05,72.14,68.77,71.22,5164500
67.04,2019-11-06,67.22,61.5,62.25,10380600
69.7,2019-11-07,71.3,68.31,68.31,5077700
69.08,2019-11-08,70.06,67.42,70.02,3704700
68.69,2019-11-11,69.25,68.28,68.79,1655700
68.41,2019-11-12,68.99,67.22,68.54,1797300
68.7,2019-11-13,69.14,67.85,67.99,977100
69.38,2019-11-14,69.5,67.71,68.05,1065300
70.08,2019-11-15,70.7,69.07,69.55,956200
71.09,2019-11-18,71.56,69.915,70.43,1050200
71.86,2019-11-19,71.87,70.859,70.92,1003600
70.47,2019-11-20,72.38,69.49,71.62,2121700
70.04,2019-11-21,72.5,70.03,70.38,1365100
69.87,2019-11-22,70.29,69.4,70.26,1169500
69.28,2019-11-25,70.46,68.8,70.1,1553500
70.37,2019-11-26,70.88,69.4,69.4,4038800
70.15,2019-11-27,70.54,69.69,70.37,1121300
70.48,2019-11-29,70.73,69.77,70.08,496400
68.42,2019-12-02,70.73,67.57,70.39,1723400
68.26,2019-12-03,68.38,66.66,66.98,1455600
67.98,2019-12-04,69.47,67.845,68.28,1481600
68.13,2019-12-05,68.72,67.65,67.94,896600
67.87,2019-12-06,68.42,66.94,68.16,1921300
67.81,2019-12-09,68.32,67.22,67.69,1702500
68.25,2019-12-10,69.05,67.77,67.96,1237900
68.62,2019-12-11,68.9,67.54,68.05,1332000
69.09,2019-12-12,69.51,68.21,68.53,2950900
71.91,2019-12-13,71.93,68.98,68.98,1954200
72.31,2019-12-16,73.039,71.36,72.17,2454600
71.04,2019-12-17,72.99,69.08,72.57,2878700
71.24,2019-12-18,72.276,70.91,71.24,2361600
77.35,2019-12-19,77.97,72.5,72.51,5882900
79.86,2019-12-20,81.28,76.65,77.79,4821900
80.18,2019-12-23,80.7,79.27,80.34,1771800
80.94,2019-12-24,81.731,80.21,80.21,565700
82.51,2019-12-26,82.55,80.35,80.95,1142900
84.03,2019-12-27,84.21,82.16,82.83,2299700
82.98,2019-12-30,83.92,81.58,83.92,1234100
82.11,2019-12-31,83.325,81.98,82.94,1176000
84.19,2020-01-02,84.79,82.71,82.77,1711400
84.1,2020-01-03,84.3,83.0,83.0,850900
84.32,2020-01-06,84.33,82.77,83.38,1568900
83.82,2020-01-07,84.62,83.25,84.16,1135500
85.05,2020-01-08,85.94,83.655,83.7,1853000
85.75,2020-01-09,87.08,85.365,85.93,1631200
87.13,2020-01-10,87.5,85.13,86.51,2000100
89.58,2020-01-13,91.38,87.61,87.99,3028400
89.72,2020-01-14,90.37,88.9,89.87,1547800
91.1,2020-01-15,91.9,89.75,89.97,1360700
92.45,2020-01-16,92.51,91.31,91.67,1334200
91.11,2020-01-17,92.36,90.22,91.98,2506700
89.75,2020-01-21,91.51,89.54,90.25,2426200
89.56,2020-01-22,91.32,89.31,90.25,1179500
88.47,2020-01-23,90.65,88.47,89.88,1718700
85.57,2020-01-24,89.485,85.47,88.79,1513600
84.35,2020-01-27,84.76,81.46,82.44,2481300
83.96,2020-01-28,85.29,83.92,84.92,1124400
81.03,2020-01-29,83.77,80.94,83.19,2181800
81.05,2020-01-30,81.09,79.92,80.57,1211500
78.22,2020-01-31,81.06,78.01,80.26,2034800
80.72,2020-02-03,80.72,78.24,78.27,2110700
82.93,2020-02-04,83.01,80.52,82.0,3134200
76.0,2020-02-05,81.37,75.24,80.05,7092200
79.51,2020-02-06,82.26,76.25,76.25,7927200
77.75,2020-02-07,80.2,77.4,79.33,4869900
75.81,2020-02-10,78.1,75.68,77.28,1637100
74.58,2020-02-11,76.4,74.53,76.02,1786400
75.5,2020-02-12,75.71,73.01,74.54,2515600
75.21,2020-02-13,75.96,73.78,74.91,1652500
76.5,2020-02-14,77.09,75.09,75.31,2240600
76.7,2020-02-18,77.23,75.315,76.5,1822800
75.92,2020-02-19,77.64,75.884,77.3,1498900
75.15,2020-02-20,76.79,73.6,75.85,1640400
73.5,2020-02-21,74.98,72.8,74.89,1300100
70.15,2020-02-24,71.06,68.6,69.59,3283300
67.75,2020-02-25,70.92,67.23,70.39,2899400
66.04,2020-02-26,68.81,65.52,67.98,3753300
64.8,2020-02-27,66.91,63.13,63.83,3190200
65.0,2020-02-28,65.5,62.23,62.41,3133300
68.14,2020-03-02,68.21,63.53,65.0,3845400
65.8,2020-03-03,68.56,64.38,68.14,4149100
68.06,2020-03-04,68.8,65.365,67.05,2746600
66.61,2020-03-05,67.98,65.58,66.32,2368900
65.56,2020-03-06,65.59,62.98,64.53,2250500
64.04,2020-03-09,65.76,53.25,60.0,3394200
65.82,2020-03-10,66.38,63.05,65.24,2054000
63.02,2020-03-11,65.03,61.69,64.3,2559500
57.57,2020-03-12,60.965,55.8,57.49,4206700
60.47,2020-03-13,60.8,55.62,59.6,3621800
54.39,2020-03-16,56.54,52.59,53.7,6139000
57.02,2020-03-17,58.1,51.79,55.01,4437600
52.0,2020-03-18,55.91,47.27,53.11,3658800
50.76,2020-03-19,53.16,48.92,50.38,4080500
47.35,2020-03-20,52.94,47.31,51.68,4844400
48.71,2020-03-23,50.13,44.74,46.9,3854200
57.86,2020-03-24,58.33,50.7,50.7,4694200
65.6,2020-03-25,68.5,58.5,59.0,6023600
63.58,2020-03-26,73.25,61.98,65.52,4024200
62.48,2020-03-27,64.35,60.16,60.39,1972700
66.67,2020-03-30,67.7,62.23,62.23,2532000
66.04,2020-03-31,68.79,65.7,65.7,2132200
61.61,2020-04-01,64.97,60.42,64.13,2482200
62.19,2020-04-02,64.15,60.17,60.75,1281500
63.7,2020-04-03,64.76,62.21,62.53,1376600
68.41,2020-04-06,68.93,64.33,66.98,2098200
70.18,2020-04-07,71.96,67.77,70.65,3322000
69.21,2020-04-08,72.585,68.91,71.06,2119500
68.11,2020-04-09,71.0,66.66,70.31,2457700
68.48,2020-04-13,69.37,65.99,67.25,1897200
73.26,2020-04-14,74.13,69.58,69.58,2603700
74.49,2020-04-15,76.13,69.86,72.08,2884700
78.87,2020-04-16,80.405,75.09,75.7,3355600
80.0,2020-04-17,81.32,78.81,80.0,3055500
80.03,2020-04-20,83.59,78.95,79.23,2238900
76.9,2020-04-21,80.17,75.78,79.33,1337700
80.03,2020-04-22,80.81,77.51,78.12,1389600
80.38,2020-04-23,82.355,79.04,80.31,1355800
81.23,2020-04-24,81.82,79.67,80.99,1005300
78.38,2020-04-27,82.81,77.97,82.2,1912400
75.24,2020-04-28,79.79,75.15,79.31,1865200
79.59,2020-04-29,80.61,76.25,76.61,1441200
76.96,2020-04-30,79.99,76.63,78.0,1624100
74.64,2020-05-01,77.05,74.39,75.62,1118800
77.18,2020-05-04,77.36,74.058,74.52,1879900
80.1,2020-05-05,81.04,78.02,78.5,1838900
87.35,2020-05-06,87.38,82.84,83.41,3125600
82.63,2020-05-07,90.0,82.37,88.5,3697400
79.99,2020-05-08,83.98,79.63,83.3,3118900
79.94,2020-05-11,81.3,79.037,79.31,3125600
77.82,2020-05-12,81.0,77.3,80.36,2485800
74.75,2020-05-13,78.45,72.28,77.71,2903000
77.37,2020-05-14,77.6,73.085,73.2,1896500
78.17,2020-05-15,78.56,76.5,76.98,1760400
83.6,2020-05-18,84.18,79.27,80.0,2415400
85.72,2020-05-19,87.885,83.07,83.72,1602900
84.64,2020-05-20,87.49,83.44,86.31,1704800
84.0,2020-05-21,85.61,82.48,84.86,860800
84.93,2020-05-22,86.75,83.1,84.6,787400
85.49,2020-05-26,86.74,84.32,86.5,759000
85.97,2020-05-27,86.12,83.1,85.49,865200
88.93,2020-05-28,91.772,84.492,84.72,3033100
89.04,2020-05-29,90.25,87.72,89.88,1455500
91.73,2020-06-01,92.68,89.11,89.12,2150000
94.36,2020-06-02,94.57,90.76,93.78,2081400
94.01,2020-06-03,95.575,91.82,94.38,1956600
91.38,2020-06-04,94.07,89.64,92.9,1865800
90.09,2020-06-05,92.6,89.42,91.54,1846100
89.51,2020-06-08,92.85,89.34,90.47,1797100
89.69,2020-06-09,90.49,87.51,90.35,2603400
88.45,2020-06-10,90.68,87.65,90.13,1993900
85.68,2020-06-11,86.7,82.57,84.97,2946400
87.25,2020-06-12,88.34,84.37,88.15,2381900
88.34,2020-06-15,88.57,85.49,86.0,2237700
92.22,2020-06-16,93.16,89.69,89.99,3362100
94.47,2020-06-17,94.8,91.621,92.93,2475600
98.2,2020-06-18,98.965,94.06,94.65,3093600
95.73,2020-06-19,99.43,95.21,99.18,3088100
95.21,2020-06-22,96.56,93.58,96.39,2031900
98.61,2020-06-23,99.72,94.65,96.07,2735300
98.02,2020-06-24,99.82,95.2,98.51,2307700
98.95,2020-06-25,100.25,97.33,97.62,1208500
101.18,2020-06-26,101.97,97.85,99.62,2957900
106.0,2020-06-29,106.44,100.66,101.0,4389500
107.05,2020-06-30,107.95,105.01,106.18,3499900
105.67,2020-07-01,107.43,94.01,106.0,12164800
98.92,2020-07-02,108.45,96.12,105.1,7160800
94.7,2020-07-06,100.53,93.24,100.0,13035100
92.0,2020-07-07,94.76,91.56,93.34,8123400
94.2,2020-07-08,95.87,91.51,92.0,4442200
96.32,2020-07-09,97.9,94.5,95.0,4778100
100.39,2020-07-10,102.15,96.4,96.87,4694000
96.92,2020-07-13,101.47,96.24,100.72,4708400
97.93,2020-07-14,99.175,94.4,95.38,6046800
96.43,2020-07-15,99.0,95.75,98.35,2853800
94.46,2020-07-16,95.81,93.5,95.54,2535600
91.75,2020-07-17,95.87,90.95,95.1,4195200
97.17,2020-07-20,98.98,91.46,91.71,6021600
93.93,2020-07-21,98.41,92.62,98.41,3217500
93.37,2020-07-22,96.02,92.92,94.0,2725400
91.15,2020-07-23,94.44,90.59,93.01,1632800
90.36,2020-07-24,91.8,87.56,89.99,2607300
91.77,2020-07-27,93.78,91.0,91.69,4018100
98.44,2020-07-28,101.9,91.51,91.51,7953500
102.79,2020-07-29,103.5,99.0,100.0,4459400
102.35,2020-07-30,104.33,100.58,101.99,3173300
102.7,2020-07-31,103.97,101.547,103.63,3006600
110.405,2020-08-03,110.86,103.065,103.78,4924600
107.57,2020-08-04,110.47,105.99,110.2,3174800
120.71,2020-08-05,123.0,115.31,119.0,6655200
113.97,2020-08-06,118.005,113.88,117.73,4489600
115.88,2020-08-07,116.25,113.03,114.44,2266800
115.65,2020-08-10,119.49,112.69,117.01,4572400
115.5,2020-08-11,118.39,114.87,115.38,2575300
115.92,2020-08-12,118.0,115.42,115.85,2197700
117.44,2020-08-13,118.25,116.69,118.25,2065400
118.8,2020-08-14,121.44,117.65,118.0,2219700
114.105,2020-08-17,119.79,113.56,118.8,4508000
115.21,2020-08-18,116.46,114.1,114.54,4318500
114.15,2020-08-19,118.465,113.94,114.82,4237500
113.08,2020-08-20,115.53,112.16,113.99,1695100
112.55,2020-08-21,114.7,112.405,113.54,2096400
111.9,2020-08-24,114.963,111.01,113.64,1650400
112.28,2020-08-25,112.52,109.56,110.78,1808400
112.53,2020-08-26,114.08,110.95,113.2,1651600
111.53,2020-08-27,113.27,111.34,112.45,2005900
111.5,2020-08-28,113.56,109.87,112.18,1343300
111.68,2020-08-31,112.25,110.44,111.49,2619500
113.41,2020-09-01,115.25,110.87,110.87,2799800
117.49,2020-09-02,117.62,112.88,114.7,3026700
110.54,2020-09-03,114.82,108.81,114.23,2414800
105.94,2020-09-04,110.95,102.08,108.51,3004000
102.06,2020-09-08,105.545,100.25,102.005,3918400
105.56,2020-09-09,106.671,102.13,104.49,2711100
105.46,2020-09-10,108.37,104.17,106.29,2005400
103.65,2020-09-11,106.86,101.65,106.86,2302400
108.26,2020-09-14,109.27,105.74,105.74,3473700
110.98,2020-09-15,111.66,108.71,109.95,2459900
108.3,2020-09-16,111.395,107.79,110.75,4088500
107.56,2020-09-17,108.459,105.65,107.95,2669000
108.41,2020-09-18,109.77,105.36,107.74,6138400
106.85,2020-09-21,107.25,104.205,106.08,2832300
106.51,2020-09-22,108.79,105.46,108.38,2665700
102.89,2020-09-23,107.255,102.41,106.94,2350200
103.43,2020-09-24,105.13,100.61,101.02,1661600
105.75,2020-09-25,107.522,102.77,103.58,1851700
108.59,2020-09-28,109.84,106.775,107.15,2435300
109.12,2020-09-29,109.38,106.63,108.22,3348000
110.65,2020-09-30,111.79,108.43,108.43,2413600
116.21,2020-10-01,116.58,111.13,112.23,2833600
111.94,2020-10-02,115.9,111.63,113.13,1664000
114.05,2020-10-05,115.15,111.68,112.99,1721600
114.21,2020-10-06,115.82,112.79,113.94,1685900
114.5,2020-10-07,115.49,112.125,114.59,2253900
113.45,2020-10-08,117.49,113.1,115.95,2589800
112.38,2020-10-09,114.4,111.66,113.64,1696700
110.3,2020-10-12,113.94,108.85,112.5,2160200
111.16,2020-10-13,113.4,110.39,112.0,2181600
109.77,2020-10-14,112.505,109.28,111.87,1439400
111.17,2020-10-15,112.104,107.05,108.2,1754500
112.21,2020-10-16,113.07,110.42,112.56,1485600
113.0,2020-10-19,115.605,111.59,112.29,1942000
114.86,2020-10-20,116.565,113.22,113.67,1637400
118.06,2020-10-21,119.32,115.59,116.25,2156300
116.72,2020-10-22,118.11,114.513,117.67,1548300
120.3,2020-10-23,120.38,116.53,118.07,1197600
119.26,2020-10-26,122.0,117.653,118.69,1945700
125.78,2020-10-27,127.42,119.31,119.41,3451300
118.52,2020-10-28,123.45,118.13,123.05,2030400
122.12,2020-10-29,123.69,119.0,119.53,1622300
116.78,2020-10-30,123.27,116.24,121.37,2146500
118.98,2020-11-02,121.35,116.23,117.51,2766500
121.63,2020-11-03,123.23,117.68,119.34,3386600
128.69,2020-11-04,129.31,122.28,124.68,4101800
134.97,2020-11-05,138.5,129.14,132.0,5816700
132.56,2020-11-06,136.21,130.2,134.59,2951500
137.22,2020-11-09,141.805,134.15,136.637,4233300
132.22,2020-11-10,139.26,131.28,137.13,3009600
133.41,2020-11-11,137.36,133.07,133.67,1377500
131.26,2020-11-12,135.6,130.38,133.06,1472800
131.6,2020-11-13,132.75,129.38,131.12,1280800
134.83,2020-11-16,137.22,132.015,133.75,2093000
131.35,2020-11-17,135.18,130.72,134.57,2164300
131.35,2020-11-18,134.1,129.61,133.75,1040800
132.31,2020-11-19,135.155,130.2,131.19,1168500
130.57,2020-11-20,135.0,130.33,131.92,1515500
138.23,2020-11-23,139.07,131.07,131.07,2321700
138.67,2020-11-24,138.94,135.08,137.65,2019700
139.01,2020-11-25,141.63,136.87,139.34,1478500
139.63,2020-11-27,143.09,137.88,139.16,931400
139.21,2020-11-30,139.785,135.303,139.11,2222200
143.31,2020-12-01,143.82,140.82,141.21,2084400
138.93,2020-12-02,142.1,137.39,142.1,1582700
140.14,2020-12-03,142.79,138.0,138.08,1650800
145.39,2020-12-04,146.13,139.7,139.72,2359600
146.07,2020-12-07,146.66,142.8,144.31,1350400
145.42,2020-12-08,147.4,144.03,146.56,1226100
143.52,2020-12-09,148.645,142.66,146.63,2018000
147.32,2020-12-10,148.09,141.64,143.15,2535500
148.11,2020-12-11,148.5,144.76,146.81,1933600
144.81,2020-12-14,150.55,144.65,149.6,2522100
150.84,2020-12-15,151.18,145.65,146.5,2478400
153.9,2020-12-16,154.9,151.61,152.75,2403100
148.75,2020-12-17,159.53,148.39,155.0,4123900
155.07,2020-12-18,157.22,150.0,150.93,10984000
154.15,2020-12-21,155.53,148.68,152.26,2188700
156.12,2020-12-22,158.4,153.29,153.91,1754100
153.39,2020-12-23,157.57,153.16,157.57,1090300
152.08,2020-12-24,154.15,151.34,153.04,1111700
150.08,2020-12-28,154.745,146.81,153.64,2549100
150.22,2020-12-29,151.2,148.24,151.0,1425500
152.0,2020-12-30,152.66,150.3,152.2,816600
151.19,2020-12-31,152.69,149.205,152.25,1555300
149.92,2021-01-04,153.99,147.31,153.31,1758900
150.29,2021-01-05,151.84,148.43,148.54,860300
148.81,2021-01-06,150.54,147.16,147.7,1807000
152.86,2021-01-07,153.07,149.46,149.49,1785700
151.79,2021-01-08,154.75,148.754,154.2,1226600
151.9,2021-01-11,153.59,148.27,151.62,1619800
153.57,2021-01-12,154.17,150.73,152.0,1310600
155.02,2021-01-13,159.85,153.58,154.0,2148900
149.05,2021-01-14,158.22,148.03,156.79,1907100
150.85,2021-01-15,152.16,145.09,149.07,2543800
146.14,2021-01-19,152.15,144.01,151.5,3839500
147.63,2021-01-20,148.6,146.19,147.26,2675600
144.49,2021-01-21,149.501,143.36,148.59,1965000
141.0,2021-01-22,144.18,139.55,143.0,3146600
139.42,2021-01-25,142.38,133.36,141.59,5523200
138.42,2021-01-26,142.4,137.552,139.42,2080800
131.55,2021-01-27,137.66,130.0,135.74,3581500
141.52,2021-01-28,146.787,132.2,132.39,3649900
139.86,2021-01-29,143.2,137.16,141.18,3206000
145.95,2021-02-01,146.55,141.305,142.41,2040400
150.09,2021-02-02,150.35,146.4,149.2,2767000
138.12,2021-02-03,147.92,137.58,146.0,8964200
150.63,2021-02-04,150.86,141.2,141.77,4898100
159.82,2021-02-05,159.99,149.7,151.46,3532600
159.0,2021-02-08,162.965,156.77,160.17,4194200
158.87,2021-02-09,160.77,154.03,159.0,4695100
171.07,2021-02-10,173.54,162.525,165.6,4873600
172.13,2021-02-11,174.68,167.2,171.02,4892000
169.53,2021-02-12,172.345,166.85,172.16,2186500
164.86,2021-02-16,171.1,164.46,170.65,1958300
160.8,2021-02-17,163.89,159.54,162.15,2289800
162.24,2021-02-18,163.4,156.28,159.04,2404500
160.95,2021-02-19,164.022,160.0,164.022,2652200
156.71,2021-02-22,160.48,155.88,159.83,3261500
161.33,2021-02-23,161.966,151.15,155.43,2675700
160.79,2021-02-24,161.9,157.28,160.01,2360700
151.72,2021-02-25,161.85,151.09,159.75,2820000
152.85,2021-02-26,154.35,146.485,152.92,3297200
156.52,2021-03-01,157.87,153.88,157.87,1867200
152.51,2021-03-02,157.363,152.13,156.99,1944100
147.34,2021-03-03,152.72,146.122,151.48,1838100
143.66,2021-03-04,149.22,140.01,146.23,3265300
146.29,2021-03-05,149.01,142.18,149.01,5159300
145.56,2021-03-08,148.97,143.495,146.3,3837400
152.11,2021-03-09,154.31,148.85,148.85,2276100
146.85,2021-03-10,154.29,144.875,152.87,1954500
155.35,2021-03-11,157.9,150.52,150.97,2235100
153.38,2021-03-12,155.0,149.34,154.23,1643200
153.93,2021-03-15,156.55,151.81,152.5,1570700
154.19,2021-03-16,157.46,152.14,155.72,1486300
154.41,2021-03-17,156.51,150.25,151.43,1424800
147.14,2021-03-18,152.3,146.33,151.41,2000900
152.7,2021-03-19,153.84,146.36,147.88,3207400
154.89,2021-03-22,156.06,151.84,153.37,1505400
145.89,2021-03-23,156.29,145.855,154.54,2424300
139.8,2021-03-24,147.05,139.21,146.79,2316000
134.6,2021-03-25,139.08,133.27,138.14,3247100
138.27,2021-03-26,138.36,132.32,134.51,2608600
133.15,2021-03-29,138.7,131.8,137.6,2671300
131.48,2021-03-30,132.58,129.68,132.44,2386500
137.38,2021-03-31,139.75,133.32,133.32,2868200
142.66,2021-04-01,144.8,139.5,139.54,2330300
144.15,2021-04-05,144.76,140.63,142.23,1403900
143.14,2021-04-06,144.97,141.9,144.39,1319500
141.86,2021-04-07,142.9,140.07,142.89,1249600
145.55,2021-04-08,145.66,141.07,143.95,2715100
143.87,2021-04-09,144.76,141.485,144.33,1425300
144.53,2021-04-12,148.94,143.54,145.56,1448600
146.15,2021-04-13,146.94,142.36,142.36,1371400
144.18,2021-04-14,146.795,143.9,146.0,900700
146.47,2021-04-15,147.71,145.82,146.645,1426800
145.3,2021-04-16,146.54,144.16,145.92,1157500
146.0,2021-04-19,146.75,143.07,145.29,964300
139.72,2021-04-20,145.76,139.51,145.33,1493300
141.05,2021-04-21,141.415,138.3,138.3,1768100
143.48,2021-04-22,146.94,140.51,141.29,1386300
149.01,2021-04-23,149.37,142.81,142.81,1982600
152.5,2021-04-26,152.55,148.965,150.885,1510400
157.8,2021-04-27,158.52,153.25,153.47,3012100
159.13,2021-04-28,159.869,155.44,155.44,1743500
156.55,2021-04-29,160.25,154.74,160.14,1933200
155.63,2021-04-30,157.68,154.26,154.26,2126500
148.44,2021-05-03,156.59,148.23,156.26,3298900
138.93,2021-05-04,148.25,136.15,146.68,4812800
143.67,2021-05-05,152.84,140.88,147.0,5260300
139.96,2021-05-06,145.49,139.1,142.16,2575600
146.19,2021-05-07,148.55,142.17,142.74,1978000
141.81,2021-05-10,145.045,140.99,144.15,1641600
146.4,2021-05-11,147.09,137.0,137.5,2085900
141.62,2021-05-12,144.0,140.25,142.88,1680200
138.4,2021-05-13,144.25,135.51,142.945,2305600
142.19,2021-05-14,142.84,139.01,140.13,1397000
139.99,2021-05-17,141.15,138.28,140.35,1405000
136.86,2021-05-18,142.77,136.5,141.7,2452300
138.84,2021-05-19,139.12,132.33,132.69,2550300
142.78,2021-05-20,143.23,137.02,137.24,1556200
143.32,2021-05-21,145.49,142.75,144.08,1252400
147.3,2021-05-24,148.43,143.33,144.18,1745700
144.26,2021-05-25,149.38,142.85,148.49,2175900
144.64,2021-05-26,146.4,143.17,144.98,1549200
143.01,2021-05-27,145.495,142.42,143.87,2229000
143.38,2021-05-28,145.38,142.18,142.63,1624800
143.22,2021-06-01,145.7,141.53,143.87,1883500
139.43,2021-06-02,143.82,137.798,143.22,3088700
136.81,2021-06-03,140.61,136.03,137.83,2466500
137.93,2021-06-04,138.73,136.595,136.595,2160300
143.48,2021-06-07,143.99,137.93,138.02,2110900
142.85,2021-06-08,145.197,141.52,144.1,1935100
141.77,2021-06-09,144.88,141.67,144.88,1140100
141.88,2021-06-10,142.67,140.002,141.0,1384300
141.57,2021-06-11,141.932,139.71,141.69,1473100
143.86,2021-06-14,145.325,141.555,141.85,1473900
142.34,2021-06-15,144.31,142.1,143.59,1102500
143.02,2021-06-16,145.26,141.76,142.6,1715000
150.25,2021-06-17,151.05,141.14,141.89,3008800
153.92,2021-06-18,155.75,149.56,151.12,3776200
155.72,2021-06-21,157.14,151.3,154.52,2235000
159.06,2021-06-22,159.99,154.81,155.96,2443800
