close,date,high,low,open,volume
681.78,2019-08-12,700.15,676.96,700.15,211300
689.97,2019-08-13,702.78,676.02,678.43,208000
660.59,2019-08-14,688.86,659.88,679.63,247700
660.39,2019-08-15,675.46,658.36,667.63,260500
665.19,2019-08-16,671.51,664.18,665.95,213800
675.51,2019-08-19,683.77,674.75,675.16,226400
659.14,2019-08-20,674.94,658.16,672.27,177900
669.58,2019-08-21,673.46,661.12,664.31,146000
663.68,2019-08-22,674.68,658.76,672.62,126000
642.84,2019-08-23,668.06,640.02,666.27,224200
647.45,2019-08-26,649.14,638.99,648.0,189600
647.23,2019-08-27,652.24,644.1,650.91,190300
646.39,2019-08-28,651.51,638.92,645.63,200600
654.17,2019-08-29,661.05,651.88,653.96,246000
656.79,2019-08-30,659.56,649.36,656.12,212400
653.0,2019-09-03,660.77,646.43,654.98,192600
660.17,2019-09-04,666.82,655.24,655.71,172400
685.78,2019-09-05,687.52,665.47,669.14,244000
684.98,2019-09-06,689.73,680.03,687.11,174900
679.56,2019-09-09,688.08,672.59,688.08,193100
699.64,2019-09-10,699.64,669.92,677.89,279300
718.18,2019-09-11,718.18,700.0,700.0,226900
711.74,2019-09-12,726.67,710.01,724.47,204000
713.0,2019-09-13,713.4,701.63,712.31,132200
711.65,2019-09-16,715.67,707.53,708.84,140500
710.54,2019-09-17,713.29,703.57,710.84,128300
709.05,2019-09-18,711.93,698.97,710.44,165200
710.1,2019-09-19,714.5,706.99,710.73,116600
709.18,2019-09-20,716.27,708.73,713.36,155000
706.21,2019-09-23,712.66,698.5,705.44,149000
690.99,2019-09-24,714.2,688.73,709.96,181700
699.34,2019-09-25,701.08,686.33,689.45,145200
700.39,2019-09-26,705.93,691.14,697.77,148300
699.28,2019-09-27,706.74,690.0,704.33,110900
704.4,2019-09-30,709.53,701.11,701.62,176200
688.14,2019-10-01,706.83,687.24,705.44,151400
663.3,2019-10-02,684.58,662.74,682.92,223300
670.77,2019-10-03,677.11,655.98,665.3,257600
686.27,2019-10-04,687.05,671.86,671.86,175200
681.85,2019-10-07,689.74,678.91,681.66,144400
658.61,2019-10-08,665.84,641.7,660.4,290100
673.28,2019-10-09,675.94,658.0,666.73,168400
672.37,2019-10-10,678.24,665.95,671.88,223100
688.1,2019-10-11,697.48,681.11,681.11,183800
680.74,2019-10-14,690.62,680.25,689.66,120800
680.0,2019-10-15,687.32,677.43,683.94,210800
668.5,2019-10-16,682.59,665.24,680.77,346200
670.82,2019-10-17,676.69,669.37,672.81,282000
680.5,2019-10-18,684.25,665.38,666.48,160300
685.22,2019-10-21,690.0,678.37,688.14,192000
684.21,2019-10-22,694.3,683.91,686.33,187000
688.87,2019-10-23,703.47,684.55,687.42,187400
686.74,2019-10-24,690.12,678.39,686.91,112300
698.19,2019-10-25,703.68,679.14,686.55,130500
701.35,2019-10-28,707.99,699.51,701.56,108100
703.76,2019-10-29,708.69,691.31,695.22,125600
708.47,2019-10-30,708.78,699.17,702.25,116800
704.94,2019-10-31,708.47,699.08,704.59,134200
714.18,2019-11-01,717.11,707.74,710.0,127300
723.67,2019-11-04,730.19,719.31,721.66,222800
714.4,2019-11-05,729.86,704.51,724.19,214700
709.78,2019-11-06,714.02,705.23,714.02,154900
720.81,2019-11-07,726.41,711.54,717.75,228000
708.86,2019-11-08,727.21,680.0,680.0,413500
700.4,2019-11-11,706.86,698.53,702.94,202800
711.45,2019-11-12,712.99,698.77,704.83,127400
722.74,2019-11-13,726.93,708.64,708.64,129700
713.65,2019-11-14,721.75,711.58,716.4,129100
724.82,2019-11-15,726.2,714.37,714.37,138100
718.21,2019-11-18,726.12,712.01,723.1,242800
732.96,2019-11-19,736.99,716.25,722.5,189200
717.7,2019-11-20,734.1,714.27,731.26,208500
705.07,2019-11-21,719.9,703.69,719.9,268100
711.85,2019-11-22,713.74,704.81,709.45,206200
716.97,2019-11-25,719.26,714.43,717.86,200300
723.9,2019-11-26,725.05,715.9,715.9,536900
725.4,2019-11-27,729.25,718.38,728.36,107700
719.41,2019-11-29,732.1,718.79,723.75,81000
723.96,2019-12-02,727.99,718.92,721.15,170700
712.04,2019-12-03,721.47,709.1,713.93,211100
731.66,2019-12-04,735.75,713.56,713.56,324000
736.85,2019-12-05,747.5,733.48,734.42,291400
761.0,2019-12-06,762.5,745.1,745.32,239600
756.98,2019-12-09,763.31,755.8,760.89,204500
754.22,2019-12-10,763.98,752.82,756.98,196100
762.35,2019-12-11,764.24,750.0,750.0,164300
775.42,2019-12-12,778.15,762.42,762.42,193800
769.7,2019-12-13,781.52,761.84,774.45,193200
781.27,2019-12-16,786.01,775.74,778.41,153900
777.17,2019-12-17,786.8,775.77,786.8,166000
775.71,2019-12-18,779.21,772.99,775.36,156100
786.59,2019-12-19,787.31,776.41,778.72,172800
793.31,2019-12-20,795.36,787.19,793.99,197800
789.43,2019-12-23,798.12,784.93,798.12,133000
790.47,2019-12-24,792.2,783.85,788.0,69900
791.98,2019-12-26,792.64,787.01,791.27,64600
792.83,2019-12-27,795.28,789.46,792.02,74000
791.91,2019-12-30,795.81,785.26,795.81,77200
