close,date,high,low,open,volume
129.76,2019-08-12,132.037,129.446,130.922,105800
132.303,2019-08-13,134.256,129.493,129.493,125700
127.131,2019-08-14,133.494,126.692,129.865,346800
126.016,2019-08-15,128.36,125.006,127.54,173500
130.36,2019-08-16,130.636,126.521,127.531,143600
130.703,2019-08-19,134.218,129.95,132.132,162800
129.064,2019-08-20,133.361,128.75,130.036,305700
126.759,2019-08-21,128.912,120.51,120.51,513900
128.436,2019-08-22,128.76,126.454,127.512,153400
124.644,2019-08-23,127.836,124.254,127.836,237100
125.533,2019-08-26,126.918,124.205,126.918,132300
127.014,2019-08-27,127.73,125.609,126.077,120400
127.262,2019-08-28,128.38,126.249,126.479,118700
129.536,2019-08-29,129.718,128.342,128.695,130100
129.899,2019-08-30,130.663,128.867,130.339,182700
125.915,2019-09-03,129.765,125.055,129.163,164300
127.52,2019-09-04,128.189,126.393,127.176,164600
132.555,2019-09-05,132.851,127.253,129.163,315100
132.259,2019-09-06,133.893,131.896,133.033,168100
135.976,2019-09-09,136.014,132.527,132.746,181500
138.89,2019-09-10,139.023,134.953,135.67,172900
140.877,2019-09-11,141.001,137.657,139.3,178400
140.256,2019-09-12,141.326,138.956,141.249,142900
139.74,2019-09-13,141.737,139.052,139.969,183700
138.813,2019-09-16,139.912,137.991,138.832,163300
139.396,2019-09-17,139.826,136.826,138.622,149000
138.527,2019-09-18,139.329,137.399,138.87,124600
138.851,2019-09-19,140.447,137.991,138.804,198000
137.294,2019-09-20,139.797,137.122,139.071,506800
138.813,2019-09-23,139.444,136.692,136.692,159900
136.635,2019-09-24,140.265,136.157,138.823,177700
138.746,2019-09-25,139.224,136.635,136.73,141600
138.183,2019-09-26,139.023,137.342,137.944,106300
137.839,2019-09-27,138.813,136.979,138.813,122500
139.74,2019-09-30,139.96,137.791,138.125,157400
135.603,2019-10-01,141.23,135.517,139.969,106100
131.8,2019-10-02,134.934,130.377,134.466,197300
132.163,2019-10-03,132.708,129.096,131.8,130400
134.571,2019-10-04,134.953,132.45,132.517,123400
134.753,2019-10-07,135.775,133.568,133.568,103200
130.864,2019-10-08,133.768,130.74,133.768,181300
131.619,2019-10-09,132.24,130.558,132.24,132800
133.062,2019-10-10,134.179,131.638,131.638,84800
136.52,2019-10-11,138.708,134.953,134.953,136200
136.883,2019-10-14,137.38,133.998,136.358,86600
138.421,2019-10-15,138.995,136.052,137.055,94200
138.154,2019-10-16,138.784,136.205,137.867,134300
138.813,2019-10-17,140.447,138.269,139.176,189600
140.227,2019-10-18,140.447,138.622,138.832,142200
143.399,2019-10-21,143.562,140.332,140.447,166500
146.227,2019-10-22,146.59,142.023,142.96,281300
146.925,2019-10-23,147.011,144.727,146.017,267500
147.909,2019-10-24,148.807,145.53,147.135,279400
147.364,2019-10-25,149.695,147.307,147.756,138100
149.065,2019-10-28,149.409,147.632,148.377,160200
150.928,2019-10-29,151.415,147.593,148.673,124300
150.794,2019-10-30,151.272,149.523,150.937,177200
149.82,2019-10-31,150.527,148.587,150.24,341100
152.887,2019-11-01,153.154,150.527,150.861,250300
155.266,2019-11-04,155.801,153.546,153.976,301200
157.043,2019-11-05,157.09,155.046,155.772,181900
155.313,2019-11-06,156.402,154.931,155.982,170700
156.995,2019-11-07,157.74,155.953,156.66,170600
155.915,2019-11-08,157.023,155.151,156.775,220400
157.262,2019-11-11,157.415,154.558,154.864,118300
157.119,2019-11-12,157.922,155.944,157.492,141100
155.695,2019-11-13,156.785,154.406,156.173,175900
155.39,2019-11-14,156.145,154.635,155.18,209700
155.992,2019-11-15,157.014,155.466,156.192,140200
157.148,2019-11-18,157.606,154.654,155.829,149400
157.568,2019-11-19,158.218,154.711,156.641,205500
157.129,2019-11-20,158.38,155.81,157.09,311200
156.536,2019-11-21,157.587,155.361,156.909,192600
156.976,2019-11-22,157.358,155.648,157.157,124900
157.845,2019-11-25,159.756,156.823,156.823,205900
158.772,2019-11-26,159.125,157.31,157.539,204000
159.536,2019-11-27,159.555,157.75,158.18,167700
158.437,2019-11-29,160.004,158.094,159.297,90300
157.969,2019-12-02,159.861,157.052,159.259,148400
156.727,2019-12-03,157.148,154.1,156.23,168200
157.262,2019-12-04,159.546,155.934,156.66,207700
158.571,2019-12-05,159.259,157.75,158.208,164200
160.186,2019-12-06,161.447,159.498,160.033,252900
158.839,2019-12-09,160.74,158.762,159.909,126700
158.246,2019-12-10,160.148,157.033,158.877,174500
159.555,2019-12-11,160.014,157.549,158.418,341400
155.734,2019-12-12,158.638,153.804,157.358,719700
154.32,2019-12-13,157.769,152.485,155.065,522600
157.463,2019-12-16,157.998,153.383,153.383,482800
159.402,2019-12-17,160.033,157.224,157.559,330500
156.546,2019-12-18,158.81,155.791,158.457,311900
156.718,2019-12-19,157.235,155.339,155.904,394400
157.427,2019-12-20,158.279,156.0,157.532,1190000
156.948,2019-12-23,157.982,156.345,157.752,252200
156.364,2019-12-24,157.791,156.287,157.408,87400
155.962,2019-12-26,156.891,155.416,155.962,207500
155.904,2019-12-27,158.164,155.31,156.22,289500
156.44,2019-12-30,157.819,155.377,155.808,230000
155.942,2019-12-31,157.819,155.751,156.622,227100
158.231,2020-01-02,158.231,155.358,156.306,251900
157.111,2020-01-03,157.417,155.636,155.933,163200
156.67,2020-01-06,156.958,155.559,156.881,160900
156.105,2020-01-07,157.245,155.358,155.971,201200
155.31,2020-01-08,156.479,154.832,156.096,197500
157.657,2020-01-09,157.695,155.301,155.847,180500
156.68,2020-01-10,157.867,156.507,157.752,314800
158.365,2020-01-13,158.384,156.326,156.574,128200
158.097,2020-01-14,158.815,156.814,158.365,331900
158.959,2020-01-15,159.265,157.331,158.423,178300
161.2,2020-01-16,161.478,159.821,159.821,193000
162.32,2020-01-17,162.943,161.363,161.363,197300
161.564,2020-01-21,163.115,160.855,161.803,290100
163.125,2020-01-22,164.389,162.33,162.33,563000
164.992,2020-01-23,165.27,161.506,162.799,338400
163.738,2020-01-24,166.055,163.144,165.002,266900
165.682,2020-01-27,166.591,161.698,165.739,297300
167.903,2020-01-28,169.263,165.691,165.691,297000
166.611,2020-01-29,169.359,166.563,168.037,212500
165.251,2020-01-30,166.716,163.278,165.844,309800
161.707,2020-01-31,164.6,161.066,164.59,416300
164.398,2020-02-03,165.222,162.407,162.656,172200
170.489,2020-02-04,170.93,167.042,167.042,203200
171.188,2020-02-05,172.644,170.661,172.644,204800
170.087,2020-02-06,171.217,168.507,171.217,192400
167.779,2020-02-07,170.039,166.026,167.798,199800
168.181,2020-02-10,168.765,166.974,166.974,118000
169.474,2020-02-11,170.527,167.836,168.353,131900
170.949,2020-02-12,171.514,169.177,169.206,132100
170.096,2020-02-13,171.14,169.685,169.953,101400
169.972,2020-02-14,171.064,168.947,170.077,143300
165.27,2020-02-18,169.187,164.753,169.12,309400
164.226,2020-02-19,168.057,163.517,165.749,424400
164.81,2020-02-20,168.421,162.617,162.617,377000
162.991,2020-02-21,164.58,162.713,163.948,291900
157.961,2020-02-24,158.844,155.274,157.347,271800
150.84,2020-02-25,159.564,150.446,158.221,317800
149.16,2020-02-26,153.594,149.035,152.289,244100
143.449,2020-02-27,148.536,143.373,146.29,259000
139.457,2020-02-28,141.396,136.731,138.89,486300
141.962,2020-03-02,142.375,137.758,140.57,513500
138.977,2020-03-03,145.11,137.729,142.509,367800
142.144,2020-03-04,143.449,139.447,141.683,385300
137.316,2020-03-05,139.773,135.042,138.363,312100
137.393,2020-03-06,138.142,132.182,132.69,322300
126.586,2020-03-09,130.348,124.772,127.843,338800
135.061,2020-03-10,135.109,127.872,131.174,298300
128.419,2020-03-11,132.604,127.536,130.915,353400
111.949,2020-03-12,122.737,111.153,119.56,379100
120.674,2020-03-13,120.77,111.066,118.341,374300
98.5795,2020-03-16,107.582,98.4835,103.177,406400
105.644,2020-03-17,106.699,96.7655,100.461,447100
99.9808,2020-03-18,105.058,94.6348,97.9269,339200
109.972,2020-03-19,112.612,93.5406,98.4931,272700
102.927,2020-03-20,111.517,101.296,108.101,580100
95.4602,2020-03-23,102.755,92.5809,101.468,440200
114.262,2020-03-24,114.761,100.173,101.593,438900
114.877,2020-03-25,119.964,112.448,116.604,519700
127.632,2020-03-26,128.89,115.117,117.046,331400
126.586,2020-03-27,129.158,121.547,124.187,438300
133.017,2020-03-30,133.919,126.384,126.999,390700
129.638,2020-03-31,134.13,128.678,131.087,446400
119.983,2020-04-01,125.77,117.123,124.043,367000
122.757,2020-04-02,125.127,116.048,120.242,267400
122.305,2020-04-03,125.089,120.357,123.112,202600
134.072,2020-04-06,135.205,128.381,129.571,329200
