close,date,high,low,open,volume
77.423,2019-08-12,77.7074,76.9773,77.1954,3762500
79.0065,2019-08-13,79.7935,76.6644,76.9678,6896800
76.8351,2019-08-14,77.4609,76.342,77.0342,7266100
75.3938,2019-08-15,77.0911,75.3274,76.7402,6713600
76.1239,2019-08-16,76.3894,75.1472,75.9437,5649000
76.9299,2019-08-19,78.0772,76.6454,77.7548,7027900
76.3609,2019-08-20,77.0247,75.3368,76.5411,5903100
78.4565,2019-08-21,78.5513,77.404,77.6979,6454200
78.997,2019-08-22,79.3858,78.229,78.7031,5571600
76.2756,2019-08-23,78.4755,75.8868,77.7738,8497800
77.9919,2019-08-26,78.0203,76.5601,77.2238,4336000
77.7833,2019-08-27,78.8738,77.7548,78.3522,3842500
79.1582,2019-08-28,79.2625,77.4893,77.66,4123700
80.9598,2019-08-29,81.3297,79.8125,79.8599,5101900
80.3324,2019-08-30,81.7489,80.2469,81.4732,5235400
80.494,2019-09-03,80.6461,79.4958,79.857,6360800
82.0912,2019-09-04,82.2338,81.2831,81.3591,4151200
84.0591,2019-09-05,84.2492,82.9753,82.9753,6328400
84.3158,2019-09-06,84.5914,83.6788,84.0401,3625300
84.2967,2019-09-09,84.9432,84.0591,84.5534,4282400
82.5475,2019-09-10,84.2587,82.0341,83.907,7072400
82.4714,2019-09-11,82.9468,81.6348,82.6711,4623300
83.3461,2019-09-12,83.7263,81.9676,82.8042,4057500
83.0133,2019-09-13,84.4108,82.9943,83.8974,5894700
82.9658,2019-09-16,83.4886,82.3954,82.7947,4171700
83.27,2019-09-17,83.3175,82.2052,82.4904,3248400
83.7358,2019-09-18,84.0401,82.9087,83.327,4722200
83.3746,2019-09-19,84.3443,83.194,84.0401,4231200
82.4049,2019-09-20,84.1256,82.3954,83.6598,6991100
83.3651,2019-09-23,83.6788,82.519,82.6901,4790000
82.8802,2019-09-24,84.3157,82.4809,84.0876,10202900
86.3312,2019-09-25,88.2135,85.7038,87.2534,25330700
87.6241,2019-09-26,87.8903,85.7988,87.1012,10408300
87.7572,2019-09-27,88.2801,87.0822,87.3199,6420500
89.2878,2019-09-30,89.4399,87.9378,87.9664,7401200
87.7287,2019-10-01,90.0768,87.5195,89.4874,8464900
86.9777,2019-10-02,87.3104,86.103,86.9586,6933900
87.6717,2019-10-03,87.7667,85.8939,86.8065,5762300
88.4797,2019-10-04,88.5748,87.396,87.6716,4551400
88.5748,2019-10-07,89.2878,87.8428,87.9378,4975400
87.2248,2019-10-08,88.1375,85.9509,85.9889,6916800
87.9568,2019-10-09,88.4607,87.2914,87.8523,5115900
88.4132,2019-10-10,88.8885,88.147,88.8885,5794100
89.2498,2019-10-11,89.9057,88.9456,89.3639,6220100
90.2005,2019-10-14,90.5522,89.4114,89.554,4636000
90.1149,2019-10-15,90.4857,89.478,90.3145,4292500
90.2005,2019-10-16,90.4476,89.4304,89.4494,4883300
90.8469,2019-10-17,91.1606,90.286,90.8564,3427400
91.3603,2019-10-18,91.7025,90.1244,90.1339,6209200
91.4743,2019-10-21,92.0923,90.7138,91.8451,5185800
90.8849,2019-10-22,92.0543,90.8089,91.3222,5470100
87.7667,2019-10-23,90.8279,87.5766,90.3431,11933600
86.9872,2019-10-24,88.2896,86.5023,88.109,12085800
86.4357,2019-10-25,87.3009,86.2741,86.9301,8147200
86.3692,2019-10-28,86.797,85.7227,86.5688,10304700
84.8766,2019-10-29,86.4358,84.734,86.3692,9044700
85.7418,2019-10-30,85.8178,84.9432,85.0383,8127500
85.1333,2019-10-31,85.9509,84.5534,85.5611,6752000
84.7816,2019-11-01,86.065,84.6105,85.7322,5263600
85.428,2019-11-04,86.0935,84.9147,85.6847,8161200
85.4471,2019-11-05,85.8844,85.1238,85.7038,5589700
85.0668,2019-11-06,86.2456,84.3633,86.1696,7033800
85.9414,2019-11-07,86.1315,85.3425,86.0079,7110000
85.3805,2019-11-08,85.8939,84.8862,85.8273,4555400
85.6087,2019-11-11,85.6562,84.9622,84.9622,3247300
85.0858,2019-11-12,87.491,85.0763,85.8558,3979600
86.7875,2019-11-13,87.0347,85.1523,85.3045,5923600
86.7685,2019-11-14,87.4245,86.2456,86.9777,6035300
88.4512,2019-11-15,88.9455,87.4245,87.5956,6785500
89.535,2019-11-18,89.611,88.3276,88.8885,6165600
88.9931,2019-11-19,90.4286,88.4702,89.9437,5368400
88.4607,2019-11-20,89.7441,88.1945,89.4684,6235400
87.6146,2019-11-21,88.6984,87.529,88.0519,5493100
88.7364,2019-11-22,88.7459,87.396,87.6621,4264400
88.3181,2019-11-25,89.3354,88.166,89.1547,5419700
88.7269,2019-11-26,89.0121,88.4322,88.7744,5907400
89.4969,2019-11-27,89.7251,88.8885,88.8885,4017400
89.1109,2019-11-29,90.1785,89.0156,89.9497,2541800
89.1776,2019-12-02,89.8639,88.6248,89.6828,3892000
88.1292,2019-12-03,88.2149,87.033,88.1482,5570700
89.3301,2019-12-04,89.3969,88.3865,88.4628,4456400
91.3032,2019-12-05,91.4557,90.2452,91.389,6946000
92.4565,2019-12-06,92.752,91.8655,92.0371,6368500
92.1038,2019-12-09,93.057,91.6558,92.4756,6517800
92.466,2019-12-10,93.0189,92.1038,92.2278,4234300
92.6281,2019-12-11,92.7615,92.1229,92.3612,4319700
93.1428,2019-12-12,93.5813,92.3612,92.7615,4762800
93.1904,2019-12-13,93.6861,92.3707,92.8664,5247600
94.1817,2019-12-16,94.6869,93.4669,93.5431,8211300
94.9824,2019-12-17,95.478,94.4105,94.725,7050700
95.8593,2019-12-18,96.069,94.9157,95.5066,7332000
96.4121,2019-12-19,96.5265,94.9633,95.7926,12214500
95.2779,2019-12-20,96.6504,94.2199,96.2691,17641600
95.3541,2019-12-23,95.9737,94.8871,95.5352,6350500
95.4495,2019-12-24,95.9451,95.0873,95.154,3328100
95.9927,2019-12-26,96.0308,95.4208,95.6401,3709900
96.8125,2019-12-27,97.0222,96.2596,96.2692,5307500
96.0785,2019-12-30,96.8506,95.7544,96.7839,3495200
96.5646,2019-12-31,96.6409,95.8021,95.8688,3213600
97.4129,2020-01-02,97.4225,96.2882,96.6123,5644100
97.1461,2020-01-03,97.2223,95.6115,95.8783,4541800
97.0603,2020-01-06,97.0698,96.1452,96.2215,4612400
97.0126,2020-01-07,97.9276,96.088,97.0412,6719900
96.7934,2020-01-08,97.3557,96.1262,96.5646,4942200
96.7267,2020-01-09,97.6131,96.6409,97.1651,5007500
96.1738,2020-01-10,97.1556,96.0404,97.1175,5135300
97.3748,2020-01-13,97.5464,96.0976,96.2691,6722400
98.0992,2020-01-14,99.0238,97.5559,97.6512,5088500
97.9753,2020-01-15,98.8427,97.6798,98.4138,4209200
98.5281,2020-01-16,98.7188,98.0325,98.0611,6571700
99.6338,2020-01-17,99.6529,98.4995,98.5853,6271200
99.6815,2020-01-21,99.7863,98.9475,99.3669,4854700
99.5957,2020-01-22,100.673,99.529,100.082,5031400
98.1945,2020-01-23,99.4813,97.8133,99.1572,7102900
97.2509,2020-01-24,99.0238,96.8983,98.7378,3839300
95.5448,2020-01-27,95.9927,93.4192,93.6098,9841400
95.7068,2020-01-28,96.3168,94.8585,95.6401,5673200
95.1635,2020-01-29,96.5551,94.5249,96.3359,4503700
93.5908,2020-01-30,95.0777,92.8092,94.3819,7065100
91.7893,2020-01-31,93.8386,91.4271,93.5145,8780300
94.6202,2020-02-03,96.1929,93.953,94.3628,9727000
96.6314,2020-02-04,97.9658,96.517,97.1365,6559600
95.8307,2020-02-05,97.1937,94.868,96.9935,6108300
95.5733,2020-02-06,96.7743,95.4685,96.1738,5641800
94.7822,2020-02-07,95.6973,94.3342,95.1349,4121800
95.3351,2020-02-10,95.8021,94.3628,94.5725,4213900
95.3351,2020-02-11,95.6496,94.7822,95.3827,4871800
98.1755,2020-02-12,98.2517,95.7354,96.0213,8075600
98.5281,2020-02-13,98.8808,96.9173,97.7084,5386800
98.6902,2020-02-14,99.0238,97.6512,98.6806,4305300
97.2223,2020-02-18,98.5377,96.8506,98.1755,4916200
97.6608,2020-02-19,98.5472,97.6322,97.8514,6200500
97.7275,2020-02-20,97.8228,95.8402,97.6608,6427600
95.5543,2020-02-21,97.2986,94.9633,97.2223,5750900
91.4176,2020-02-24,92.5232,90.7885,91.0649,8364200
88.5486,2020-02-25,92.2278,88.2817,91.837,9602100
87.6907,2020-02-26,90.2166,87.6812,88.7201,9308400
84.4023,2020-02-27,88.7011,84.3547,85.7844,12825700
85.4298,2020-02-28,85.5158,81.3867,82.2279,16552400
88.584,2020-03-02,89.0236,84.0248,85.6401,14102000
86.9113,2020-03-03,90.7823,86.5672,88.6413,14767600
89.6449,2020-03-04,89.6736,86.8253,88.0105,6904400
86.5768,2020-03-05,87.6282,85.965,87.2267,8851100
84.4549,2020-03-06,85.4393,82.0845,84.4549,12336400
80.3927,2020-03-09,82.9065,77.3437,78.2708,13272700
84.3975,2020-03-10,84.4931,79.2171,82.8587,12755900
80.2876,2020-03-11,80.8897,78.4429,80.2876,16172000
70.9207,2020-03-12,75.0211,69.7737,74.7726,21534800
72.2397,2020-03-13,74.7439,68.5885,74.7439,21859600
