close,date,high,low,open,volume
103.499,2019-08-12,105.917,103.287,105.595,1221700
103.995,2019-08-13,105.54,102.754,103.204,986800
101.356,2019-08-14,102.975,101.025,102.312,1249000
100.804,2019-08-15,101.945,100.188,101.457,890900
101.816,2019-08-16,102.478,100.363,100.363,855600
102.644,2019-08-19,103.646,102.404,102.975,737200
101.43,2019-08-20,102.257,100.952,102.257,1249400
101.798,2019-08-21,102.91,101.614,102.45,697700
101.246,2019-08-22,102.285,100.648,101.954,602200
97.9721,2019-08-23,101.089,97.4663,100.841,974300
98.5514,2019-08-26,99.3146,97.8525,98.7537,1168800
98.7721,2019-08-27,99.6641,98.3583,99.4618,1861700
100.262,2019-08-28,100.501,98.1744,98.4686,1090800
101.283,2019-08-29,102.147,101.218,101.512,586200
101.88,2019-08-30,102.542,101.586,102.211,762500
101.549,2019-09-03,101.715,100.188,100.952,848500
102.552,2019-09-04,102.901,101.908,102.46,958100
104.225,2019-09-05,104.998,103.425,103.83,1047100
106.469,2019-09-06,106.782,104.575,105.016,1058000
107.14,2019-09-09,107.214,105.623,106.855,1174600
107.839,2019-09-10,107.839,106.432,107.048,938800
108.216,2019-09-11,108.4,107.113,107.821,892900
108.704,2019-09-12,108.869,107.591,108.602,851900
109.779,2019-09-13,110.258,109.099,109.108,843900
106.083,2019-09-16,108.685,105.733,108.639,1246800
107.784,2019-09-17,107.784,105.402,106.184,1448400
109.825,2019-09-18,109.954,107.407,107.848,1078700
110.984,2019-09-19,111.232,109.586,109.89,1215800
109.669,2019-09-20,111.269,109.43,111.021,1486500
108.832,2019-09-23,109.614,108.501,108.887,933900
106.883,2019-09-24,109.182,106.69,108.979,1139900
107.278,2019-09-25,107.729,106.901,107.315,675100
107.278,2019-09-26,107.692,106.23,107.131,995900
108.713,2019-09-27,109.255,107.122,107.333,1136700
108.979,2019-09-30,109.568,108.078,109.099,840700
107.471,2019-10-01,110.506,107.168,109.494,1004700
105.209,2019-10-02,106.561,104.418,106.074,1167500
105.384,2019-10-03,105.393,103.011,104.924,674600
107.241,2019-10-04,107.508,105.522,105.522,997500
106.405,2019-10-07,107.554,106.405,106.8,996100
103.315,2019-10-08,105.706,103.278,105.669,1146000
105.365,2019-10-09,105.779,104.152,104.372,1481800
106.359,2019-10-10,106.561,105.09,105.154,734400
109.586,2019-10-11,110.23,107.683,108.051,1313300
107.784,2019-10-14,110.101,107.701,109.044,1168700
108.704,2019-10-15,109.062,107.49,108.363,1275300
109.393,2019-10-16,110.377,108.373,108.63,1338900
111.49,2019-10-17,111.692,109.366,109.494,1784000
114.239,2019-10-18,114.856,112.869,113.108,3015800
114.653,2019-10-21,115.508,114.258,114.948,1688300
115.196,2019-10-22,115.527,113.366,114.92,1505600
114.46,2019-10-23,115.941,114.249,115.058,1670400
113.642,2019-10-24,115.039,113.145,115.003,1144700
114.065,2019-10-25,114.331,112.676,113.255,1210000
113.761,2019-10-28,114.616,113.513,114.065,1169400
114.993,2019-10-29,115.269,113.366,113.761,1258200
115.849,2019-10-30,116.125,113.78,114.653,1264900
115.058,2019-10-31,115.849,114.598,115.416,1387600
115.352,2019-11-01,116.263,115.076,115.61,960400
117.789,2019-11-04,117.872,115.858,116.115,1540500
118.525,2019-11-05,118.699,117.522,117.679,1509100
119.334,2019-11-06,119.573,117.991,118.598,1276100
119.389,2019-11-07,119.932,118.856,119.463,1169900
119.02,2019-11-08,120.035,118.447,120.017,863300
119.278,2019-11-11,119.5,118.152,118.318,916600
120.248,2019-11-12,120.765,119.371,119.454,843600
120.312,2019-11-13,120.663,119.149,119.315,893800
119.786,2019-11-14,120.478,119.26,119.897,738400
119.555,2019-11-15,120.691,119.168,120.34,767300
119.02,2019-11-18,119.805,118.401,119.094,1048900
118.9,2019-11-19,119.426,117.866,119.426,1273400
116.786,2019-11-20,118.891,116.776,118.623,1343500
116.029,2019-11-21,116.832,115.687,116.776,1114000
115.779,2019-11-22,116.324,115.641,116.269,816100
117.977,2019-11-25,118.272,115.927,116.416,2404900
119.749,2019-11-26,119.758,118.115,118.217,2273400
119.269,2019-11-27,119.749,118.558,119.749,919400
118.946,2019-11-29,119.472,118.641,119.158,450100
118.632,2019-12-02,119.703,118.429,119.435,1145700
118.134,2019-12-03,118.383,116.389,116.712,1896000
119.186,2019-12-04,120.386,118.752,119.223,2105900
121.06,2019-12-05,121.272,119.712,119.786,1653900
122.362,2019-12-06,123.544,122.214,122.648,1126900
122.768,2019-12-09,123.193,121.919,121.974,1140900
122.297,2019-12-10,123.525,121.863,122.703,997200
122.149,2019-12-11,122.888,121.743,122.196,911800
123.488,2019-12-12,123.839,121.919,122.408,1082000
122.796,2019-12-13,124.042,122.768,123.303,968900
123.017,2019-12-16,124.042,122.703,123.368,1212200
122.879,2019-12-17,123.017,122.002,122.823,1095700
121.54,2019-12-18,123.063,120.543,123.063,1236700
122.251,2019-12-19,122.611,120.718,121.642,1007400
122.297,2019-12-20,123.368,122.269,123.119,1901900
122.796,2019-12-23,122.98,121.716,122.371,1194900
123.285,2019-12-24,123.377,122.62,122.75,377700
123.119,2019-12-26,123.331,122.491,123.313,570400
123.073,2019-12-27,123.691,122.768,123.691,632100
122.713,2019-12-30,123.267,122.602,122.962,479300
123.239,2019-12-31,123.257,122.408,122.805,626500
121.494,2020-01-02,123.857,121.263,123.682,1393100
119.731,2020-01-03,120.802,119.675,120.063,1598400
119.177,2020-01-06,119.998,118.854,118.992,1529400
118.244,2020-01-07,119.352,118.207,118.715,2217600
118.549,2020-01-08,119.463,118.014,118.549,1313000
118.78,2020-01-09,119.177,118.383,118.826,1644900
118.254,2020-01-10,119.528,118.134,118.964,1699800
119.297,2020-01-13,119.444,117.672,117.93,2112300
119.952,2020-01-14,120.986,119.278,119.278,2208400
120.7,2020-01-15,121.752,119.537,119.749,1402400
117.626,2020-01-16,119.186,115.752,116.647,3290400
118.623,2020-01-17,118.854,116.167,117.746,2781500
116.222,2020-01-21,118.281,116.019,118.004,1917000
116.472,2020-01-22,116.841,115.918,116.49,1401800
116.564,2020-01-23,117.1,115.078,115.798,2183600
116.149,2020-01-24,117.063,115.973,116.896,1191800
113.517,2020-01-27,114.533,113.194,113.942,1368800
114.505,2020-01-28,114.967,113.619,113.988,1097900
113.942,2020-01-29,115.429,113.905,115.013,1142600
113.656,2020-01-30,113.785,111.643,112.797,1246300
110.637,2020-01-31,113.241,110.185,112.871,2323100
112.022,2020-02-03,112.677,110.72,111.237,2339800
113.121,2020-02-04,114.459,112.188,113.407,2238600
115.272,2020-02-05,115.493,113.185,114.099,2648300
114.81,2020-02-06,115.807,114.118,115.678,1384100
113.194,2020-02-07,114.348,112.88,114.201,1314800
111.606,2020-02-10,112.677,111.117,112.677,1944000
112.585,2020-02-11,113.499,111.893,112.133,1437700
112.964,2020-02-12,113.296,112.179,113.231,897300
111.209,2020-02-13,112.539,111.08,112.539,1263000
110.923,2020-02-14,111.653,110.332,111.163,1576900
110.166,2020-02-18,111.191,109.779,110.545,1081200
110.342,2020-02-19,110.785,109.991,110.397,1153700
110.666,2020-02-20,111.102,109.693,109.98,1733600
110.249,2020-02-21,110.601,109.748,110.314,1100800
106.874,2020-02-24,108.534,106.151,108.209,1870500
101.645,2020-02-25,107.31,101.543,107.263,2506500
101.144,2020-02-26,103.499,101.042,102.442,2067000
96.0448,2020-02-27,101.181,96.017,99.7813,2287200
96.8422,2020-02-28,96.8792,92.9295,93.254,4461000
97.6395,2020-03-02,98.5667,96.4899,97.2779,3748800
96.7866,2020-03-03,99.1601,95.266,97.417,2642100
