close,date,high,low,open,volume
69.39,2019-08-12,70.17,68.855,68.96,1004300
71.7,2019-08-13,72.36,69.02,69.42,1127400
69.78,2019-08-14,70.67,69.16,69.97,1042500
70.11,2019-08-15,71.32,69.8,69.93,1089500
71.61,2019-08-16,72.15,70.23,70.59,1135700
72.02,2019-08-19,73.125,71.72,72.65,1359900
73.06,2019-08-20,73.67,71.81,72.41,995700
74.69,2019-08-21,75.18,73.83,73.83,1077300
73.49,2019-08-22,75.66,73.45,74.85,1356600
70.34,2019-08-23,72.92,70.12,72.85,1933300
70.8,2019-08-26,72.03,70.47,71.48,868000
70.21,2019-08-27,71.79,69.72,71.4,1030400
69.57,2019-08-28,70.0,68.7,69.88,1707200
71.51,2019-08-29,72.28,70.76,70.76,1367900
71.43,2019-08-30,71.95,70.2,71.91,1306100
70.28,2019-09-03,70.94,68.94,70.62,1043200
72.37,2019-09-04,72.39,71.15,71.4,688600
75.17,2019-09-05,75.4,73.57,73.59,1110600
75.45,2019-09-06,75.98,74.775,75.17,856200
76.0,2019-09-09,76.35,75.53,75.98,1122100
76.8,2019-09-10,76.89,75.18,75.83,1398600
76.27,2019-09-11,77.47,76.08,77.0,1429200
77.8,2019-09-12,77.82,75.89,77.06,1212400
77.51,2019-09-13,78.685,77.135,77.41,1006400
77.22,2019-09-16,77.74,75.85,76.69,842600
76.35,2019-09-17,77.62,76.2,77.48,1321300
76.7,2019-09-18,76.97,75.43,76.54,1207000
75.19,2019-09-19,76.79,75.11,76.5,870000
75.98,2019-09-20,76.66,75.4,75.79,2006900
77.36,2019-09-23,77.97,75.92,76.15,968600
76.72,2019-09-24,78.0,76.19,78.0,912200
76.93,2019-09-25,76.99,75.6,75.6,786900
75.1,2019-09-26,76.26,74.68,75.47,990000
73.23,2019-09-27,75.215,72.99,74.87,1039000
74.14,2019-09-30,74.37,73.11,73.81,735500
73.17,2019-10-01,75.545,73.07,74.32,825700
71.37,2019-10-02,73.0,70.86,72.68,784900
72.83,2019-10-03,72.99,70.7,71.39,1010000
74.88,2019-10-04,75.19,73.83,73.99,998300
73.96,2019-10-07,74.86,73.96,74.5,1239500
72.46,2019-10-08,73.71,71.96,73.38,1231200
73.29,2019-10-09,73.76,72.53,73.1,639100
76.8,2019-10-10,77.13,75.12,75.5,1870200
77.36,2019-10-11,78.4,77.1,77.5,1659600
77.34,2019-10-14,77.55,76.71,77.17,568700
79.84,2019-10-15,79.88,77.56,77.7,1307300
79.07,2019-10-16,79.98,78.869,79.59,986700
78.96,2019-10-17,80.7,78.81,80.08,1225500
77.59,2019-10-18,78.81,76.975,78.76,835500
78.75,2019-10-21,79.07,78.16,78.29,892300
78.33,2019-10-22,79.53,78.3,79.09,741900
78.68,2019-10-23,79.3,77.19,77.65,758800
79.41,2019-10-24,79.8,78.46,79.8,675600
79.02,2019-10-25,79.65,78.8,79.45,729500
80.32,2019-10-28,80.51,79.4,79.59,813400
79.85,2019-10-29,80.9,79.61,80.19,703500
79.85,2019-10-30,80.44,79.41,80.3,1293200
80.86,2019-10-31,81.3,78.79,79.97,2917200
97.22,2019-11-01,97.34,91.31,91.88,8885300
101.51,2019-11-04,101.929,97.06,98.32,4365900
101.3,2019-11-05,101.85,100.002,100.15,3134100
101.4,2019-11-06,102.31,100.22,100.76,3153300
101.31,2019-11-07,102.88,100.88,102.0,2482500
104.04,2019-11-08,104.22,101.75,102.0,2867000
102.29,2019-11-11,104.0,101.93,103.42,2181500
102.58,2019-11-12,102.72,101.83,102.5,1938600
103.89,2019-11-13,104.09,99.46,100.64,2141400
103.7,2019-11-14,104.19,102.89,103.56,1080200
103.75,2019-11-15,104.88,103.23,104.4,941500
103.25,2019-11-18,104.145,102.58,103.62,1241100
102.84,2019-11-19,103.888,102.34,103.63,1198800
