close,date,high,low,open,volume
71.1196,2019-08-12,72.3473,70.8474,72.1362,4135055
71.6362,2019-08-13,72.614,70.9418,71.0307,3813918
69.053,2019-08-14,70.6974,68.7586,70.6085,5337769
69.1508,2019-08-15,69.5308,68.4243,69.2961,6295618
69.8829,2019-08-16,70.2349,69.3073,69.8493,4023348
70.7714,2019-08-19,71.1459,70.4082,70.8217,2896906
70.7938,2019-08-20,71.1235,70.084,70.4026,3161474
71.157,2019-08-21,71.6544,70.8553,71.4756,2732286
71.5091,2019-08-22,71.755,70.5926,71.5314,2593248
68.972,2019-08-23,71.4197,68.6367,70.7938,5532580
70.1288,2019-08-26,70.2294,69.0949,69.8438,3325936
69.6146,2019-08-27,70.4138,69.2849,70.1008,3459571
70.8999,2019-08-28,70.9502,69.1899,69.4917,3252047
72.3753,2019-08-29,72.8,71.537,71.537,7271105
72.7832,2019-08-30,73.3197,72.7497,72.7832,3702529
72.0735,2019-09-03,72.1909,71.3303,71.9059,4028433
73.2359,2019-09-04,73.6159,72.8056,73.0347,3585102
74.3424,2019-09-05,74.7168,74.0462,74.3703,4231348
74.7112,2019-09-06,75.0242,74.4095,74.7783,3375513
74.946,2019-09-09,75.6669,74.8007,75.2477,3675834
74.8342,2019-09-10,75.2868,74.2306,74.9404,4552326
75.9742,2019-09-11,76.0022,74.3704,74.6051,4557093
76.8181,2019-09-12,77.1142,76.1139,76.2592,4805931
77.1534,2019-09-13,77.9022,76.8181,77.1198,4807520
77.1646,2019-09-16,77.6899,76.7398,77.6899,3355968
76.6784,2019-09-17,76.9745,76.3542,76.779,3369316
76.9298,2019-09-18,77.0025,75.9742,76.5163,2773600
76.8572,2019-09-19,77.131,76.4548,77.0863,3479433
75.7619,2019-09-20,77.3769,75.7563,76.8963,8439656
75.8177,2019-09-23,76.0748,74.9404,75.1136,4137597
75.7116,2019-09-24,76.1139,75.2533,76.0245,4506881
76.466,2019-09-25,76.6448,75.5215,75.9686,3357875
76.8572,2019-09-26,77.2819,76.2872,76.4269,4278541
76.2201,2019-09-27,77.254,76.1083,77.1366,3395375
76.2928,2019-09-30,76.6672,76.0972,76.6448,4079122
74.7671,2019-10-01,76.9466,74.443,76.5275,5539095
72.9118,2019-10-02,74.3256,72.5485,74.2306,5175532
73.3253,2019-10-03,73.3924,71.8835,73.0738,4609053
74.443,2019-10-04,74.4989,73.18,73.37,3009884
74.1524,2019-10-07,74.8621,73.8394,74.2083,2662052
73.0906,2019-10-08,73.9847,72.8391,73.3924,3970911
73.7444,2019-10-09,74.1245,73.275,73.5991,3864448
74.8398,2019-10-10,74.918,73.3756,73.7109,3710633
76.086,2019-10-11,76.6672,75.4433,75.4824,4849469
75.9575,2019-10-14,76.2537,75.6278,76.0022,2637740
76.086,2019-10-15,76.9634,76.0804,76.153,3964078
76.3989,2019-10-16,76.6839,75.8177,75.9686,3339125
77.2148,2019-10-17,77.5334,76.656,76.7287,4103751
76.4492,2019-10-18,77.3657,76.2872,77.2484,5413246
77.3154,2019-10-21,77.6787,76.9745,77.2148,5951758
79.0255,2019-10-22,79.4893,77.6396,78.6958,10544286
78.1872,2019-10-23,79.0422,77.796,78.7013,5324262
80.1599,2019-10-24,80.3835,78.2543,78.5169,7235353
79.8917,2019-10-25,80.5846,79.8079,80.1096,5074154
79.9364,2019-10-28,80.8249,79.5284,80.0649,3773081
79.3552,2019-10-29,80.199,79.2043,79.6067,5647306
80.3834,2019-10-30,80.6237,79.3552,79.4949,4040191
80.2382,2019-10-31,80.3834,79.7296,80.1599,4852647
81.9706,2019-11-01,82.032,80.6629,80.6908,6444348
82.4344,2019-11-04,82.7026,81.8141,82.4232,6823166
82.6244,2019-11-05,83.0268,81.9817,82.5182,6453406
82.8815,2019-11-06,82.9206,82.222,82.6076,5015679
83.1162,2019-11-07,83.4627,82.9597,83.1665,4407092
83.2,2019-11-08,83.2783,82.3338,82.4121,2701618
82.8312,2019-11-11,83.0547,82.4456,82.7082,2341233
82.9262,2019-11-12,83.2894,82.7082,82.9318,2562421
82.8815,2019-11-13,82.9932,82.3897,82.6412,2926302
83.182,2019-11-14,83.3673,82.8113,82.8113,2757551
83.884,2019-11-15,84.1367,83.2606,83.2774,3160839
83.7436,2019-11-18,83.839,83.3673,83.7436,2948866
83.328,2019-11-19,84.0468,83.3167,84.03,4495758
82.362,2019-11-20,83.4459,82.0475,83.1258,4204335
82.727,2019-11-21,83.0921,82.1654,82.3564,3731131
82.9517,2019-11-22,83.4178,82.6596,83.2606,3783568
82.8506,2019-11-25,83.5358,82.6709,83.4347,3818367
83.1875,2019-11-26,83.4683,82.7832,82.9517,5722625
83.5807,2019-11-27,83.7099,82.9461,83.3336,2401456
83.3111,2019-11-29,83.4628,82.8393,83.4178,1575494
81.4297,2019-12-02,83.4628,81.3679,83.3392,6121940
80.722,2019-12-03,80.986,80.1885,80.8344,5938729
81.1657,2019-12-04,81.9239,81.0421,81.4016,4829130
81.5813,2019-12-05,81.7554,81.1039,81.7105,3720644
82.5529,2019-12-06,82.7776,82.1149,82.6372,4143953
82.1205,2019-12-09,82.7551,82.0812,82.5024,2403045
81.6431,2019-12-10,81.9969,81.6319,81.8677,4246761
82.7102,2019-12-11,82.7663,81.9913,82.3226,3603693
83.912,2019-12-12,84.0412,82.6596,83.064,4327483
83.7211,2019-12-13,84.3276,83.2718,83.2718,3762911
83.9401,2019-12-16,84.6197,83.7435,84.0917,5162502
83.4684,2019-12-17,83.8952,83.0921,83.7941,5759172
82.9573,2019-12-18,83.4627,82.6652,83.1763,6036929
83.5189,2019-12-19,83.7717,82.6709,83.2943,4755241
83.957,2019-12-20,84.7489,83.7941,84.7489,7252673
84.1423,2019-12-23,84.5523,83.9963,84.2209,4361328
84.0019,2019-12-24,84.4231,83.9289,84.2827,1596786
84.6422,2019-12-26,84.6702,84.103,84.2153,2231274
84.4007,2019-12-27,84.8443,84.2715,84.805,2928050
84.176,2019-12-30,84.6927,84.0075,84.4905,2674605
