close,date,high,low,open,volume
128.16,2019-08-12,130.5,127.32,129.88,793800
132.12,2019-08-13,132.86,127.0,127.97,1326500
126.71,2019-08-14,129.81,125.99,129.18,1153500
127.29,2019-08-15,128.04,126.18,127.42,689300
128.98,2019-08-16,130.0,128.35,128.94,860600
129.94,2019-08-19,131.37,128.68,130.58,743600
129.96,2019-08-20,130.98,128.62,129.81,736500
131.84,2019-08-21,132.43,130.57,131.32,1235300
139.0,2019-08-22,142.0,134.25,135.0,2887200
135.05,2019-08-23,140.82,134.51,137.47,1622900
136.62,2019-08-26,136.96,134.85,136.63,1316700
136.69,2019-08-27,137.8,135.7,137.29,1295300
136.75,2019-08-28,137.22,134.79,136.21,1037300
141.31,2019-08-29,142.37,138.5,138.5,1072800
141.81,2019-08-30,142.94,140.69,142.28,831100
139.27,2019-09-03,141.29,138.47,140.08,879200
141.52,2019-09-04,143.0,140.49,141.17,874200
145.95,2019-09-05,146.27,143.23,143.4,1231500
145.51,2019-09-06,146.66,145.32,146.0,903200
141.26,2019-09-09,146.5,140.63,146.2,1515500
135.25,2019-09-10,140.54,134.39,140.54,1636900
134.64,2019-09-11,136.77,133.75,134.82,1744400
137.39,2019-09-12,138.62,135.13,135.13,1231600
134.64,2019-09-13,138.08,134.13,137.32,1155800
133.24,2019-09-16,134.15,132.53,133.62,1150600
136.7,2019-09-17,136.88,132.51,133.05,1028300
136.5,2019-09-18,137.07,133.64,136.66,978700
137.13,2019-09-19,138.73,136.46,136.67,777300
135.72,2019-09-20,137.99,135.63,137.11,1196700
137.11,2019-09-23,137.41,133.12,134.92,891600
136.48,2019-09-24,139.37,135.15,137.99,1131700
139.39,2019-09-25,139.68,134.55,136.06,948100
140.74,2019-09-26,141.45,139.03,139.46,754400
136.21,2019-09-27,141.15,134.44,141.0,1081700
137.25,2019-09-30,138.27,136.11,136.54,893000
135.99,2019-10-01,138.23,135.51,137.53,784300
133.31,2019-10-02,135.35,131.59,134.9,1066100
136.03,2019-10-03,136.07,131.58,133.71,772200
138.78,2019-10-04,139.2,136.28,136.51,815300
137.89,2019-10-07,139.96,137.7,139.96,591200
133.94,2019-10-08,137.6,133.79,137.0,871700
135.79,2019-10-09,136.62,134.97,135.09,886300
138.22,2019-10-10,138.38,135.19,136.35,998300
138.61,2019-10-11,141.06,138.51,139.49,770900
138.85,2019-10-14,139.76,138.07,138.41,422700
140.66,2019-10-15,141.9,139.11,139.21,741700
138.74,2019-10-16,140.0,136.63,139.87,735900
136.83,2019-10-17,139.87,136.57,139.08,795800
134.95,2019-10-18,137.52,133.49,136.83,1099800
136.68,2019-10-21,137.36,134.81,135.46,717300
132.12,2019-10-22,138.25,131.6,138.18,1355900
133.96,2019-10-23,134.79,131.62,131.73,647200
137.72,2019-10-24,137.84,133.72,134.45,852800
137.14,2019-10-25,138.47,136.23,136.65,573200
137.29,2019-10-28,138.69,136.94,138.48,503900
136.68,2019-10-29,138.41,136.6,137.48,720400
137.61,2019-10-30,137.92,135.89,136.69,995700
135.75,2019-10-31,137.84,135.13,137.66,1061100
136.1,2019-11-01,138.26,135.68,136.4,954200
135.77,2019-11-04,137.58,135.15,137.33,944500
135.63,2019-11-05,136.41,133.84,135.81,805200
136.57,2019-11-06,137.05,135.0,135.29,590200
135.23,2019-11-07,138.08,134.89,137.06,925300
136.21,2019-11-08,136.84,134.22,134.83,763700
137.81,2019-11-11,138.85,135.31,135.7,680000
138.89,2019-11-12,140.29,137.59,137.63,656900
139.2,2019-11-13,139.86,138.35,138.96,620500
138.13,2019-11-14,138.81,137.0,138.75,674100
139.71,2019-11-15,139.71,137.28,139.34,731300
139.23,2019-11-18,139.87,138.49,139.25,644900
141.75,2019-11-19,142.1,139.64,140.0,1064200
140.84,2019-11-20,141.78,139.43,141.47,772200
138.77,2019-11-21,141.14,138.55,140.59,765400
135.38,2019-11-22,139.24,134.79,139.13,1035500
138.19,2019-11-25,138.44,135.81,135.95,1079600
140.07,2019-11-26,140.54,138.41,138.57,2325500
141.77,2019-11-27,141.77,139.63,140.36,924900
141.04,2019-11-29,143.0,140.76,142.01,519400
135.49,2019-12-02,144.24,135.14,141.79,1413200
135.21,2019-12-03,135.65,132.52,133.91,965100
136.01,2019-12-04,137.2,135.32,136.4,1020000
131.88,2019-12-05,135.5,131.51,133.5,2120000
134.21,2019-12-06,134.88,132.13,132.13,1416500
132.24,2019-12-09,134.93,132.1,134.24,1136100
131.61,2019-12-10,133.29,131.27,132.58,1455600
132.08,2019-12-11,132.25,130.72,132.21,1443500
135.88,2019-12-12,136.33,132.09,134.26,1852800
136.7,2019-12-13,137.55,135.51,135.95,730100
136.6,2019-12-16,138.86,136.6,137.63,875400
136.94,2019-12-17,137.38,134.64,137.02,1121500
138.1,2019-12-18,139.24,137.55,137.55,932300
139.5,2019-12-19,140.22,137.5,138.27,1131600
139.88,2019-12-20,141.01,138.98,141.01,2666700
139.91,2019-12-23,141.28,139.21,140.0,1073200
138.21,2019-12-24,140.26,137.5,139.69,417800
140.07,2019-12-26,140.3,138.61,138.88,539400
140.62,2019-12-27,140.79,139.23,140.42,533400
139.1,2019-12-30,140.29,137.82,140.12,613200
139.2,2019-12-31,140.24,138.45,138.81,732900
142.87,2020-01-02,142.93,139.84,140.31,1095100
141.76,2020-01-03,142.09,140.05,141.1,834800
141.98,2020-01-06,142.16,139.7,140.52,924800
142.96,2020-01-07,143.48,140.32,141.18,701100
145.86,2020-01-08,146.6,142.56,143.2,1241800
148.67,2020-01-09,149.3,146.52,147.04,1211800
148.46,2020-01-10,150.53,147.22,149.77,739500
149.93,2020-01-13,150.43,148.65,148.96,717100
148.19,2020-01-14,149.59,147.26,149.59,802300
147.91,2020-01-15,150.03,147.46,148.78,842400
149.69,2020-01-16,149.75,148.23,148.49,819300
151.86,2020-01-17,151.99,149.11,150.31,1431800
153.58,2020-01-21,154.07,151.0,151.1,1015800
153.43,2020-01-22,155.7,153.31,154.16,648900
154.96,2020-01-23,155.36,152.11,153.0,856500
154.05,2020-01-24,156.97,153.3,156.29,826500
150.38,2020-01-27,151.45,149.27,150.74,886600
152.05,2020-01-28,152.71,150.85,151.67,829800
150.44,2020-01-29,153.37,150.34,153.0,765000
150.82,2020-01-30,150.87,148.64,149.66,1337700
147.51,2020-01-31,150.5,147.14,150.22,984500
150.26,2020-02-03,150.85,148.5,148.77,969300
155.81,2020-02-04,155.92,152.02,152.58,1160600
154.21,2020-02-05,158.0,153.57,157.44,982700
154.77,2020-02-06,156.13,154.2,154.8,507900
154.28,2020-02-07,155.18,153.35,154.5,589000
156.92,2020-02-10,157.11,153.56,153.64,676500
158.22,2020-02-11,159.53,157.15,157.88,837300
159.52,2020-02-12,160.02,156.95,158.2,682600
161.37,2020-02-13,161.93,158.28,158.78,788800
163.35,2020-02-14,164.1,162.01,162.01,784900
162.92,2020-02-18,164.49,162.38,164.01,910200
164.99,2020-02-19,166.87,164.52,165.24,1760900
155.08,2020-02-20,160.5,151.05,159.06,4667200
149.33,2020-02-21,154.24,148.16,153.52,2777000
145.94,2020-02-24,146.93,141.3,144.97,2503500
142.16,2020-02-25,148.03,141.56,147.35,2162800
142.04,2020-02-26,145.83,141.1,142.96,2039900
136.83,2020-02-27,141.76,136.12,139.84,1840800
137.93,2020-02-28,138.07,131.51,131.51,3129100
141.63,2020-03-02,141.73,135.41,137.96,1692700
140.12,2020-03-03,144.33,138.19,141.22,2075100
146.82,2020-03-04,146.96,141.62,142.58,1529100
142.64,2020-03-05,145.32,141.31,142.91,1486600
137.72,2020-03-06,139.76,133.71,136.88,1491300
127.7,2020-03-09,132.67,126.0,128.11,1870800
135.19,2020-03-10,135.29,128.07,131.39,1614300
131.74,2020-03-11,135.33,128.82,131.55,2063100
119.15,2020-03-12,129.04,119.06,123.12,2429200
129.88,2020-03-13,129.97,116.47,124.91,2032200
112.75,2020-03-16,125.38,109.13,112.59,2003100
119.62,2020-03-17,120.65,111.1,115.02,1780400
114.23,2020-03-18,115.68,108.52,112.89,1858000
114.96,2020-03-19,117.3,108.79,113.85,1424800
110.0,2020-03-20,119.56,109.21,116.6,1825500
108.48,2020-03-23,112.48,104.9,110.35,1508900
120.63,2020-03-24,121.47,114.01,114.28,1709600
121.32,2020-03-25,125.63,117.91,119.99,1528100
127.97,2020-03-26,128.34,121.56,122.24,1373500
124.38,2020-03-27,128.35,120.17,123.93,1300800
129.31,2020-03-30,130.46,124.43,125.7,1502100
128.79,2020-03-31,131.0,126.73,128.23,2463800
125.96,2020-04-01,127.81,122.51,122.88,1542100
128.65,2020-04-02,128.79,124.0,124.68,1843300
124.55,2020-04-03,128.64,123.94,127.81,702300
135.91,2020-04-06,136.56,129.11,130.36,1314200
135.51,2020-04-07,140.77,135.34,138.2,1203400
138.85,2020-04-08,139.63,135.28,138.65,657800
136.58,2020-04-09,141.03,136.1,139.68,1104400
140.13,2020-04-13,140.52,133.27,133.85,920700
147.43,2020-04-14,147.83,142.03,142.2,1081800
146.17,2020-04-15,147.89,144.28,145.17,932000
151.83,2020-04-16,152.05,147.03,147.09,1275400
154.98,2020-04-17,156.09,153.07,155.53,1431400
151.01,2020-04-20,154.67,150.99,151.91,1002600
144.84,2020-04-21,149.92,142.86,149.43,1127100
150.72,2020-04-22,151.32,147.01,148.52,912100
151.99,2020-04-23,152.78,149.36,149.74,920500
153.03,2020-04-24,153.44,150.15,152.99,910700
154.14,2020-04-27,155.6,153.53,155.6,559100
151.83,2020-04-28,155.9,151.45,155.0,1052200
158.01,2020-04-29,158.14,152.42,153.44,1307700
157.12,2020-04-30,158.96,156.64,157.58,1581000
149.64,2020-05-01,155.49,148.2,153.68,1188300
151.08,2020-05-04,151.85,147.98,148.9,913600
154.24,2020-05-05,155.16,151.61,151.88,693300
156.83,2020-05-06,157.97,154.59,155.01,660300
158.94,2020-05-07,160.07,157.28,158.0,827100
160.17,2020-05-08,161.99,158.69,160.42,723900
161.58,2020-05-11,163.3,158.34,158.63,848800
158.57,2020-05-12,162.85,158.51,162.68,674700
156.2,2020-05-13,160.89,153.98,158.01,779300
157.83,2020-05-14,158.0,153.67,155.17,838600
158.73,2020-05-15,159.58,151.52,151.59,1563000
159.87,2020-05-18,161.9,158.6,159.95,830600
162.02,2020-05-19,164.34,160.53,160.67,1075400
165.47,2020-05-20,167.2,164.2,164.26,1221400
168.49,2020-05-21,169.44,164.86,167.0,1586800
171.11,2020-05-22,171.47,167.06,169.68,1009000
168.53,2020-05-26,172.7,168.33,172.08,1075400
170.42,2020-05-27,170.55,163.0,169.31,1190100
174.05,2020-05-28,178.33,169.44,170.56,1248500
180.91,2020-05-29,181.97,175.23,175.95,1567600
182.6,2020-06-01,184.08,180.1,180.91,1024200
183.02,2020-06-02,183.73,179.83,183.06,981900
184.21,2020-06-03,184.54,181.88,184.0,838400
182.45,2020-06-04,184.49,180.2,183.31,689400
182.97,2020-06-05,184.41,179.01,182.09,1500800
186.82,2020-06-08,187.59,179.81,180.71,1060900
189.62,2020-06-09,192.38,186.18,186.91,935500
189.42,2020-06-10,192.0,187.31,191.05,1113400
179.52,2020-06-11,189.1,179.28,189.1,1143600
179.6,2020-06-12,185.65,176.52,183.35,1156600
184.05,2020-06-15,184.38,176.15,177.24,740600
186.15,2020-06-16,189.39,184.22,186.77,995000
188.97,2020-06-17,190.5,187.12,188.0,799100
189.88,2020-06-18,190.95,188.13,188.73,646900
184.45,2020-06-19,193.36,184.4,192.38,1785100
193.27,2020-06-22,193.27,184.52,185.69,1008000
192.87,2020-06-23,197.66,192.27,193.35,1104000
189.2,2020-06-24,193.87,187.35,192.3,1051900
189.69,2020-06-25,191.43,185.6,191.43,711700
190.42,2020-06-26,192.08,187.33,190.31,1495400
189.72,2020-06-29,192.85,186.32,190.63,755900
195.0,2020-06-30,195.98,188.36,188.83,1161100
196.9,2020-07-01,198.09,193.2,194.74,885000
197.58,2020-07-02,199.58,196.67,198.55,651000
199.39,2020-07-06,202.98,198.78,199.63,564800
197.63,2020-07-07,201.96,197.49,199.39,736100
201.48,2020-07-08,201.77,198.94,199.13,529700
204.55,2020-07-09,204.9,200.79,203.0,791300
198.01,2020-07-10,204.46,196.8,203.26,1112500
194.15,2020-07-13,201.79,193.62,200.0,829700
195.28,2020-07-14,195.64,188.82,192.14,978500
194.35,2020-07-15,196.7,192.34,195.51,954500
193.22,2020-07-16,193.94,189.63,192.96,745600
196.28,2020-07-17,197.11,192.64,194.63,691300
201.9,2020-07-20,202.76,196.02,196.02,777700
199.69,2020-07-21,203.82,198.9,203.5,617600
200.66,2020-07-22,202.45,198.39,201.22,530400
197.8,2020-07-23,204.22,196.92,201.38,499200
193.37,2020-07-24,196.28,190.92,195.82,1206500
197.09,2020-07-27,198.09,194.12,194.61,549200
194.9,2020-07-28,197.87,194.37,196.65,423900
198.42,2020-07-29,199.85,196.0,196.0,609100
199.34,2020-07-30,200.11,193.9,195.43,374800
199.22,2020-07-31,200.6,194.93,200.6,985500
202.8,2020-08-03,204.11,200.02,200.74,513100
201.85,2020-08-04,202.8,199.45,202.0,560500
201.56,2020-08-05,203.71,200.76,202.44,465200
202.26,2020-08-06,202.58,198.9,201.21,465900
198.79,2020-08-07,202.22,196.14,201.35,518300
195.64,2020-08-10,198.19,194.4,197.91,745800
191.04,2020-08-11,195.87,190.5,195.87,1179700
194.34,2020-08-12,195.07,191.04,191.2,802200
196.35,2020-08-13,198.5,194.14,195.15,601300
196.16,2020-08-14,198.28,195.46,195.77,459100
200.21,2020-08-17,200.47,197.25,197.94,618700
200.09,2020-08-18,201.61,199.31,201.42,860400
198.22,2020-08-19,201.8,197.47,200.66,833300
215.16,2020-08-20,216.19,202.1,206.5,2521000
213.1,2020-08-21,214.45,207.29,213.61,2014100
213.77,2020-08-24,216.64,210.56,214.9,730400
216.17,2020-08-25,216.21,211.77,212.71,621000
219.77,2020-08-26,221.32,216.67,216.89,704700
217.17,2020-08-27,221.0,215.31,220.47,711200
219.49,2020-08-28,219.89,216.79,217.16,626700
221.3,2020-08-31,222.03,218.36,219.17,997900
225.34,2020-09-01,226.21,220.24,221.18,679300
229.36,2020-09-02,230.12,223.23,226.66,711200
214.79,2020-09-03,226.76,212.76,226.75,1150300
208.98,2020-09-04,215.22,202.85,213.5,1102100
198.99,2020-09-08,206.13,198.47,202.95,1456700
205.33,2020-09-09,206.81,199.16,203.23,784400
203.28,2020-09-10,209.11,202.13,205.84,715100
200.24,2020-09-11,207.06,198.52,205.55,752700
205.54,2020-09-14,206.68,201.8,202.24,622100
210.95,2020-09-15,211.83,205.98,208.13,621900
206.86,2020-09-16,213.2,206.72,212.47,737200
201.86,2020-09-17,203.81,198.19,201.04,910500
197.93,2020-09-18,203.22,194.2,202.04,1357300
201.98,2020-09-21,202.18,193.55,195.9,604900
204.8,2020-09-22,205.07,198.91,203.41,752800
197.86,2020-09-23,203.83,196.82,203.61,553200
201.51,2020-09-24,202.83,196.46,196.46,850100
208.5,2020-09-25,209.27,200.06,201.27,808700
