close,date,high,low,open,volume
76.0111,2019-08-12,76.673,75.8431,76.1395,1888200
76.6828,2019-08-13,77.3151,75.853,76.0012,2541600
76.0012,2019-08-14,76.4457,75.1911,75.8431,2900800
76.3371,2019-08-15,76.8607,75.28,75.5467,2582100
76.8113,2019-08-16,77.3052,76.5248,77.0484,3094600
77.2855,2019-08-19,77.5522,76.7816,77.3151,1697300
76.7421,2019-08-20,77.2954,76.7026,77.0385,1856000
77.2361,2019-08-21,77.3645,76.831,77.1274,1221500
76.8508,2019-08-22,77.4732,76.5742,77.3645,2010900
75.5566,2019-08-23,77.3052,75.201,76.7026,2883800
77.1175,2019-08-26,77.1274,75.7542,76.0703,1735900
76.1889,2019-08-27,77.1571,76.0901,76.7619,1871900
76.1296,2019-08-28,76.4359,75.359,76.0012,2035600
77.0681,2019-08-29,77.4633,76.4655,76.9298,1389900
77.1077,2019-08-30,77.4337,76.8508,77.4337,1701100
76.1988,2019-09-03,76.999,76.0703,76.9595,1752700
76.673,2019-09-04,76.9002,76.0901,76.5742,1876500
76.8903,2019-09-05,77.6214,76.6236,77.2756,1963000
78.1944,2019-09-06,78.2141,76.9101,77.0187,2930500
78.1746,2019-09-09,78.5105,77.6411,78.3722,2514400
77.4337,2019-09-10,77.8288,76.999,77.8288,2254200
78.7773,2019-09-11,78.8069,77.2657,77.4436,2412200
78.7279,2019-09-12,79.6269,78.4315,78.9156,2005900
78.4414,2019-09-13,79.123,78.0758,79.123,1737700
78.5994,2019-09-16,78.6785,77.7893,78.0067,2178800
79.2416,2019-09-17,79.5775,78.1055,78.7674,2851800
79.1527,2019-09-18,79.5775,78.6192,79.2416,2200400
80.022,2019-09-19,80.1702,79.5676,79.7454,2257200
79.617,2019-09-20,79.8738,78.1252,79.5873,7141600
78.9946,2019-09-23,79.8047,78.8464,79.0539,2361200
78.4018,2019-09-24,79.5182,78.0758,79.5182,3631000
78.8464,2019-09-25,79.0638,77.9079,78.5698,1957600
78.0462,2019-09-26,79.044,78.0067,79.0045,1902600
76.6236,2019-09-27,78.1944,75.8431,78.1055,3373400
77.819,2019-09-30,78.1351,76.6829,76.9298,2191100
77.2558,2019-10-01,78.4117,77.0583,77.9276,2803500
75.4875,2019-10-02,77.0286,74.9046,76.6631,3282000
76.1,2019-10-03,76.4754,75.1022,75.6752,2321600
77.0484,2019-10-04,77.1274,76.0308,76.0308,1838400
77.5325,2019-10-07,77.7301,76.6927,76.6927,1908200
76.673,2019-10-08,77.1966,76.426,76.8409,2308700
76.8508,2019-10-09,77.3349,76.3766,77.1669,1967200
77.3546,2019-10-10,77.5423,76.1,76.7816,2393300
78.5698,2019-10-11,79.0638,77.6016,77.7103,2070000
77.6806,2019-10-14,78.5698,77.6214,78.5698,1982300
78.7773,2019-10-15,78.9748,77.8486,77.9968,1805000
79.044,2019-10-16,79.2119,78.6389,78.7772,2261500
80.0714,2019-10-17,80.1999,78.2141,79.4787,3903800
80.6148,2019-10-18,81.336,79.8047,80.1603,3197200
81.0989,2019-10-21,81.5336,80.7235,80.7827,2899400
80.684,2019-10-22,81.5731,80.6642,81.5336,2141800
80.3777,2019-10-23,80.763,80.0912,80.4567,1256200
80.4962,2019-10-24,80.6444,80.0418,80.269,1884900
80.6346,2019-10-25,81.1878,80.5259,80.6938,2006100
81.3953,2019-10-28,82.1164,80.7729,81.0198,3054300
80.7827,2019-10-29,81.3755,78.7575,80.2591,4154800
82.2646,2019-10-30,82.8376,80.5555,80.5852,4150000
81.662,2019-10-31,82.4919,80.7926,82.3437,2548900
81.4743,2019-11-01,82.1856,81.01,82.0868,2585800
79.943,2019-11-04,81.8102,79.4787,81.7015,3055800
80.4864,2019-11-05,80.8618,79.8738,80.0813,1622800
80.8717,2019-11-06,80.9606,80.3085,80.6148,2705600
80.8717,2019-11-07,82.0275,80.5852,81.4051,2674200
79.9628,2019-11-08,80.8519,79.8541,80.8124,1614800
78.6587,2019-11-11,80.1603,76.6137,79.617,6388500
76.4951,2019-11-12,78.6883,76.2679,78.6587,4346000
77.0286,2019-11-13,77.1274,75.8727,76.6927,2715800
75.9123,2019-11-14,76.8804,75.5665,76.4457,2881500
77.1274,2019-11-15,78.5401,76.3963,76.6236,3941400
77.246,2019-11-18,77.5028,75.4084,75.9419,4235800
76.2284,2019-11-19,77.3546,75.9913,77.2558,2332900
