close,date,high,low,open,volume
45.0761,2019-08-12,46.0295,45.0165,45.9997,1126500
45.0761,2019-08-13,46.238,44.8973,45.2946,1874900
42.8814,2019-08-14,44.3511,42.7026,44.2419,1833000
43.0601,2019-08-15,43.229,42.2359,42.9708,1904200
44.0532,2019-08-16,44.1525,43.2488,43.507,3261200
44.8874,2019-08-19,45.2946,44.5398,44.8378,1167000
44.4505,2019-08-20,44.7384,43.8745,44.6689,1300900
44.7682,2019-08-21,45.1655,44.6193,45.0761,1087100
44.5498,2019-08-22,45.0463,44.51,44.8874,717600
42.7721,2019-08-23,44.3909,42.5735,44.1029,1473000
43.0105,2019-08-26,43.4474,42.5239,43.3779,1201700
42.4742,2019-08-27,43.2488,42.4246,43.1992,911300
43.0999,2019-08-28,43.1892,42.0075,42.3948,844000
44.2816,2019-08-29,44.4207,43.6163,43.6957,758200
44.6888,2019-08-30,45.1655,44.5398,44.5498,1422700
43.3382,2019-09-03,44.2717,42.9608,44.2419,1433300
44.1426,2019-09-04,44.3015,43.6063,43.9738,1113800
45.9699,2019-09-05,46.1387,44.6888,44.6888,1771700
46.1586,2019-09-06,46.4565,45.9004,46.2281,1272500
47.6184,2019-09-09,47.7177,46.2082,46.3373,2031100
49.8826,2019-09-10,49.9025,47.5092,47.5985,2185300
50.8261,2019-09-11,50.9651,48.7207,49.9025,2188400
50.5578,2019-09-12,51.0049,49.4948,50.836,1374600
51.0645,2019-09-13,51.7798,50.7764,50.9453,1125500
52.2567,2019-09-16,52.2865,50.7963,51.0844,1956300
52.4951,2019-09-17,52.5249,51.591,52.058,1656000
51.9487,2019-09-18,52.356,51.3029,52.2169,1311500
51.0943,2019-09-19,52.1871,51.0446,51.9785,896000
50.5976,2019-09-20,51.4917,50.3889,51.4917,2182300
50.4088,2019-09-23,50.7069,49.6041,50.2399,1297000
50.2598,2019-09-24,50.8956,49.7432,50.4982,1553900
50.6969,2019-09-25,50.8857,50.0114,50.3591,1048200
50.0511,2019-09-26,50.6671,49.8326,50.6274,893600
48.8788,2019-09-27,50.1803,48.7199,49.8723,1418100
48.6404,2019-09-30,49.2961,48.3424,49.0279,1542000
47.5873,2019-10-01,49.4749,47.3787,49.0477,982600
46.3952,2019-10-02,47.1303,45.7494,46.9217,1186700
46.9515,2019-10-03,46.9614,45.362,46.276,813200
47.2396,2019-10-04,47.3489,46.6733,46.9813,639900
47.2794,2019-10-07,47.9351,46.9217,47.2396,995200
46.0375,2019-10-08,46.9615,46.0077,46.5939,1248700
46.4548,2019-10-09,46.723,46.2461,46.6435,1032300
47.1502,2019-10-10,47.4482,46.4746,46.6137,1091100
48.5411,2019-10-11,49.465,48.0443,48.0443,1271200
49.2266,2019-10-14,49.316,48.1735,48.3523,1160700
50.2995,2019-10-15,50.6274,49.1074,49.3855,1294500
50.1406,2019-10-16,50.8559,49.8922,50.1008,2012900
47.4383,2019-10-17,49.0974,46.8919,46.8919,3107600
45.7097,2019-10-18,47.786,45.6997,47.4383,2459500
46.9018,2019-10-21,46.9217,45.7892,46.0475,2125800
46.3356,2019-10-22,46.6932,45.6401,45.958,2488600
46.4846,2019-10-23,46.6336,46.0773,46.3654,1275800
46.4448,2019-10-24,46.6733,45.968,46.5939,1276700
46.9515,2019-10-25,47.1601,46.266,46.3058,999200
46.723,2019-10-28,47.7165,46.723,47.3787,1144100
46.8025,2019-10-29,47.329,46.3654,46.5442,1333900
46.3753,2019-10-30,46.733,45.8587,46.733,1104700
45.7892,2019-10-31,46.266,45.0739,46.0475,1111600
46.8919,2019-11-01,47.1005,46.0872,46.3852,2757800
47.8556,2019-11-04,48.0245,47.4383,47.4483,1653900
46.9913,2019-11-05,48.1039,46.7528,48.0046,1563400
46.6237,2019-11-06,47.1303,46.1567,46.9813,1498400
46.8224,2019-11-07,47.5377,46.6733,46.9515,1295200
46.3057,2019-11-08,46.6535,46.0077,46.6535,1322300
45.8587,2019-11-11,46.3256,45.6103,45.8388,1021200
46.1071,2019-11-12,46.5044,45.66,45.6799,1272300
45.9481,2019-11-13,46.2064,45.4216,45.7892,1625800
46.0375,2019-11-14,46.1766,45.7693,45.7991,1584900
