close,date,high,low,open,volume
39.581,2019-08-12,39.7894,39.1975,39.2725,1296000
38.814,2019-08-13,39.2392,38.4889,39.2392,3225300
38.2305,2019-08-14,39.0141,38.1805,38.9974,2368200
38.8224,2019-08-15,38.9391,38.2388,38.2388,1778900
39.1642,2019-08-16,39.3476,38.8224,38.8807,1713400
39.8061,2019-08-19,39.9061,39.0975,39.3476,2466700
39.581,2019-08-20,39.9561,39.5393,39.9561,1341500
39.756,2019-08-21,39.8561,39.3976,39.5893,1219300
40.1645,2019-08-22,40.2146,39.8227,39.8894,1705900
39.5977,2019-08-23,40.3729,39.4393,40.1979,1948800
39.7977,2019-08-26,39.9311,39.4309,39.8311,1753300
39.6894,2019-08-27,40.2229,39.6894,40.0061,2258700
39.8061,2019-08-28,39.9561,39.581,39.656,1243300
40.0978,2019-08-29,40.1479,39.8561,40.0562,966300
40.1645,2019-08-30,40.2896,39.9895,40.2146,1318700
40.4313,2019-09-03,40.5147,40.0061,40.0645,1388300
40.598,2019-09-04,40.9065,40.3979,40.6814,1345900
40.3063,2019-09-05,40.448,40.0645,40.4313,1413200
40.7898,2019-09-06,40.7898,40.3896,40.4646,1523000
40.3729,2019-09-09,40.7564,40.2729,40.6897,1555300
39.8811,2019-09-10,40.1729,39.2892,40.1312,1527400
39.8561,2019-09-11,39.8894,39.4559,39.7477,1613400
40.0395,2019-09-12,40.473,39.7227,40.2146,1224300
39.681,2019-09-13,40.1812,39.4893,39.7894,1259100
40.1562,2019-09-16,40.1979,39.6143,39.8061,1073300
40.4396,2019-09-17,40.5897,40.1562,40.2646,1290300
40.2729,2019-09-18,40.6647,39.9561,40.498,1794200
40.2062,2019-09-19,40.4563,40.1395,40.4146,1865300
39.9394,2019-09-20,40.423,39.7727,40.1228,6023100
40.0895,2019-09-23,40.3062,39.7894,39.7894,1221000
40.0562,2019-09-24,40.4813,39.8728,40.1812,1456900
40.0645,2019-09-25,40.2729,39.9394,39.9394,2517400
40.3896,2019-09-26,40.4646,40.1479,40.2312,2207200
40.2896,2019-09-27,40.4313,39.9895,40.4313,1627400
40.4146,2019-09-30,40.5897,40.2062,40.2062,1714600
40.2646,2019-10-01,40.5563,39.8478,40.3313,1144700
40.1562,2019-10-02,40.4146,40.0228,40.2896,1626700
40.523,2019-10-03,40.8314,40.0145,40.0145,1489000
40.8731,2019-10-04,40.8731,40.5397,40.5397,1015100
40.8648,2019-10-07,41.0232,40.5813,40.7064,1191900
40.7564,2019-10-08,41.0982,40.5146,40.8731,1107700
40.7169,2019-10-09,41.2375,40.6666,41.0024,1391700
40.7505,2019-10-10,40.9017,40.4903,40.6414,1879300
40.3056,2019-10-11,40.7337,40.2132,40.7337,1930800
40.7253,2019-10-14,40.7673,40.2888,40.4567,1046800
40.7589,2019-10-15,40.8177,40.4567,40.7337,3158900
41.4222,2019-10-16,41.4641,40.5071,40.8093,1968400
41.4809,2019-10-17,41.5901,41.2794,41.3634,1777900
41.8083,2019-10-18,41.9091,41.2207,41.4725,1924600
42.1274,2019-10-21,42.1441,41.6152,41.758,1890900
41.7328,2019-10-22,42.1525,41.674,42.1358,1968900
41.5649,2019-10-23,41.8419,41.2123,41.7664,1519400
