close,date,high,low,open,volume
143.106,2019-08-12,143.78,141.692,143.419,436700
145.331,2019-08-13,146.56,142.658,143.536,521000
142.267,2019-08-14,143.916,140.863,143.877,586600
141.819,2019-08-15,143.048,141.672,142.443,419600
143.75,2019-08-16,144.453,141.76,142.404,494900
144.58,2019-08-19,145.477,143.555,145.184,337900
142.082,2019-08-20,144.375,141.926,143.926,657300
143.546,2019-08-21,143.721,141.702,143.175,456600
142.385,2019-08-22,144.267,142.336,143.575,422900
139.975,2019-08-23,143.506,139.253,141.653,595600
140.707,2019-08-26,141.272,139.019,140.95,469100
137.243,2019-08-27,141.458,137.195,141.35,511300
139.116,2019-08-28,139.136,136.463,136.599,571500
140.716,2019-08-29,142.024,139.497,140.248,609600
141.244,2019-08-30,141.947,140.501,141.859,592500
142.543,2019-09-03,142.67,140.013,140.296,477000
142.885,2019-09-04,144.438,141.693,143.774,348200
141.791,2019-09-05,144.995,141.4,144.585,884600
144.839,2019-09-06,145.171,141.644,142.475,692400
146.07,2019-09-09,147.008,143.266,144.898,758800
151.785,2019-09-10,152.049,145.767,146.011,1320800
151.531,2019-09-11,153.436,149.831,151.023,1194000
149.43,2019-09-12,152.488,149.118,151.912,848900
149.001,2019-09-13,153.309,148.19,150.114,676100
150.339,2019-09-16,150.554,147.565,148.141,640500
148.366,2019-09-17,150.095,146.881,150.095,800000
148.483,2019-09-18,149.841,146.89,148.239,676000
146.549,2019-09-19,149.733,146.5,148.317,768900
146.656,2019-09-20,148.16,145.787,146.988,1117900
146.509,2019-09-23,147.359,145.249,145.806,579900
145.025,2019-09-24,146.822,144.067,146.803,864100
143.95,2019-09-25,145.718,143.51,145.025,982400
143.178,2019-09-26,144.956,142.426,144.419,990800
143.442,2019-09-27,144.849,142.944,143.872,519000
145.318,2019-09-30,146.06,143.501,143.667,608500
143.715,2019-10-01,147.692,143.071,145.034,491500
142.856,2019-10-02,143.628,141.771,142.866,586600
142.016,2019-10-03,143.256,141.4,142.739,695900
142.758,2019-10-04,143.452,141.019,142.729,563100
141.723,2019-10-07,143.188,141.361,142.446,710200
139.896,2019-10-08,141.361,139.427,141.058,715100
141.771,2019-10-09,142.231,140.609,140.853,364500
142.465,2019-10-10,143.012,141.107,141.488,383300
142.758,2019-10-11,145.581,142.699,143.305,356800
140.667,2019-10-14,142.504,140.638,142.191,339100
141.898,2019-10-15,142.944,141.429,141.478,715100
141.381,2019-10-16,143.921,141.0,142.094,559800
142.924,2019-10-17,143.315,141.566,141.957,652000
142.719,2019-10-18,142.905,140.199,141.967,606900
141.967,2019-10-21,143.588,141.957,143.305,563000
143.002,2019-10-22,144.096,141.869,142.553,433600
141.224,2019-10-23,143.569,140.736,143.198,645500
141.361,2019-10-24,141.908,139.925,141.83,928300
134.747,2019-10-25,139.407,127.772,134.767,1407900
134.894,2019-10-28,136.916,134.425,134.523,744600
135.607,2019-10-29,136.75,134.982,135.695,837700
135.861,2019-10-30,136.056,132.735,135.079,769600
134.288,2019-10-31,135.978,133.311,135.841,685400
135.548,2019-11-01,136.672,135.05,135.333,530300
136.31,2019-11-04,136.77,135.314,135.92,388600
136.633,2019-11-05,138.04,136.291,137.121,836100
136.691,2019-11-06,137.092,135.578,136.897,562400
136.447,2019-11-07,138.557,136.047,137.707,323900
137.873,2019-11-08,138.294,136.476,136.516,395200
136.027,2019-11-11,138.303,135.9,137.063,348400
137.326,2019-11-12,137.668,135.343,135.851,618200
138.294,2019-11-13,138.684,136.613,136.828,536900
137.932,2019-11-14,139.231,137.297,138.44,446700
140.941,2019-11-15,141.937,136.75,137.307,780900
138.489,2019-11-18,141.869,138.264,140.501,775500
138.518,2019-11-19,139.368,137.913,138.655,475500
137.258,2019-11-20,138.655,136.848,138.02,564500
137.346,2019-11-21,138.753,137.151,137.541,687400
136.105,2019-11-22,138.46,135.89,137.414,655000
138.059,2019-11-25,138.938,136.525,137.092,653800
136.535,2019-11-26,138.479,135.382,138.479,836800
137.053,2019-11-27,138.079,136.691,137.346,323000
136.271,2019-11-29,136.789,135.539,136.232,236700
136.594,2019-12-02,137.59,136.281,136.809,377600
137.092,2019-12-03,137.502,134.865,135.587,440400
137.963,2019-12-04,138.481,136.935,137.229,475200
138.765,2019-12-05,139.156,137.522,138.021,712600
141.573,2019-12-06,141.67,139.489,139.733,559100
140.604,2019-12-09,141.631,140.379,141.406,468200
141.445,2019-12-10,141.68,139.968,140.712,696900
141.563,2019-12-11,141.768,140.223,141.504,358300
143.099,2019-12-12,143.49,140.32,141.778,523900
141.211,2019-12-13,143.549,140.731,142.903,353600
138.599,2019-12-16,141.798,138.139,141.612,1146400
138.452,2019-12-17,139.303,136.583,137.356,1077700
138.579,2019-12-18,140.35,138.481,138.667,628500
140.907,2019-12-19,141.211,138.794,139.313,741600
141.181,2019-12-20,143.138,141.172,141.533,1082500
140.673,2019-12-23,141.847,139.068,141.847,340700
140.213,2019-12-24,140.399,139.538,140.301,139400
139.743,2019-12-26,140.849,139.42,140.33,176700
140.242,2019-12-27,140.389,139.342,139.743,180000
139.557,2019-12-30,140.858,138.98,140.77,213600
140.35,2019-12-31,140.389,139.411,139.411,243400
139.225,2020-01-02,141.132,137.953,141.132,403400
138.892,2020-01-03,139.088,137.063,137.708,262700
138.784,2020-01-06,139.332,137.669,138.051,434300
139.342,2020-01-07,139.851,137.65,138.168,645700
141.935,2020-01-08,142.267,139.186,139.567,828000
141.201,2020-01-09,142.844,140.79,142.169,417500
142.884,2020-01-10,143.226,141.612,141.622,546000
141.739,2020-01-13,143.96,141.24,143.236,449000
142.306,2020-01-14,142.336,140.614,141.103,463600
141.172,2020-01-15,142.796,140.839,141.974,447900
140.819,2020-01-16,142.052,140.624,141.817,417400
141.886,2020-01-17,142.786,141.064,141.328,798600
141.847,2020-01-21,142.13,140.81,142.13,830900
142.424,2020-01-22,143.011,140.77,142.355,640200
