close,date,high,low,open,volume
148.408,2019-08-12,151.131,148.112,149.778,2861800
151.194,2019-08-13,151.973,147.154,147.933,2272500
146.643,2019-08-14,149.456,146.07,148.739,3113800
145.523,2019-08-15,146.876,143.902,146.589,2873600
148.927,2019-08-16,149.501,146.419,147.01,2171500
151.176,2019-08-19,152.537,150.728,151.346,2630100
150.101,2019-08-20,151.229,150.011,151.122,2362000
150.97,2019-08-21,151.865,150.307,150.952,1724100
148.766,2019-08-22,152.367,148.658,151.462,4017700
143.311,2019-08-23,148.22,142.477,147.906,3590000
142.531,2019-08-26,145.496,141.797,144.636,3297700
141.062,2019-08-27,143.964,140.892,143.964,3994900
141.895,2019-08-28,143.087,140.292,141.062,5841100
145.771,2019-08-29,146.717,142.598,143.707,4395000
145.978,2019-08-30,147.889,145.527,146.384,2987200
143.608,2019-09-03,146.104,143.04,145.158,2682400
144.284,2019-09-04,145.023,142.968,144.428,3890400
149.737,2019-09-05,150.214,146.104,146.42,3802900
148.358,2019-09-06,150.71,147.943,149.989,2055600
149.728,2019-09-09,150.034,147.826,148.826,3297600
151.035,2019-09-10,151.179,148.583,149.034,3006700
150.791,2019-09-11,151.413,149.367,151.287,2617900
151.161,2019-09-12,151.945,149.755,151.161,2357500
154.532,2019-09-13,155.217,152.342,152.621,3160000
152.278,2019-09-16,154.027,150.521,152.152,2652500
150.431,2019-09-17,152.936,149.926,152.224,3135800
151.305,2019-09-18,151.485,148.772,149.773,1610000
150.62,2019-09-19,151.503,150.07,151.305,2463500
149.962,2019-09-20,151.936,149.268,151.62,3620400
149.665,2019-09-23,150.692,149.025,149.619,2116800
148.79,2019-09-24,152.639,147.898,150.602,3738800
147.456,2019-09-25,149.313,147.411,148.98,4675000
147.573,2019-09-26,149.25,147.456,147.691,4211400
146.636,2019-09-27,148.547,145.888,148.114,3212600
145.996,2019-09-30,148.637,145.888,147.835,3296600
140.561,2019-10-01,147.087,140.165,146.798,6011600
137.019,2019-10-02,139.444,135.505,139.254,5432000
138.506,2019-10-03,138.578,134.378,137.407,3277800
140.895,2019-10-04,140.976,138.299,138.804,3538000
140.525,2019-10-07,141.426,139.588,140.111,3249600
136.523,2019-10-08,139.534,136.352,139.119,4147700
138.11,2019-10-09,139.299,137.434,137.848,3682600
140.399,2019-10-10,140.561,137.506,137.794,3383500
145.464,2019-10-11,146.231,141.868,142.319,4844700
143.806,2019-10-14,144.879,143.184,144.68,2339200
147.042,2019-10-15,147.51,143.761,144.581,3840200
147.195,2019-10-16,148.637,146.465,146.861,3743700
147.528,2019-10-17,149.719,143.86,146.113,6315900
145.564,2019-10-18,147.754,144.085,147.078,5176700
150.584,2019-10-21,150.881,145.789,146.194,3144300
153.919,2019-10-22,154.072,149.385,150.548,4146500
153.252,2019-10-23,154.126,151.765,153.171,3150700
153.576,2019-10-24,154.982,153.026,154.0,1909100
155.325,2019-10-25,155.64,152.684,153.576,1868400
153.901,2019-10-28,155.983,153.739,155.812,2185200
