close,date,high,low,open,volume
108.766,2019-08-12,111.925,108.334,111.778,1092200
110.414,2019-08-13,114.477,107.51,108.04,1391800
103.388,2019-08-14,107.932,101.907,107.667,2139100
102.613,2019-08-15,103.967,100.837,103.496,1728000
105.969,2019-08-16,106.764,103.32,103.791,1553100
108.569,2019-08-19,109.296,107.225,108.275,1205600
107.117,2019-08-20,108.059,106.999,107.941,738200
109.178,2019-08-21,110.336,108.53,110.012,828100
107.794,2019-08-22,110.689,107.284,109.963,960700
102.996,2019-08-23,107.627,102.358,106.224,1466700
104.271,2019-08-26,105.302,102.338,105.194,1187000
101.857,2019-08-27,105.734,101.072,104.949,1159700
104.33,2019-08-28,105.606,99.9931,101.514,1068000
109.237,2019-08-29,109.973,106.224,106.823,1315700
110.454,2019-08-30,112.289,109.786,110.836,1221300
107.618,2019-09-03,109.639,106.028,108.432,1338900
110.689,2019-09-04,110.974,108.982,109.757,1270400
114.31,2019-09-05,116.302,112.652,112.848,1541800
114.703,2019-09-06,115.968,113.358,114.428,861300
118.461,2019-09-09,118.569,115.321,115.851,1625200
121.729,2019-09-10,121.846,117.342,118.088,1325300
125.232,2019-09-11,125.379,121.316,124.192,1725200
125.605,2019-09-12,127.263,123.593,123.593,1503500
126.458,2019-09-13,129.755,126.203,127.371,1879500
125.948,2019-09-16,128.755,124.506,125.605,1143600
124.525,2019-09-17,125.605,122.298,124.663,1116300
122.376,2019-09-18,123.073,120.522,122.465,1999800
122.759,2019-09-19,124.358,122.366,123.299,1291800
124.074,2019-09-20,127.734,123.907,127.057,2224800
125.997,2019-09-23,127.126,121.729,122.651,1323300
122.396,2019-09-24,126.723,121.856,125.722,1475600
125.497,2019-09-25,126.056,122.268,122.376,1124900
125.183,2019-09-26,126.007,123.848,124.878,835200
122.455,2019-09-27,126.792,121.464,125.85,1387900
122.307,2019-09-30,123.397,119.913,122.209,1220000
117.332,2019-10-01,124.692,116.92,123.475,1537900
113.81,2019-10-02,116.145,111.994,115.105,1732800
114.212,2019-10-03,114.3,110.032,113.025,1626800
115.017,2019-10-04,116.567,114.133,115.438,1231900
113.496,2019-10-07,115.419,113.083,114.516,1137500
107.156,2019-10-08,110.738,106.999,109.041,2316300
109.394,2019-10-09,110.532,107.755,108.628,1398500
111.199,2019-10-10,112.318,109.541,109.541,952900
116.184,2019-10-11,118.294,113.996,114.585,1586500
116.459,2019-10-14,116.91,114.81,115.124,939000
118.422,2019-10-15,119.216,115.458,116.822,1250300
119.393,2019-10-16,120.777,117.588,117.754,2142200
125.506,2019-10-17,130.315,120.208,121.159,6025500
126.252,2019-10-18,128.323,125.114,125.428,2138400
127.243,2019-10-21,130.452,126.959,127.077,1637900
129.922,2019-10-22,131.375,126.046,126.998,1780600
131.169,2019-10-23,131.973,127.577,129.432,1474400
129.53,2019-10-24,132.277,127.94,131.963,1038200
132.847,2019-10-25,133.161,128.548,128.745,1242900
133.455,2019-10-28,134.78,131.669,133.259,1121700
134.475,2019-10-29,136.163,132.444,133.072,1104300
133.396,2019-10-30,133.877,130.374,133.543,1287700
131.07,2019-10-31,132.964,127.587,132.964,1361200
139.205,2019-11-01,139.343,132.807,133.455,2098700
143.984,2019-11-04,144.74,140.294,140.304,2590400
144.229,2019-11-05,148.998,143.68,144.956,2096100
144.386,2019-11-06,144.671,141.138,144.112,1273400
147.36,2019-11-07,149.597,146.388,146.624,1826700
152.413,2019-11-08,152.826,147.477,147.644,1644500
153.434,2019-11-11,153.601,150.039,150.441,1173200
151.569,2019-11-12,154.749,150.215,153.434,1542600
147.909,2019-11-13,150.098,147.458,149.489,1515900
149.469,2019-11-14,150.47,147.821,147.968,863900
151.452,2019-11-15,152.335,150.039,151.383,969300
150.402,2019-11-18,151.697,148.851,151.373,1051200
149.42,2019-11-19,152.06,148.38,151.305,742700
145.741,2019-11-20,149.126,143.611,149.087,1780600
149.617,2019-11-21,149.784,144.985,145.878,1374400
151.619,2019-11-22,152.58,149.028,149.401,1053700
154.082,2019-11-25,154.896,150.294,152.472,1146800
153.365,2019-11-26,154.219,151.834,153.189,880300
153.532,2019-11-27,154.288,151.579,154.15,528300
150.186,2019-11-29,153.257,149.823,152.786,420400
149.342,2019-12-02,153.061,148.783,150.343,975800
146.575,2019-12-03,147.271,143.219,145.25,1200600
147.713,2019-12-04,150.971,147.556,148.763,912600
150.264,2019-12-05,150.323,148.223,148.9,768500
154.317,2019-12-06,156.407,153.022,153.257,1368500
152.943,2019-12-09,155.249,152.561,153.375,720100
150.902,2019-12-10,152.394,149.646,152.099,864700
154.032,2019-12-11,154.229,152.148,153.277,878000
160.136,2019-12-12,160.489,153.758,154.494,1437300
159.695,2019-12-13,162.746,157.173,159.223,933700
162.069,2019-12-16,163.158,161.127,161.559,1130200
161.431,2019-12-17,161.912,159.655,161.618,923300
163.09,2019-12-18,163.531,160.695,161.471,806000
162.589,2019-12-19,163.541,160.538,163.414,942000
164.199,2019-12-20,164.856,162.334,164.63,1534700
165.759,2019-12-23,166.564,163.453,163.875,848300
165.288,2019-12-24,166.721,164.827,166.544,217000
166.642,2019-12-26,166.701,164.993,165.582,476400
165.376,2019-12-27,166.858,164.856,166.564,570800
165.209,2019-12-30,166.475,164.081,165.543,400000
163.649,2019-12-31,166.2,163.247,164.562,617500
165.494,2020-01-02,165.513,161.333,165.258,861200
162.609,2020-01-03,163.443,158.35,161.902,1089000
162.285,2020-01-06,162.589,159.322,159.567,707500
161.991,2020-01-07,162.864,160.568,161.912,525200
161.726,2020-01-08,163.158,160.548,162.216,688700
160.175,2020-01-09,162.815,159.577,162.805,923200
156.486,2020-01-10,160.391,155.681,160.175,993400
154.494,2020-01-13,157.85,152.796,157.595,1537700
151.452,2020-01-14,154.131,149.764,153.346,1419800
151.991,2020-01-15,153.13,149.401,150.372,924700
154.7,2020-01-16,154.837,152.6,153.11,891800
155.75,2020-01-17,158.262,155.181,155.495,1119300
152.09,2020-01-21,154.945,151.893,154.945,1146400
152.364,2020-01-22,154.013,151.736,153.503,742200
152.247,2020-01-23,152.443,148.017,150.784,1107200
148.812,2020-01-24,152.904,146.712,152.335,1232300
143.533,2020-01-27,146.918,143.307,143.798,1521400
147.684,2020-01-28,148.714,144.553,145.476,872400
149.411,2020-01-29,150.784,147.742,148.665,1298100
138.93,2020-01-30,149.705,137.449,147.242,2641700
133.151,2020-01-31,138.204,132.729,137.223,2159300
136.909,2020-02-03,138.666,134.161,134.623,1729600
144.769,2020-02-04,146.535,138.96,139.608,1548000
151.491,2020-02-05,152.374,147.438,148.174,1329100
149.754,2020-02-06,152.354,147.546,152.354,770900
