close,date,high,low,open,volume
106.386,2019-08-12,108.421,105.528,108.257,1327500
106.924,2019-08-13,106.924,105.29,106.331,1502500
105.482,2019-08-14,106.742,105.446,106.523,1413200
106.258,2019-08-15,106.459,105.299,105.592,1369400
105.928,2019-08-16,106.89,105.461,106.689,1400900
106.698,2019-08-19,107.009,105.672,106.771,1061800
106.798,2019-08-20,107.843,106.359,106.789,1028400
107.403,2019-08-21,107.706,106.46,107.22,1065200
107.476,2019-08-22,108.099,106.826,107.696,832700
105.644,2019-08-23,107.531,105.278,107.174,1800400
107.403,2019-08-26,107.458,106.249,106.45,1130300
107.165,2019-08-27,108.264,106.89,107.705,1380400
107.156,2019-08-28,107.559,106.679,107.266,879500
107.476,2019-08-29,107.852,106.615,107.715,1081500
106.991,2019-08-30,108.017,106.588,108.017,1154200
106.927,2019-09-03,107.641,106.533,107.009,1362800
108.008,2019-09-04,108.008,106.359,107.77,1275100
108.255,2019-09-05,109.116,108.017,108.64,1375100
109.217,2019-09-06,109.419,107.88,108.099,1669900
107.935,2019-09-09,109.565,107.394,109.565,1758600
105.607,2019-09-10,107.348,104.334,107.293,1889100
104.261,2019-09-11,106.194,103.674,105.296,1979900
103.775,2019-09-12,106.23,103.647,105.305,1968500
102.025,2019-09-13,104.334,101.411,103.683,2477000
101.274,2019-09-16,102.373,100.944,101.219,1739900
103.345,2019-09-17,103.436,101.585,101.714,2068000
104.975,2019-09-18,105.003,103.656,103.867,1955300
104.536,2019-09-19,105.122,104.297,104.591,949700
102.886,2019-09-20,105.241,102.859,104.755,3256300
104.068,2019-09-23,104.911,102.163,102.612,1291100
102.831,2019-09-24,104.911,102.547,104.783,3414400
102.163,2019-09-25,102.859,101.714,102.758,2403900
103.354,2019-09-26,104.279,102.602,102.602,1471400
103.519,2019-09-27,103.94,102.795,103.812,924700
103.922,2019-09-30,104.27,103.271,103.647,1247700
103.427,2019-10-01,103.913,102.914,103.894,1042700
103.225,2019-10-02,103.253,102.098,102.941,1445400
104.151,2019-10-03,104.554,102.822,103.225,1327300
105.049,2019-10-04,105.314,104.178,104.279,1359800
104.16,2019-10-07,104.984,104.132,104.856,991000
103.152,2019-10-08,103.913,102.447,103.913,1406500
103.83,2019-10-09,104.325,103.381,103.619,946300
104.746,2019-10-10,105.012,103.464,103.528,841200
104.856,2019-10-11,105.516,104.471,105.177,1760500
103.363,2019-10-14,105.131,103.262,104.453,1040400
101.97,2019-10-15,104.004,101.283,103.867,1740000
102.135,2019-10-16,102.346,101.237,101.631,1284300
101.118,2019-10-17,102.914,101.008,102.328,1209900
102.886,2019-10-18,103.161,100.394,100.77,1952300
102.896,2019-10-21,103.72,101.979,103.409,1228500
100.871,2019-10-22,102.886,100.843,102.886,1783800
100.11,2019-10-23,101.439,99.0293,100.889,1849600
99.8172,2019-10-24,100.578,99.6157,100.431,1391700
99.9547,2019-10-25,100.504,99.4966,99.7073,985700
100.33,2019-10-28,101.43,100.33,100.495,2127600
100.523,2019-10-29,101.274,100.312,100.587,2024900
94.6775,2019-10-30,94.9157,89.5469,93.8988,9020100
93.1841,2019-10-31,94.6775,91.7732,94.3935,3934100
91.2968,2019-11-01,93.6606,90.8754,93.3857,2968600
90.1974,2019-11-04,92.0022,89.9592,91.1594,3067900
89.721,2019-11-05,90.4264,88.814,90.3348,2474000
91.6999,2019-11-06,92.2588,89.2354,89.9225,4237500
91.306,2019-11-07,91.9656,90.3532,91.7091,2632700
90.6097,2019-11-08,91.7916,90.289,91.1777,2365800
90.5456,2019-11-11,91.2327,90.4081,90.573,2348300
90.0966,2019-11-12,91.535,89.4095,90.912,2268000
90.1333,2019-11-13,91.0953,89.9226,90.4356,1901300
89.8859,2019-11-14,90.4906,89.382,90.0142,2240500
90.0416,2019-11-15,90.573,89.6477,90.3623,2575800
90.0416,2019-11-18,90.7288,89.7027,90.3715,2485900
89.8584,2019-11-19,90.2707,89.3637,90.0875,2307900
90.2817,2019-11-20,91.1006,89.886,90.1713,2234000
90.0792,2019-11-21,91.2294,90.0332,90.6313,2430700
89.8216,2019-11-22,90.8521,89.5732,90.4657,1543900
90.1805,2019-11-25,90.3737,89.6836,89.702,2056000
91.7815,2019-11-26,91.7999,90.1529,90.2265,4723400
92.6004,2019-11-27,92.9868,91.6158,91.8091,2316300
92.6279,2019-11-29,93.1064,92.1403,92.812,980600
92.5267,2019-12-02,92.8856,91.9655,92.6648,1412900
91.5054,2019-12-03,92.812,91.257,92.4163,1914500
91.2754,2019-12-04,91.6987,90.8982,91.3214,1606200
90.6497,2019-12-05,91.5146,90.4289,91.3122,2184600
90.8797,2019-12-06,91.6342,90.7233,91.2846,1951300
91.073,2019-12-09,91.349,90.6589,90.7969,1796700
91.3122,2019-12-10,91.4778,90.7877,91.3306,1775100
91.4962,2019-12-11,91.9287,91.073,91.6987,1675700
91.8551,2019-12-12,92.2783,91.119,91.5054,1518900
92.1127,2019-12-13,92.1679,90.9994,91.579,1199200
92.8304,2019-12-16,93.1708,92.0667,92.4072,1486000
91.6618,2019-12-17,92.582,90.7877,91.395,2298700
90.8521,2019-12-18,91.7539,90.1989,91.533,2657400
91.8459,2019-12-19,92.1127,90.6037,90.7141,1808100
92.5543,2019-12-20,92.9684,91.9103,92.3795,2420200
91.8367,2019-12-23,92.8304,91.8091,92.812,1205600
92.3151,2019-12-24,92.4347,91.579,91.7723,656400
93.6585,2019-12-26,93.6861,92.3335,92.5728,1176900
93.7597,2019-12-27,94.0357,93.4929,93.7045,1130500
92.6004,2019-12-30,93.5205,92.4255,93.5205,1185800
92.6832,2019-12-31,93.088,92.2231,92.628,1271000
94.0081,2020-01-02,94.0265,92.7568,92.8396,1369900
93.7137,2020-01-03,93.8609,92.3427,93.318,1145500
93.6585,2020-01-06,93.6677,92.9868,93.3273,1454100
93.8241,2020-01-07,94.0725,93.4285,93.6217,1388600
93.9897,2020-01-08,94.7534,92.3243,92.4439,1521500
94.735,2020-01-09,95.7104,94.2198,94.3762,1790100
93.5665,2020-01-10,94.6706,93.4285,94.5234,1462400
92.3243,2020-01-13,93.9069,92.2691,93.6125,1569700
92.674,2020-01-14,92.904,91.9287,92.1863,2024400
93.1524,2020-01-15,93.6585,92.7016,92.8028,1607100
93.9989,2020-01-16,94.137,93.2353,93.4377,1191800
96.9801,2020-01-17,97.1733,94.9283,94.9927,4060400
97.1641,2020-01-21,97.1917,96.1612,96.3176,3494300
97.983,2020-01-22,98.4523,97.4586,97.5414,2020800
97.5138,2020-01-23,97.6058,96.7225,97.3573,2128600
96.5937,2020-01-24,97.7162,95.7932,97.615,2268800
96.0508,2020-01-27,96.4004,94.4314,95.3423,1833500
96.4464,2020-01-28,96.6949,95.9864,96.3728,1672500
98.1118,2020-01-29,98.2775,96.3544,96.52,1401800
98.0843,2020-01-30,98.1303,96.4004,97.0445,1480000
97.3205,2020-01-31,98.2867,96.9341,98.0658,2117400
97.9094,2020-02-03,98.3143,96.8421,97.3574,1671000
98.1855,2020-02-04,98.3051,97.4034,98.2407,1595500
98.2499,2020-02-05,99.0228,97.2838,98.8387,1814400
95.4527,2020-02-06,95.7748,93.0328,93.8517,3271600
93.8885,2020-02-07,94.4222,92.7016,93.6309,2396800
94.6522,2020-02-10,94.9743,93.8977,94.137,1667800
95.738,2020-02-11,95.9772,94.6246,94.8914,2234400
96.9249,2020-02-12,97.1641,95.5079,96.2072,1784200
97.0728,2020-02-13,97.6551,96.4535,96.7123,1135100
97.3038,2020-02-14,97.7105,96.7031,97.0543,1249700
96.1485,2020-02-18,97.2207,95.7326,97.2022,1934600
97.2206,2020-02-19,97.5811,96.3241,96.5367,1875400
96.0007,2020-02-20,97.2114,94.4202,96.9249,1216300
95.6679,2020-02-21,96.0191,95.1596,95.7049,1015100
92.6549,2020-02-24,94.8639,92.5348,94.1522,1539100
90.5292,2020-02-25,93.6716,90.141,93.0985,2389000
90.1133,2020-02-26,91.8785,90.0855,90.8526,3382500
85.6492,2020-02-27,89.3646,85.6307,88.5328,3850300
82.4883,2020-02-28,84.7804,80.9263,83.773,4238900
85.5198,2020-03-02,85.5383,82.4513,82.4883,2408900
84.3922,2020-03-03,87.5069,83.1815,85.5198,2430900
87.4607,2020-03-04,87.701,84.0688,85.5106,2420200
84.0318,2020-03-05,85.7971,83.1168,85.4828,2171600
82.6269,2020-03-06,83.0798,80.4365,81.4994,2564200
77.3588,2020-03-09,80.6768,76.7118,77.9226,3776600
80.2054,2020-03-10,80.4273,77.0815,79.5585,3464100
74.8356,2020-03-11,77.7285,73.3568,77.5529,2783100
72.5065,2020-03-12,76.1018,68.9574,69.854,5272000
72.5158,2020-03-13,76.0186,70.1127,75.5842,3754400
64.5396,2020-03-16,66.5359,61.9979,65.5747,4975500
60.5284,2020-03-17,66.4528,56.3323,65.8982,6169800
56.092,2020-03-18,57.9775,53.5411,57.2751,5693200
57.8573,2020-03-19,61.6375,52.8295,54.9737,4564500
53.6798,2020-03-20,60.0201,53.3378,59.1882,4407700
52.238,2020-03-23,53.7999,50.7869,52.9034,4522900
64.3825,2020-03-24,64.8538,56.9146,57.2566,5277100
67.3493,2020-03-25,70.6395,60.6947,65.0756,5180800
70.0111,2020-03-26,70.4177,66.3511,68.5231,4876400
63.3381,2020-03-27,67.1274,62.8944,66.767,4000000
65.316,2020-03-30,66.5452,62.8482,62.9592,4274600
63.3381,2020-03-31,66.4805,62.9129,64.8168,3796100
62.5247,2020-04-01,63.0146,59.3823,60.0755,3316500
61.046,2020-04-02,63.717,59.6596,62.2105,3399700
58.5043,2020-04-03,61.0829,57.4507,60.7317,2631400
65.1588,2020-04-06,65.7873,61.4341,61.5081,3683700
65.9444,2020-04-07,69.78,64.6967,68.3844,3908500
69.6599,2020-04-08,69.9279,65.4915,66.7485,3682000
74.2811,2020-04-09,75.88,71.1664,71.7117,4199600
71.2218,2020-04-13,74.0592,69.475,73.7358,2014500
73.8374,2020-04-14,74.318,71.5268,72.3679,2502800
71.7579,2020-04-15,72.5343,70.6858,71.342,1907600
74.0408,2020-04-16,74.1147,70.8891,71.7024,2376700
77.7932,2020-04-17,78.5326,75.8707,76.8412,3326300
75.8523,2020-04-20,77.7562,75.4179,76.5362,1827500
75.0482,2020-04-21,75.575,73.8467,74.0223,2768700
80.2147,2020-04-22,80.8431,76.4345,76.7118,2923000
79.1241,2020-04-23,80.723,78.1444,80.113,2108900
79.3829,2020-04-24,79.8542,77.8486,79.2812,2131900
81.5086,2020-04-27,81.9892,80.3903,80.5012,1840100
81.5825,2020-04-28,83.6159,80.6028,83.2924,2665900
80.8339,2020-04-29,83.6713,79.7156,83.6713,3261300
79.8819,2020-04-30,82.0539,79.1703,79.6601,2319500
77.4604,2020-05-01,78.4678,76.4807,77.9965,2130500
76.795,2020-05-04,77.3218,75.0112,76.2127,1892900
76.9706,2020-05-05,78.4494,76.416,78.0335,1929800
76.8689,2020-05-06,77.9688,76.6009,77.4512,1440300
78.1906,2020-05-07,79.0039,77.673,78.0982,1874000
79.6509,2020-05-08,80.0206,78.5603,79.5215,1949200
79.8265,2020-05-11,80.6306,78.856,79.1333,1785000
77.6361,2020-05-12,80.991,77.6268,80.492,1926400
74.3458,2020-05-13,77.4327,73.2644,77.0723,2809100
76.9798,2020-05-14,77.1647,71.7024,73.1997,2684200
78.4679,2020-05-15,78.8468,75.88,76.3236,3998200
80.187,2020-05-18,81.7397,79.466,81.1112,2550100
80.2794,2020-05-19,81.4993,78.9854,79.6786,2066400
81.4162,2020-05-20,81.7489,80.5382,81.7489,2653800
81.3423,2020-05-21,81.5826,80.1223,81.3792,2235900
80.6398,2020-05-22,81.7674,79.5677,81.7212,2247700
81.3792,2020-05-26,84.0503,81.2221,82.9966,3680800
83.4033,2020-05-27,83.773,82.0354,82.6546,4590700
84.4067,2020-05-28,84.8341,81.9725,84.1837,4065700
83.3661,2020-05-29,84.4717,82.2327,83.8771,14610100
84.1001,2020-06-01,84.8712,83.0781,83.5148,2014100
85.6702,2020-06-02,85.9397,84.3602,84.7226,2483900
87.8536,2020-06-03,89.0614,86.3299,86.6365,2667100
88.2531,2020-06-04,88.857,87.1382,87.7142,2537000
89.6746,2020-06-05,91.3097,88.7455,90.8173,3722800
89.1822,2020-06-08,89.9998,88.7362,89.656,2748000
88.7827,2020-06-09,89.5166,87.2497,88.2624,2063200
87.4169,2020-06-10,88.9313,86.7851,88.6619,2418600
84.2395,2020-06-11,86.3299,83.4776,85.4844,2540500
84.8062,2020-06-12,86.3949,83.3104,86.2648,1806400
84.9549,2020-06-15,85.3822,82.2419,83.1246,1631000
85.3451,2020-06-16,87.6399,84.4532,87.6399,1842500
84.7876,2020-06-17,85.9211,84.4253,85.8189,1384600
83.7377,2020-06-18,84.5553,83.2732,84.2952,1428300
82.0004,2020-06-19,85.4008,81.6659,84.992,4135900
81.5916,2020-06-22,82.2141,81.0341,81.7588,2219700
81.6845,2020-06-23,82.9573,81.4987,82.6507,2094100
80.421,2020-06-24,81.3315,78.9251,81.2385,2848200
79.9007,2020-06-25,80.5324,78.8322,80.198,1611200
78.7765,2020-06-26,80.3373,78.2004,79.7148,4644300
80.8112,2020-06-29,80.997,78.3398,78.9902,1292000
80.7462,2020-06-30,81.2107,79.4733,79.8171,2046600
80.3188,2020-07-01,81.4522,79.5012,80.9877,1963300
80.421,2020-07-02,82.3349,80.2351,81.5173,1743100
82.2326,2020-07-06,82.4556,80.2537,81.4336,1286900
80.6997,2020-07-07,81.9354,80.5325,81.7495,1310700
80.4117,2020-07-08,81.2571,79.9564,80.7647,1464000
80.2537,2020-07-09,81.062,79.6127,80.4767,1812100
81.0527,2020-07-10,81.2385,79.6219,80.0865,1026700
81.2293,2020-07-13,83.2361,80.8762,81.4615,2291100
81.9261,2020-07-14,82.1676,80.6439,80.932,1461500
83.9422,2020-07-15,84.258,82.3999,83.2732,2272800
83.329,2020-07-16,83.9886,83.0688,83.5241,1798600
84.1466,2020-07-17,84.5461,83.0874,83.6634,1293900
84.4624,2020-07-20,84.7504,83.3104,83.9421,1339200
84.5832,2020-07-21,85.5773,84.4439,85.2057,1433500
86.9802,2020-07-22,87.5284,84.2302,84.2859,2341800
86.2834,2020-07-23,87.5098,85.8096,86.7201,1553000
86.5343,2020-07-24,86.8409,85.6702,86.4228,1022600
86.748,2020-07-27,87.4819,86.0047,86.4228,2213300
86.172,2020-07-28,87.3147,85.7724,87.0174,2171100
88.1044,2020-07-29,88.6712,86.0976,86.1719,2777900
85.1407,2020-07-30,87.5191,84.1465,86.5436,3863100
84.5925,2020-07-31,85.3451,83.7656,85.0756,1914900
84.4717,2020-08-03,85.9118,84.3602,84.7783,1735200
85.3079,2020-08-04,85.856,83.9793,84.1001,1321700
84.546,2020-08-05,85.9675,84.3509,85.6888,1243200
84.5368,2020-08-06,84.9827,83.7656,83.9979,1194800
84.3788,2020-08-07,84.8434,83.6541,84.1187,1239700
84.8619,2020-08-10,85.2522,84.4532,84.4996,1087400
86.1255,2020-08-11,87.2404,85.5402,85.5588,1429100
86.5529,2020-08-12,87.1475,85.9769,86.683,1189300
86.1905,2020-08-13,87.0731,85.9954,86.367,1221200
86.079,2020-08-14,86.5529,85.4937,86.1069,781000
86.9617,2020-08-17,87.4262,85.9861,86.2649,1199200
88.1695,2020-08-18,88.1695,86.9617,87.6678,1463300
87.2683,2020-08-19,88.6712,86.8966,88.3924,1275800
88.6061,2020-08-20,88.7362,86.4042,86.4693,1346200
89.2843,2020-08-21,89.498,88.5597,88.6526,1477100
89.7117,2020-08-24,90.0926,88.4203,89.5631,1439200
90.0758,2020-08-25,90.4119,89.525,90.2906,1179800
89.0022,2020-08-26,89.7398,88.5167,89.7398,1521300
89.1329,2020-08-27,90.2532,89.1329,89.9825,1661900
90.9815,2020-08-28,91.1215,89.2169,89.6557,1517100
89.4876,2020-08-31,90.8601,89.3663,90.7294,1451300
89.7678,2020-09-01,89.7864,88.6287,89.2449,1618200
91.4763,2020-09-02,92.1018,89.5343,89.7304,1873300
89.9358,2020-09-03,92.0084,89.0489,91.8871,1526300
88.8995,2020-09-04,90.7947,88.0405,90.468,2025000
87.4617,2020-09-08,89.7491,87.2563,88.6941,2305000
87.1909,2020-09-09,88.5447,87.1163,87.8632,1193400
